id,Brand,Model,Year,Odometer,Sell_Price,Purchase_Price,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options
204,honda,forza 125,2019,10200,3890,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
11219,honda,forza 125,2019,10000,3990,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
19244,honda,forza 125,2019,20000,3990,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
30080,honda,forza 125,2019,20000,3790,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
31925,honda,forza 125,2019,30000,3790,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
36077,honda,forza 125,2019,10000,4190,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
37693,honda,forza 125,2019,40000,3290,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
41862,honda,forza 125,2019,10000,4190,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
50399,honda,forza 125,2019,20000,3790,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
51813,honda,forza 125,2019,10000,4190,,Scooter,,124.9,14.8,12.5,Single cylinder, four-stroke,Automatic,52.4,57.9,11.5,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Belt,,1490.0,780.0,Single disc. ABS. ,Single disc. ABS. ,120/70-15 ,140/70-14 ,Telescopic,Twin,"Gloss Black/Matt Cynos Grey Metallic, Matt Lucent Silver Metallic/Matt Pearl Pacific Blue, Matt Carnellian Metallic/Pearl Nightstar Black"
