Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Wheels,Seat,Dry weight,Ignition,Front tire,Rear tire,Rear brakes,Compression,Power,Gearbox,Frame type,Power/weight ratio,Fuel capacity,Fuel control,Exhaust system,Clutch,Color options,Starter,Comments,Overall height,Overall length,Overall width,Wheelbase,Engine details
DKW Golem,1921,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,117.8 ccm (7.19 cubic inches),"Single cylinder, two-stroke",40.0 km/h (24.9 mph),50.0 x 60.0 mm (2.0 x 2.4 inches),Carburettor,Air,Chain   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Spoked,Solo seat,45.0 kg (99.2 pounds),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model J,1921,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,,Chain   (final drive),,,,Spoked,Single ,145.0 kg (319.7 pounds),H.D generator,3-28 ,3-28 ,Expanding brake (drum brake),,,,,,,,,,,,,,,,,
Harley-Davidson Model W Sport Twin,1921,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,584.0 ccm (35.64 cubic inches),"Two cylinder boxer, four-stroke",,69.8 x 96.8 mm (2.7 x 3.8 inches),Carburettor,,Shaft drive (cardan)   (final drive),,,,Spoked,Solo seat with springs,113.0 kg (249.1 pounds),HD Generator,3-26 ,3-26 ,,5.8:1,,,,,,,,,,,,,,,,
Zündapp Z 22,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",57.0 km/h (35.4 mph),62.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,Air,Belt   (final drive),Druid  fork,Rigid,,Spoked,Single ,58.0 kg (127.9 pounds),,2.25-24 ,2.25-24 ,,,2.3 HP (1.6  kW)) @ 2600 RPM,2-speed,Tubular ,0.0388 HP/kg,6.00 litres (1.59 US gallons),,,,,,,,,,,
Harley-Davidson Eight-valve racer,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",193.0 km/h (119.9 mph),,Carburettor. Schebler,Liquid,Chain   (final drive),,,,Spoked,Single ,,,,,,,,1-speed,,,,Overhead Valves (OHV),No pipes,,,,,,,,,
Indian BGE,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",,69.0 x 70.0 mm (2.7 x 2.8 inches),Carburettor,,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),,,145.0 kg (319.7 pounds),Magneto,3-26 ,3-26 ,Expanding brake (drum brake),,,,,,,,,,,,,,,,,
Indian NE ,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor,,Chain   (final drive),,,Expanding brake (drum brake),Spoked,Solo seat,,Magneto,3-28 ,3-28 ,Expanding brake (drum brake),,,3-speed,,,,,,,,,,,,,,
Harley-Davidson Sport Twin,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,590.0 ccm (36.00 cubic inches),"Twin, four-stroke",,69.9 x 76.2 mm (2.8 x 3.0 inches),Carburettor,Air,Chain   (final drive),Trailing link with single downtube,Rigid,,,,120.0 kg (264.6 pounds),Magneto,3-26 ,3-26 ,,3.8:1,,,Tubular steel,,10.00 litres (2.64 US gallons),Sidevalves,,Three speed,,,,,,,,
Clyno Spring 8,1921,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,925.0 ccm (56.44 cubic inches),"V2, four-stroke",,,Carburettor. Amac,,Chain   (final drive),Leaf-spring,Leaf-spring,Expanding brake (drum brake),Wire spoked,Bicycle seat,,,,,Expanding brake (drum brake),,8.0 HP (5.8  kW)),3-speed,,,,,,,Black,Kick,With sidecar. British company.,,,,,
Cleveland Lighweight engine no.286,1921,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,Shaft drive (cardan)   (final drive),,,,Spoked,Single spring-mounted,,,,,,,,2-speed,,,,,,,,Kick,,,,,,
