Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Hero Honda CD-Dawn 100,2010,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",97.2 ccm (5.93 cubic inches),"Single cylinder, four-stroke",7.8 HP (5.7  kW)) @ 7500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,9.0:1,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,Overhead Cams (OHC),CDI,Air,4-speed,Chain   (final drive),Tubular double cradle,Telescopic hydraulic shock absorber,Swing arm with hydraulic shock absorber,2.75-18 ,2.75-18 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),107.0 kg (235.9 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1045 mm (41.1 inches),1965 mm (77.4 inches),720 mm (28.3 inches),165 mm (6.5 inches),1235 mm (48.6 inches),10.50 litres (2.77 US gallons),1.80 litres (0.48 US gallons),"Black, white, red",Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpa SY-250FR Long Ride,2010,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,10.6:1,77.0 x 53.6 mm (3.0 x 2.1 inches),"Carburettor. VHST 26 mm DELLORTO, with resumption pump",Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,5-speed,,"Perimetric, mixed: 15CDV6 Steel pipes and 6082 forged Aluminium decks","MARZOCCHI Aluminium 40 mm hydraulic fork, adjustable compression  and  rebond damping, ","SACHS adjustable hydraulic single damper, ",1.60-21 ,2.15-18 ,Single disc,,Single disc,,"665 mm (26.2 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2023 mm (79.6 inches),840 mm (33.1 inches),315 mm (12.4 inches),,,,Black/white/orange,Kick,"Wet multidisc, with hydraulic command",75.0 kg (165.3 pounds),Yamaha engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway ARN 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.9 HP (2.8  kW)) @ 6250 RPM,4.2 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 6000 RPM,6.9:1,,Carburettor,,C.D.I.,,,Belt   (final drive),,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),110.0 kg (242.5 pounds),,1140 mm (44.9 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,1300 mm (51.2 inches),6.00 litres (1.59 US gallons),,"Blue, black, white",Electric & kick,"Dry, centrifugal",104.0 kg (229.3 pounds),,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0374 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju Marathon Pro 125 SM  ,2010,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,52.0 x 58.6 mm (2.0 x 2.3 inches),Carburettor. KEIHIN CVEK 30,,,Liquid,6-speed,,Double cradle. Highly resistant steel perimeter,Mrazocchi fork of Ø40mm.,Gas Mono-shock shock absorber PRS system,100/80-17 ,130/70-17 ,Single disc,200 mm (7.9 inches),Single disc,,"900 mm (35.4 inches) If adjustable, lowest setting.",1180 mm (46.5 inches),2150 mm (84.6 inches),800 mm (31.5 inches),,1395 mm (54.9 inches),6.30 litres (1.66 US gallons),,"Blue, white",Electric,,107.0 kg (235.9 pounds),,,,,Separate mixture,Muffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fokamo ATV 300 Interceptor,2010,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,282.0 ccm (17.21 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,5-speed,,,,,21/7-10 ,21/10-8 ,Single disc,,Single disc,,"830 mm (32.7 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),1730 mm (68.1 inches),1050 mm (41.3 inches),,,8.00 litres (2.11 US gallons),,Blue,Electric,Wet multiplate,211.0 kg (465.2 pounds),Italian brand.,,,,,,85.0 km/h (52.8 mph),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasinski Comet GTR 250 EFI,2010,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",28.8 HP (21.0  kW)) @ 10500 RPM,,9.6:1,57.0 x 48.8 mm (2.2 x 1.9 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),ECU,Oil & air,6-speed,Belt   (final drive),,41mm USD Forks,"Mono Shock, Pre-Load Adjustable",110/70-17 ,150/70-17 ,Double disc. 2-piston calipers,,Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",,2060 mm (81.1 inches),,155 mm (6.1 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),,"Red, black, red/black, red/white",Electric,Wet Multi-Plate,173.0 kg (381.4 pounds),Brazilian brand.,,,0.1665 HP/kg,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpa SY-125FR,2010,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni DM Ø 20mm ,Single Overhead Cams (SOHC),Computer-controlled Digital Ignition,Air,5-speed,Chain   (final drive),"Perimetric, 25CD4S Steel",Marzocchi fork,"SACHS adjustable hydraulic single damper, ",,,Single disc,150 mm (5.9 inches),Single disc,,"699 mm (27.5 inches) If adjustable, lowest setting.",,2050 mm (80.7 inches),,295 mm (11.6 inches),1345 mm (53.0 inches),2.60 litres (0.69 US gallons),,Orange/white/black,Kick,Wet multidisc,74.0 kg (163.1 pounds),,,,,,,,,177 mm (7.0 inches),165 mm (6.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raptor 90,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,88.0 ccm (5.37 cubic inches),"Single cylinder, four-stroke",,,10.2:1,47.0 x 51.0 mm (1.9 x 2.0 inches),Carburettor. SVR22,Single Overhead Cams (SOHC),DC-CDI,Air,Automatic,Chain   (final drive),,Independent double wishbone,Swingarm,18/7-8 ,18/9-8 ,Expanding brake (drum brake),,Single disc,119.7 kg (264.0 pounds),"653 mm (25.7 inches) If adjustable, lowest setting.",909 mm (35.8 inches),1491 mm (58.7 inches),884 mm (34.8 inches),,,4.92 litres (1.30 US gallons),,White w/Graphics Kit,Electric & kick,,,,,,,,,,2,127 mm (5.0 inches),127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star 950 Tourer,2010,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",,,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,Single Overhead Cams (SOHC),TCI: Transistor Controlled Ignition,Air,5-speed,Belt   (final drive),,"Telescopic fork, 5.3-in.travel","Single shock, 4.3-in travel",130/70-M18 ,170/70-M16 ,Single disc,298 mm (11.7 inches),Single disc,298.0 kg (657.0 pounds),"673 mm (26.5 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2436 mm (95.9 inches),1001 mm (39.4 inches),,1684 mm (66.3 inches),16.65 litres (4.40 US gallons),,"Seashell, Raven",Electric,Wet multiplate clutch,,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,32.0°,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Track T-800 CDI,2010,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",800.0 ccm (48.82 cubic inches),Diesel,53.6 HP (39.2  kW)) @ 3750 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 1850 RPM,18.0:1,,"Turbo. Turbo 1.25 bar,  intercooler ",,ECU by canbus,,Automatic,Shaft drive (cardan)   (final drive),Chrome Molybden,WP-upsidedown 48mm,Monoshock,,,Double disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,,"780 mm (30.7 inches) If adjustable, lowest setting.",,2450 mm (96.5 inches),900 mm (35.4 inches),,1610 mm (63.4 inches),22.50 litres (5.94 US gallons),,"Black, Silver (aluminum)",Electric,Centrifugal,225.0 kg (496.0 pounds),Diesel engine produced in the Netherlands by Evaproducts. The engine can also be run on biodiesel and vegetable oil. Optional two wheel drive system.  ,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.2384 HP/kg,,,175.0 km/h (108.7 mph),2,210 mm (8.3 inches),210 mm (8.3 inches),26.6°,,3.75 seconds,"900 mm (35.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,
