Model,Year,Category,Rating,Displacement,Engine type,Engine details,Top speed,Bore x stroke,Transmission type,Frame type,Front suspension,Rear suspension,Dry weight,Fuel system,Power,Cooling system,Front tire,Rear tire,Wheels,Seat,"Weight incl. oil, gas, etc",Clutch,Comments,Ignition,Gearbox,Starter,Front brakes,Rear brakes,Fuel control,Modifications compared to previous model
Pierce Four ,1913,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,696.0 ccm (42.47 cubic inches),"In-line three, four-stroke",T head inline 4 with copression release,96.6 km/h (60.0 mph),63.5 x 63.5 mm (2.5 x 2.5 inches),Shaft drive (cardan)   (final drive),3.5 inch tubing,Leading link ,Rigid,124.7 kg (275.0 pounds),,,,,,,,,,,,,,,,,
Indian Single,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.6 ccm (30.00 cubic inches),"Single cylinder, four-stroke",Overhead intake-side exhaust,,,Chain   (final drive),,Trailing link-leaf spring,Swingarm-leaf springs,,Carburettor,,,,,,,,,,,,,,,,
NSU 3 1-2 PS,1913,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,70.0 km/h (43.5 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Belt   (final drive),Steel tube,,,,Carburettor,5.5 HP (4.0  kW)) @ 2200 RPM,Air,2.25-26 ,2.25-26 ,Balloon tire,Single ,80.0 kg (176.4 pounds),,,,,,,,,
Schickel Big 5,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,648.0 ccm (39.54 cubic inches),"Single cylinder, two-stroke",,,,Belt   (final drive),,Trailing link with coil springs,Rigid,,,,,,,,,,Single speed,This model had Dunham sidecar.,,,,,,,
Emblem Emblem,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",Atmospheric intake-side exhaust,,,Belt   (final drive),,Leading link -coil springs,Rigid,,Carburettor. Emblem,,,,,,Spring-mounted seat,,,All Emblems could be fitted with batteries or Hertz magneto.,Magneto Hertz or three batteries,,,,,,
Sears DeLuxe,1913,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,575.0 ccm (35.09 cubic inches),"Single cylinder, four-stroke",,80.0 km/h (49.7 mph),88.9 x 93.2 mm (3.5 x 3.7 inches),Chain   (final drive),,Trailing link,,,Carburettor. Schebler,,,,,Spoked,Single spring-mounted,,,,Magneto Bosch,,,,,,
Yale Model 37,1913,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,,Chain   (final drive),,,,,Carburettor,,,,,Spoked,Two single seats,,,,,,,,,,
Ariel 3.5 HP,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,,Belt   (final drive),Bicycle frame,,,,Carburettor,,Air,,,Wire spoked bicycle wheels,Spring seat,,,,,3-speed,Kick,,,,
Henderson Model B,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,934.0 ccm (56.99 cubic inches),"In-line four, two-stroke",,97.0 km/h (60.3 mph),,Chain   (final drive),,,Girder fork,,Carburettor,,,,,Spoked,Single spring-mounted,,,,,,,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,,
Excelsior Single,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.6 ccm (30.00 cubic inches),"Single cylinder, two-stroke",,,,Chain   (final drive),,,,,Carburettor,,,,,,,,Single speed,,,,,,,Overhead Valves (OHV),The transmission changed from belt to chain.
Reading Standard R-S,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,,Chain   (final drive),,Leading link ,Rigid,147.4 kg (325.0 pounds),Carburettor. Schebler,,,,,,Solo seat with springs,,Single speed,,,,,,,Sidevalves,The 1913 motorsycle was home-built from a company that began copying indian brand-motorsycles.
Excelsior 7-C,1913,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, two-stroke",,,,Chain   (final drive),,Trailing link-leaf spring,Rigid,124.7 kg (275.0 pounds),Carburettor. Schebler,,,,,,Spring-mounted seat,,Single speed,,,3-speed,,,,Overhead Valves (OHV),
