Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Wheels,Seat,Dry weight,Color options,Clutch,Power,Bore x stroke,Cooling system,Front tire,Rear tire,Power/weight ratio,Fuel capacity,Ignition,Wheelbase,Engine details,Comments,Rear brakes,Starter,Fuel control,Front brakes,Carrying capacity
Harley-Davidson 11-KR,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",130.0 km/h (80.8 mph),Carburettor,3-speed,Chain   (final drive),Tubular loop,Leading link,Rigid,Spoked,Single spring-mounted,147.0 kg (324.1 pounds),Grey,,,,,,,,,,,,,,,,,
Schickel Big 5,1915,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,648.0 ccm (39.54 cubic inches),"Single cylinder, two-stroke",,,,Belt   (final drive),,Trailing link with coil springs,Rigid,,,,,Single speed,,,,,,,,,,,,,,,,
NSU 3  1-2 PS,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",85.0 km/h (52.8 mph),Carburettor. Pallas,,Belt   (final drive),,,,Balloon tires ,Single ,80.0 kg (176.4 pounds),,,5.8 HP (4.2  kW)) @ 2000 RPM,85.0 x 88.0 mm (3.3 x 3.5 inches),Air,2.25-26 ,2.25-26 ,0.0719 HP/kg,8.00 litres (2.11 US gallons),,,,,,,,,
Indian B,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,684.0 ccm (41.74 cubic inches),"V2, four-stroke",,Carburettor,3-speed,Chain   (final drive),,,,Spoked,Single ,,,,,70.0 x 89.0 mm (2.8 x 3.5 inches),,2.5-28 ,2.5-28 ,,,Magneto,,,,,,,,
Pope Model L,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",105.0 km/h (65.2 mph),Carburettor,3-speed,Chain   (final drive),,Leaf spring,Coil springs,Spoked,,,,,,85.0 x 89.0 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,,,Magneto Bosch,1429 mm (56.3 inches),,,,,,,
Harley-Davidson Model F,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,Carburettor,,Chain   (final drive),,,,Spoked,Single ,136.0 kg (299.8 pounds),,,,84.1 x 88.9 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,,,Magneto,,,,,,,,
Emblem Emblem,1915,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",,Carburettor. Emblem,,Belt   (final drive),,Leading link -coil springs,Rigid,,Spring-mounted seat,,,,,,,,,,,Magneto Hertz or three batteries,,Atmospheric intake-side exhaust,All Emblems could be fitted with batteries or Hertz magneto.,,,,,
Indian A,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"V2, four-stroke",,Carburettor,3-speed,Chain   (final drive),,,,Spoked,Single ,,,,,70.0 x 65.0 mm (2.8 x 2.6 inches),,2.5-28 ,2.5-28 ,,,Magneto,,,,,,,,
Blackburne 4HP,1915,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,,Spoked,Single spring-mounted,,,,,85.0 x 88.0 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,,,,,,,,,,,
Harley-Davidson Model J,1915,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),Carburettor,,Chain   (final drive),,,,Spoked,Single ,136.0 kg (299.8 pounds),,,17.0 HP (12.4  kW)) @ 3200 RPM,84.1 x 88.9 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,0.1250 HP/kg,,H.D generator,,,,Expanding brake (drum brake),,,,
