Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Gearbox,Transmission type,Wheels,Seat,Bore x stroke,Ignition,Front tire,Rear tire,Dry weight,Power,Top speed,Cooling system,Power/weight ratio,Fuel capacity,Engine details,Overall length,Fuel control,Clutch,Front suspension,Rear suspension,Front brakes,Rear brakes,Color options,Starter,Carrying capacity,Wheelbase
Cleveland Lighweight engine no.286,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",Carburettor,2-speed,Shaft drive (cardan)   (final drive),Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model F,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),Spoked,Single ,84.1 x 88.9 mm (3.3 x 3.5 inches),Magneto,3-28 ,3-28 ,136.0 kg (299.8 pounds),,,,,,,,,,,,,,,,,
NSU 3  1-2 PS,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",Carburettor. Pallas,,Belt   (final drive),Balloon tires ,Single ,85.0 x 88.0 mm (3.3 x 3.5 inches),,2.25-26 ,2.25-26 ,80.0 kg (176.4 pounds),5.8 HP (4.2  kW)) @ 2000 RPM,85.0 km/h (52.8 mph),Air,0.0719 HP/kg,8.00 litres (2.11 US gallons),,,,,,,,,,,,
Harley-Davidson Racer,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Carburettor. Schebler,,Chain   (final drive),,Single seat,,Magneto,,,125.0 kg (275.6 pounds),,,,,,Inlet over exhaust valve,1308 mm (51.5 inches),,,,,,,,,,
Reading Standard R-S,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",Carburettor. Schebler,,Chain   (final drive),,Solo seat with springs,,,,,147.4 kg (325.0 pounds),,,,,,,,Sidevalves,Single speed,Leading link ,Rigid,,,,,,
Indian B,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,684.0 ccm (41.74 cubic inches),"V2, four-stroke",Carburettor,3-speed,Chain   (final drive),Spoked,Single ,70.0 x 89.0 mm (2.8 x 3.5 inches),Magneto,2.5-28 ,2.5-28 ,,,,,,,,,,,,,,,,,,
Ariel V-twin,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,700.0 ccm (42.71 cubic inches),"V2, four-stroke",Carburettor,3-speed,Belt   (final drive),"Wire spoked, black",Single seat with springs,,,,,,,,Air,,,Abingdon King Dick,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Black/red/gold,Kick,Rear rack,
Sears DeLuxe,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,575.0 ccm (35.09 cubic inches),"Single cylinder, four-stroke",Carburettor. Schebler,,Chain   (final drive),Spoked,Single spring-mounted,88.9 x 93.2 mm (3.5 x 3.7 inches),Magneto Bosch,,,,,80.0 km/h (49.7 mph),,,,,,,,Trailing link,,,,,,,
Pope Model L,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Carburettor,3-speed,Chain   (final drive),Spoked,,85.0 x 89.0 mm (3.3 x 3.5 inches),Magneto Bosch,3-28 ,3-28 ,,,105.0 km/h (65.2 mph),,,,,,,,Leaf spring,Coil springs,,,,,,1429 mm (56.3 inches)
Blackburne 4HP,1916,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",Carburettor,,,Spoked,Single spring-mounted,85.0 x 88.0 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,,,,,,,,,,,,,,,,,,
Emblem Emblem,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",Carburettor. Emblem,,Belt   (final drive),,Spring-mounted seat,,Magneto Hertz or three batteries,,,,,,,,,Atmospheric intake-side exhaust,,,,Leading link -coil springs,Rigid,,,,,,
Excelsior 7-C,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, two-stroke",Carburettor. Schebler,,Chain   (final drive),,Spring-mounted seat,,,,,124.7 kg (275.0 pounds),,,,,,,,Overhead Valves (OHV),Single speed,Trailing link-leaf spring,Rigid,,,,,,
Ariel 3.5 HP,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",Carburettor,3-speed,Belt   (final drive),Wire spoked bicycle wheels,Single seat with springs,,,,,,,,Air,,,Sidevalve,,,,,,,,,Kick,Rear rack,
Harley-Davidson Model J,1916,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),Spoked,Single ,84.1 x 88.9 mm (3.3 x 3.5 inches),H.D generator,3-28 ,3-28 ,145.0 kg (319.7 pounds),17.0 HP (12.4  kW)) @ 3200 RPM,136.8 km/h (85.0 mph),,0.1172 HP/kg,,,,,,,,,Expanding brake (drum brake),,,,
