Model,Year,Category,Rating,Displacement,Engine type,Fuel control,Ignition,Cooling system,Transmission type,Clutch,Seat,Dry weight,Bore x stroke,Fuel system,Front tire,Rear tire,Wheels,Engine details,Overall length,Top speed,Gearbox,Front suspension,Rear suspension,Wheelbase,Front brakes,Rear brakes,Starter,Power,Power/weight ratio,Fuel capacity
Indian Military Powerplus,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Sidevalves,Magneto,Air,Chain   (final drive),Three speed,Single seat,186.0 kg (410.0 pounds),,,,,,,,,,,,,,,,,,
Harley-Davidson Model F,1917,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,Magneto,,Chain   (final drive),,Single ,136.0 kg (299.8 pounds),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,3-28 ,3-28 ,Spoked,,,,,,,,,,,,,
Harley-Davidson Racer,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Magneto,,,,Single seat,125.0 kg (275.6 pounds),,Carburettor. Schebler,,,,Inlet over exhaust valve,1308 mm (51.5 inches),,,,,,,,,,,
Pope Model L,1917,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",,Magneto Bosch,,Chain   (final drive),,,,85.0 x 89.0 mm (3.3 x 3.5 inches),Carburettor,3-28 ,3-28 ,Spoked,,,105.0 km/h (65.2 mph),3-speed,Leaf spring,Coil springs,1429 mm (56.3 inches),,,,,,
Blackburne 4HP,1917,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,,,,,Single spring-mounted,,85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,3-28 ,3-28 ,Spoked,,,,,,,,,,,,,
Excelsior 7-C,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, two-stroke",Overhead Valves (OHV),,,Chain   (final drive),Single speed,,124.7 kg (275.0 pounds),,Carburettor. Schebler,,,,,,,,Trailing link-leaf spring,Rigid,,,,,,,
Indian N,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",,,,Chain   (final drive),,Single ,,90.0 x 76.2 mm (3.5 x 3.0 inches),Carburettor,3.00-28 ,3.00-28 ,Spoked,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Kick,,,
Dayton E8,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1157.0 ccm (70.60 cubic inches),"V2, four-stroke",,Magneto,,Chain   (final drive),,Single spring-mounted,,88.9 x 92.2 mm (3.5 x 3.6 inches),Carburettor,3-28 ,3-28 ,Spoked,,,,3-speed,,,,,,,,,
Indian Model O,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,257.0 ccm (15.68 cubic inches),"Twin, four-stroke",Sidevalves,,,Chain   (final drive),Three speed,Solo seat with springs,,63.5 x 63.5 mm (2.5 x 2.5 inches),,,,,,,57.9 km/h (36.0 mph),,Trailing link fork,Rigid,,,,,,,
NSU 3  1-2 PS,1917,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,,Air,Belt   (final drive),,Single ,80.0 kg (176.4 pounds),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor. Pallas,2.25-26 ,2.25-26 ,,,,85.0 km/h (52.8 mph),,,,,,,,5.8 HP (4.2  kW)) @ 2000 RPM,0.0719 HP/kg,8.00 litres (2.11 US gallons)
Cleveland Lighweight engine no.286,1917,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,,,Shaft drive (cardan)   (final drive),,Single spring-mounted,,,Carburettor,,,Spoked,,,,2-speed,,,,,,,,,
Emblem Emblem,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",,Magneto Hertz or three batteries,,Belt   (final drive),,Spring-mounted seat,,,Carburettor. Emblem,,,,Atmospheric intake-side exhaust,,,,Leading link -coil springs,Rigid,,,,,,,
Reading Standard R-S,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",Sidevalves,,,Chain   (final drive),Single speed,Solo seat with springs,147.4 kg (325.0 pounds),,Carburettor. Schebler,,,,,,,,Leading link ,Rigid,,,,,,,
Harley-Davidson Model J,1917,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,H.D generator,,Chain   (final drive),,Single ,145.0 kg (319.7 pounds),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,3-28 ,3-28 ,Spoked,,,136.8 km/h (85.0 mph),,,,,,Expanding brake (drum brake),,17.0 HP (12.4  kW)) @ 3200 RPM,0.1172 HP/kg,
