Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Color options,Starter,Comments,Bore x stroke,Front tire,Rear tire,Top speed,Fuel control,Clutch,Front suspension,Rear suspension,Dry weight,Ignition,Power/weight ratio,Fuel capacity,Overall length,Wheelbase
Ariel 4 HP,1918,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",White and Poppe engine.,4.0 HP (2.9  kW)),Carburettor,Air,3-speed,Belt   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Single seat with springs,Black,Kick,"Made by Ariel Motors of Birmingham, UK.",,,,,,,,,,,,,,
Blackburne 4HP,1918,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,,,Spoked,Single spring-mounted,,,,85.0 x 88.0 mm (3.3 x 3.5 inches),3-28 ,3-28 ,,,,,,,,,,,
Indian Model O,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,257.0 ccm (15.68 cubic inches),"Twin, four-stroke",,,,,,Chain   (final drive),,,,Solo seat with springs,,,,63.5 x 63.5 mm (2.5 x 2.5 inches),,,57.9 km/h (36.0 mph),Sidevalves,Three speed,Pivoting fork,Rigid,,,,,,
Reading Standard R-S,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,Carburettor. Schebler,,,Chain   (final drive),,,,Solo seat with springs,,,,,,,,Sidevalves,Single speed,Leading link ,Rigid,147.4 kg (325.0 pounds),,,,,
Indian Military Powerplus,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,,Air,,Chain   (final drive),,,,Single seat,,,,,,,,Sidevalves,Three speed,,,186.0 kg (410.0 pounds),Magneto,,,,
NSU 3  1-2 PS,1918,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,5.8 HP (4.2  kW)) @ 2000 RPM,Carburettor,Air,,Belt   (final drive),,,,Single ,,,,85.0 x 88.0 mm (3.3 x 3.5 inches),2.25-26 ,2.25-26 ,85.0 km/h (52.8 mph),,,,,80.0 kg (176.4 pounds),,0.0719 HP/kg,8.00 litres (2.11 US gallons),,
Emblem Emblem,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",Atmospheric intake-side exhaust,,Carburettor. Emblem,,,Belt   (final drive),,,,,,,,,,,,,,Leading link -coil springs,Rigid,,Magneto Hertz or three batteries,,,,
Harley-Davidson Model J,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,17.0 HP (12.4  kW)) @ 3200 RPM,Carburettor,,,Chain   (final drive),,Expanding brake (drum brake),Spoked,Single ,,,,84.1 x 88.9 mm (3.3 x 3.5 inches),3-28 ,3-28 ,136.8 km/h (85.0 mph),,,,,145.0 kg (319.7 pounds),H.D generator,0.1172 HP/kg,,,
Harley-Davidson Racer,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Inlet over exhaust valve,,Carburettor,,,,,,,Single seat,,,,,,,,,,,,125.0 kg (275.6 pounds),Magneto,,,1308 mm (51.5 inches),
Pope Model L,1918,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",,,Carburettor,,3-speed,Chain   (final drive),,,Spoked,,,,,85.0 x 89.0 mm (3.3 x 3.5 inches),3-28 ,3-28 ,105.0 km/h (65.2 mph),,,Leaf spring,Coil springs,,Magneto Bosch,,,,1429 mm (56.3 inches)
Harley-Davidson Model F,1918,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",989.0 ccm (60.35 cubic inches),"V2, four-stroke",,,Carburettor,,,Chain   (final drive),,,Spoked,Single ,,,,84.1 x 88.9 mm (3.3 x 3.5 inches),3-28 ,3-28 ,,,,,,136.0 kg (299.8 pounds),Magneto,,,,
Indian N,1918,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",,,Carburettor,,,Chain   (final drive),,,Spoked,Single ,,,,90.0 x 76.2 mm (3.5 x 3.0 inches),3-28 ,3-28 ,,,,,,,,,,,
Cleveland Lighweight engine no.286,1918,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,2-speed,Shaft drive (cardan)   (final drive),,,Spoked,Single spring-mounted,,Kick,,,,,,,,,,,,,,,
