Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Transmission type,Front tire,Rear tire,Wheels,Seat,Dry weight,Gearbox,Starter,Top speed,Engine details,Overall length,Front brakes,Rear brakes,Compression,Fuel control,Cooling system,Clutch,Frame type,Front suspension,Rear suspension,Wheelbase,Fuel capacity,Oil capacity,Power,Power/weight ratio
Harley-Davidson Model F,1919,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,Magneto,Chain   (final drive),3-28 ,3-28 ,Spoked,Single ,136.0 kg (299.8 pounds),,,,,,,,,,,,,,,,,,,
Cleveland Lighweight engine no.286,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Shaft drive (cardan)   (final drive),,,Spoked,Single spring-mounted,,2-speed,Kick,,,,,,,,,,,,,,,,,
Cleveland HP,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,179.0 ccm (10.92 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Chain   (final drive),,,Spoked,Single spring-mounted,,,,61.0 km/h (37.9 mph),,,,,,,,,,,,,,,,
Harley-Davidson Racer,1919,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Carburettor,Magneto,,,,,,125.0 kg (275.6 pounds),,,,Inlet over exhaust valve,1308 mm (51.5 inches),,,,,,,,,,,,,,
Indian NE ,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor,Magneto,Chain   (final drive),3-28 ,3-28 ,Spoked,Solo seat,,3-speed,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,
Harley-Davidson Sport Twin,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,590.0 ccm (36.00 cubic inches),"Twin, four-stroke",69.9 x 76.2 mm (2.8 x 3.0 inches),Carburettor,Magneto,Chain   (final drive),3-26 ,3-26 ,,,120.0 kg (264.6 pounds),,,,,,,,3.8:1,Sidevalves,Air,Three speed,Tubular steel,Trailing link with single downtube,Rigid,1448 mm (57.0 inches),10.00 litres (2.64 US gallons),1.90 litres (2.01 US quarts),,
Indian Military Powerplus,1919,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,Magneto,Chain   (final drive),,,,,186.0 kg (410.0 pounds),,,,,,,,,Sidevalves,Air,Three speed,,,,,,,,
Pope Model L,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",85.0 x 89.0 mm (3.3 x 3.5 inches),Carburettor,Magneto Bosch,Chain   (final drive),3-28 ,3-28 ,Spoked,,,3-speed,,105.0 km/h (65.2 mph),,,,,,,,,,Leaf spring,Coil springs,,,,,
Reading Standard R-S,1919,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,Carburettor. Schebler,,Chain   (final drive),,,,Solo seat with springs,159.7 kg (352.0 pounds),,,,,,,,,Sidevalves,,Single speed,,Leading link ,Rigid,,,,,
Indian Model O,1919,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,257.0 ccm (15.68 cubic inches),"Twin, four-stroke",63.5 x 63.5 mm (2.5 x 2.5 inches),,,Chain   (final drive),,,,,,,,57.9 km/h (36.0 mph),,,,,,Sidevalves,,Three speed,,Pivoting fork,Rigid,,,,,
Harley-Davidson Model W Sport Twin,1919,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,584.0 ccm (35.64 cubic inches),"Two cylinder boxer, four-stroke",69.8 x 96.8 mm (2.7 x 3.8 inches),Carburettor,HD Generator,Shaft drive (cardan)   (final drive),3-26 ,3-26 ,Spoked,Solo seat with springs,113.0 kg (249.1 pounds),,,,,,,,5.8:1,,,,,,,,,,,
Harley-Davidson Model J,1919,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,H.D generator,Chain   (final drive),3-28 ,3-28 ,Spoked,Single ,145.0 kg (319.7 pounds),,,136.8 km/h (85.0 mph),,,,Expanding brake (drum brake),,,,,,,,,,,17.0 HP (12.4  kW)) @ 3200 RPM,0.1172 HP/kg
Blackburne 4HP,1919,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,,,3-28 ,3-28 ,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,
