Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Starter,Top speed,Dry weight,Compression,Fuel control,Cooling system,Clutch,Frame type,Front suspension,Rear suspension,Wheelbase,Fuel capacity,Engine details,Overall length,Exhaust system,Color options,Light
Indian NE ,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor,Magneto,3-speed,Chain   (final drive),3-28 ,3-28 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Solo seat,,,,,,,,,,,,,,,,,
Cleveland Lighweight engine no.286,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,Carburettor,,2-speed,Shaft drive (cardan)   (final drive),,,,,Spoked,Single spring-mounted,Kick,,,,,,,,,,,,,,,,
Harley-Davidson Model J,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,H.D generator,,Chain   (final drive),3-28 ,3-28 ,,Expanding brake (drum brake),Spoked,Single ,,136.8 km/h (85.0 mph),145.0 kg (319.7 pounds),,,,,,,,,,,,,,
Indian BGE,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",69.0 x 70.0 mm (2.7 x 2.8 inches),Carburettor,Magneto,,Shaft drive (cardan)   (final drive),3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,145.0 kg (319.7 pounds),,,,,,,,,,,,,,
Harley-Davidson Sport Twin,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,590.0 ccm (36.00 cubic inches),"Twin, four-stroke",69.9 x 76.2 mm (2.8 x 3.0 inches),Carburettor,Magneto,,Chain   (final drive),3-26 ,3-26 ,,,,,,,120.0 kg (264.6 pounds),3.8:1,Sidevalves,Air,Three speed,Tubular steel,Trailing link with single downtube,Rigid,1448 mm (57.0 inches),10.00 litres (2.64 US gallons),,,,,
Cleveland EL,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,268.0 ccm (16.35 cubic inches),"Single cylinder, two-stroke",69.9 x 69.9 mm (2.8 x 2.8 inches),Carburettor,Magneto,2-speed,Chain   (final drive),3-26 ,3-26 ,,,Spoked,Single spring-mounted,,,79.0 kg (174.2 pounds),,,,,,,,,,,,,,
Reading Standard R-S,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,Carburettor. Schebler,,,,,,,,,Solo seat with springs,,,159.7 kg (352.0 pounds),,Sidevalves,,Single speed,,Leading link ,Rigid,,,,,,,
Harley-Davidson Racer,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Carburettor,Magneto,,,,,,,,,,,125.0 kg (275.6 pounds),,,,,,,,,,Inlet over exhaust valve,1270 mm (50.0 inches),,,
Harley-Davidson Eight-valve racer,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Carburettor. Schebler,,1-speed,Chain   (final drive),,,,,Spoked,Single ,,193.0 km/h (119.9 mph),,,Overhead Valves (OHV),Liquid,,,,,,,,,No pipes,,
Excelsior 20R,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,974.0 ccm (59.43 cubic inches),"V2, four-stroke",,Carburettor,,,Belt   (final drive),,,,,Spoked,Single seat,,,,,,,,,Trailing link,,,,,,,Dark Blue/ Gold lined,
Pope Model L,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",85.0 x 89.0 mm (3.3 x 3.5 inches),Carburettor,Magneto Bosch,3-speed,Chain   (final drive),3-28 ,3-28 ,,,Spoked,,,,,,,,,,Leaf spring,Coil springs,,,,,,,
Harley-Davidson Model J L20T,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,Carburettor. Schebler,,,Chain   (final drive),,,,,,Spring-mounted and optional passenger seat,,,,,,,,,Leading link -coil springs,Rigid-,,,Overhead intake-side exhaust,,,,Electric headlamp
Harley-Davidson Model W Sport Twin,1920,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,584.0 ccm (35.64 cubic inches),"Two cylinder boxer, four-stroke",69.8 x 96.8 mm (2.7 x 3.8 inches),Carburettor,HD Generator,,Shaft drive (cardan)   (final drive),3-26 ,3-26 ,,,Spoked,Solo seat with springs,,,113.0 kg (249.1 pounds),5.8:1,,,,,,,,,,,,,
Harley-Davidson Model F,1920,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,Magneto,,Chain   (final drive),3-28 ,3-28 ,,,Spoked,Single ,,,136.0 kg (299.8 pounds),,,,,,,,,,,,,,
