Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Wheels,Seat,Dry weight,Power/weight ratio,Fuel capacity,Ignition,Front brakes,Rear brakes,Compression,Fuel control,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Starter,Carrying capacity,Color options,Exhaust system
Zündapp Z 2 G,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 2600 RPM,70.0 km/h (43.5 mph),62.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,Air,2-speed,Belt   (final drive),Tubular ,Druid  fork,Rigid,2.25-24 ,2.25-24 ,Spoked,Single ,73.0 kg (160.9 pounds),0.0377 HP/kg,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,
Ace EXP-4,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1299.0 ccm (79.26 cubic inches),"In-line four, four-stroke",,209.0 km/h (129.9 mph),,Carburettor,,,Chain   (final drive),,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,
Indian BHEP,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1204.0 ccm (73.47 cubic inches),"V2, four-stroke",,,82.0 x 112.0 mm (3.2 x 4.4 inches),Carburettor,,3-speed,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Single ,193.0 kg (425.5 pounds),,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,
Cleveland EL,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,268.0 ccm (16.35 cubic inches),"Single cylinder, two-stroke",,,69.9 x 69.9 mm (2.8 x 2.8 inches),Carburettor,,2-speed,Chain   (final drive),,,,3-26 ,3-26 ,Spoked,Single spring-mounted,90.0 kg (198.4 pounds),,,Magneto,,,,,,,,,,,,,,,,,,
BMW R32,1923,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",8.6 HP (6.3  kW)) @ 3200 RPM,95.0 km/h (59.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22 BMW Spezial,Air,3-speed,Shaft drive (cardan)   (final drive),Steel doble cradle,Leading link ,Rigid,2.99-26 ,2.99-26 ,,Spring-mounted seat,,,14.00 litres (3.70 US gallons),Magneto,Expanding brake (drum brake),Expanding brake (drum brake). Block brake,5.1:1,Overhead Valves (OHV),Wet sump ,Single plate dry-cable operated,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),122.0 kg (269.0 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1380 mm (54.3 inches),Kick,184kg,,
Excelsior 20R,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,974.0 ccm (59.43 cubic inches),"V2, four-stroke",,,,Carburettor,,,Belt   (final drive),,Trailing link,,,,Spoked,Single seat,,,,,,,,,,,,,,,,,,,,,Dark Blue/ Gold lined,
NSU 4PS,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",6.5 HP (4.7  kW)) @ 3000 RPM,80.0 km/h (49.7 mph),63.0 x 80.0 mm (2.5 x 3.1 inches),Carburettor. Pallas,,,Belt   (final drive),Steel,,,2.5-26 ,2.5-26 ,Spoked,Single spring-mounted,120.0 kg (264.6 pounds),0.0542 HP/kg,9.00 litres (2.38 US gallons),,,,,,,,,,,,740 mm (29.1 inches),2200 mm (86.6 inches),840 mm (33.1 inches),1415 mm (55.7 inches),,,,
DKW Lomos-Sesselrad 170cc,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,169.6 ccm (10.35 cubic inches),"Single cylinder, two-stroke",,,60.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,,,,Cast magnesium frame,,Swingarm,,,Spoked,Solo seat,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,
Harley-Davidson Model F,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,,84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,,,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Single ,136.0 kg (299.8 pounds),,,Magneto,,,,,,,,,,,,,,,,,,
Zündapp Z 22,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,211.0 ccm (12.88 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 2600 RPM,57.0 km/h (35.4 mph),62.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor,Air,,Belt   (final drive),Tubular ,Druid  fork,Rigid,2.25-24 ,2.25-24 ,Spoked,Single ,58.0 kg (127.9 pounds),0.0388 HP/kg,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,
Harley-Davidson Model W Sport Twin,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,584.0 ccm (35.64 cubic inches),"Two cylinder boxer, four-stroke",,,69.8 x 96.8 mm (2.7 x 3.8 inches),Carburettor,,,Shaft drive (cardan)   (final drive),,,,3-26 ,3-26 ,Spoked,Solo seat with springs,113.0 kg (249.1 pounds),,,HD Generator,,,5.8:1,,,,,,,,,,,,,,,
Harley-Davidson Model J,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",,136.8 km/h (85.0 mph),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,,,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Single ,145.0 kg (319.7 pounds),,,H.D generator,,Expanding brake (drum brake),,,,,,,,,,,,,,,,
Indian BGE,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",,,69.0 x 70.0 mm (2.7 x 2.8 inches),Carburettor,,,Shaft drive (cardan)   (final drive),,,,3-26 ,3-26 ,,,145.0 kg (319.7 pounds),,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,
NSU 8PS,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"Twin, four-stroke",12.0 HP (8.8  kW)),100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Air,3-speed,Chain   (final drive),Steel,,,3-28 ,3-28 ,Balloon tire,Single ,155.0 kg (341.7 pounds),0.0774 HP/kg,12.00 litres (3.17 US gallons),,,,,,,,,,,,760 mm (29.9 inches),2320 mm (91.3 inches),880 mm (34.6 inches),1490 mm (58.7 inches),Kick,,,
Indian Chief,1923,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,Chain   (final drive),,Telescopic,Plungertype with coil springs,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,1540 mm (60.6 inches),,,,
AJS G6 Bigport,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",,,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Binks,,3-speed,Chain   (final drive),,,,,,Spoked,Single ,,,,Lucas Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,Overhead Valves (OHV),,,,,,,,,,,,,,
Harley-Davidson Sport Twin,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,590.0 ccm (36.00 cubic inches),"Twin, four-stroke",,,69.9 x 76.2 mm (2.8 x 3.0 inches),Carburettor,Air,,Chain   (final drive),Tubular steel,Trailing link with single downtube,Rigid,3-26 ,3-26 ,,,,,,Magneto,,,3.8:1,Sidevalves,,Three speed,,,,,,,,,,,,
Harley-Davidson Model FD,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,,87.3 x 101.6 mm (3.4 x 4.0 inches),Carburettor,,,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Single spring-mounted,145.0 kg (319.7 pounds),,,Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,Overhead Valves (OHV),,,,,,,,,,,,,,
Harley-Davidson Eight-valve racer,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,193.0 km/h (119.9 mph),,Carburettor. Schebler,Liquid,1-speed,Chain   (final drive),,,,,,Spoked,Single ,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,No pipes
Harley-Davidson Model JD,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,136.8 km/h (85.0 mph),87.3 x 100.0 mm (3.4 x 3.9 inches),Carburettor,,,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Single ,154.0 kg (339.5 pounds),,,H.D generator,,Expanding brake (drum brake),,,,,,,,,,,,,,,,
Cleveland Lighweight engine no.286,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,2-speed,Shaft drive (cardan)   (final drive),,,,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,Kick,,,
DKW Lomos-Sesselrad,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,142.5 ccm (8.70 cubic inches),"Single cylinder, two-stroke",,60.0 km/h (37.3 mph),55.0 x 60.0 mm (2.2 x 2.4 inches),Carburettor,,,,Cast magnesium frame,,Swingarm,,,Spoked,Solo seat,52.0 kg (114.6 pounds),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,
Coventry Eagle Coventry Eagle,1923,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",85.5 HP (62.4  kW)),,,Carburettor,Air,,Chain   (final drive),,Open tubular,Girder fork,,,Spoked,Single ,175.0 kg (385.8 pounds),0.4886 HP/kg,,Magneto Lucas,Expanding brake (drum brake),Expanding brake (drum brake),6.5:1,,,,,,,,,,,,,,,
Indian NE ,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"V2, four-stroke",,,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor,,,Chain   (final drive),,,,3-28 ,3-28 ,Spoked,Solo seat,,,,Magneto,,,,,,,,,,,,,,,,,,
Zündapp Z 249,1923,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 2600 RPM,70.0 km/h (43.5 mph),68.0 x 82.5 mm (2.7 x 3.2 inches),Carburettor,Air,3-speed,Belt   (final drive),,Druid  fork,Rigid,2.25-24 ,2.25-24 ,Spoked,Single ,76.0 kg (167.6 pounds),0.0362 HP/kg,6.10 litres (1.61 US gallons),,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,
