Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Gearbox,Transmission type,Clutch,Seat,Light,Top speed,Fuel control,Cooling system,Exhaust system,Wheels,Power,Bore x stroke,Frame type,Front tire,Rear tire,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Front suspension,Color options,Ignition,Front brakes,Rear brakes,Starter,Rear suspension,Compression,Engine details,Fuel capacity,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,"Weight incl. oil, gas, etc",Carrying capacity
Scott Super Squirrel,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",Carburettor,3-speed,Chain   (final drive),Two-speed foot shift,Solo seat with springs,Actylene head and tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Eight-valve racer,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Carburettor. Schebler,1-speed,Chain   (final drive),,Single ,,193.0 km/h (119.9 mph),Overhead Valves (OHV),Liquid,No pipes,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 4PS,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Carburettor. Pallas,,Belt   (final drive),,Single spring-mounted,,80.0 km/h (49.7 mph),,,,Spoked,6.5 HP (4.7  kW)) @ 3000 RPM,63.0 x 80.0 mm (2.5 x 3.1 inches),Steel,2.5-26 ,2.5-26 ,120.0 kg (264.6 pounds),0.0542 HP/kg,740 mm (29.1 inches),2200 mm (86.6 inches),840 mm (33.1 inches),1415 mm (55.7 inches),,,,,,,,,,,,,,,,
Excelsior 20R,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,974.0 ccm (59.43 cubic inches),"V2, four-stroke",Carburettor,,Belt   (final drive),,Single seat,,,,,,Spoked,,,,,,,,,,,,Trailing link,Dark Blue/ Gold lined,,,,,,,,,,,,,,
AJS G6 Bigport,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",Carburettor. Binks,3-speed,Chain   (final drive),,Single ,,,Overhead Valves (OHV),,,Spoked,,74.0 x 81.0 mm (2.9 x 3.2 inches),,,,,,,,,,,,Lucas Magneto,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,
Cleveland Lighweight engine no.286,1924,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,221.0 ccm (13.49 cubic inches),"Single cylinder, two-stroke",Carburettor,2-speed,Shaft drive (cardan)   (final drive),,Single spring-mounted,,,,,,Spoked,,,,,,,,,,,,,,,,,Kick,,,,,,,,,,
DKW Lomos-Sesselrad,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,142.5 ccm (8.70 cubic inches),"Single cylinder, two-stroke",Carburettor,,,,Solo seat,,60.0 km/h (37.3 mph),,,,Spoked,,55.0 x 60.0 mm (2.2 x 2.4 inches),Cast magnesium frame,,,52.0 kg (114.6 pounds),,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Swingarm,,,,,,,,,
Harley-Davidson Model J,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),,Single ,,136.8 km/h (85.0 mph),,,,Spoked,,84.1 x 88.9 mm (3.3 x 3.5 inches),,3-28 ,3-28 ,163.0 kg (359.4 pounds),,,,,,,,H.D generator,,Expanding brake (drum brake),,,,,,,,,,,
Indian Chief,1924,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",Carburettor. Linkert,,Chain   (final drive),,,,,,,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,,,,1540 mm (60.6 inches),Telescopic,,,Expanding brake (drum brake),Expanding brake (drum brake),,Plungertype with coil springs,,,,,,,,,
Coventry Eagle Coventry Eagle,1924,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,,Air,,Spoked,85.5 HP (62.4  kW)),,,,,175.0 kg (385.8 pounds),0.4886 HP/kg,,,,,Open tubular,,Magneto Lucas,Expanding brake (drum brake),Expanding brake (drum brake),,Girder fork,6.5:1,,,,,,,,
