Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Gearbox,Rear suspension,Front tire,Rear tire,Wheels,Seat,Dry weight,Fuel control,Frame type,Front brakes,Rear brakes,Power,Compression,Ignition,Lubrication system,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front suspension,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Color options,Exhaust system,Power/weight ratio,Light
DKW Stahlmodell SM,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,205.9 ccm (12.56 cubic inches),"Single cylinder, two-stroke",65.0 km/h (40.4 mph),64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Framo,2-speed,None,26/21-4 ,26/21-4 ,Spoked,Single ,80.0 kg (176.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Peashooter,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",160.9 km/h (100.0 mph),,Carburettor,,,,,,Single seat,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,
DKW Lomos-Sesselrad 170cc,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,169.6 ccm (10.35 cubic inches),"Single cylinder, two-stroke",,60.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,,Swingarm,,,Spoked,Solo seat,,,Cast magnesium frame,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,
BMW R32,1925,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",95.0 km/h (59.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22 BMW Spezial,3-speed,,2.99-26 ,2.99-26 ,,Spring-mounted seat,,Overhead Valves (OHV),Steel doble cradle,Expanding brake (drum brake),Expanding brake (drum brake),8.6 HP (6.3  kW)) @ 3200 RPM,5.1:1,Magneto,Wet sump ,Air,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Leading link ,150 mm (5.9 inches),122.0 kg (269.0 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,184kg,,,,
NSU 6PS,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"Twin, four-stroke",90.0 km/h (55.9 mph),72.5 x 90.0 mm (2.9 x 3.5 inches),Carburettor. Pallas,,,3-26 ,3-26 ,Spoked,Single ,155.0 kg (341.7 pounds),,Steel,,,,,Magneto,,Air,,,,,,,,720 mm (28.3 inches),2240 mm (88.2 inches),880 mm (34.6 inches),1455 mm (57.3 inches),,Kick,,,,,
Harley-Davidson Model J,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,,,3-26 ,3-26 ,Spoked,Single ,190.0 kg (418.9 pounds),,,,Expanding brake (drum brake),,,H.D generator,,,Chain   (final drive),,,,,,,,,,,,,,,,,
NSU 8PS,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"Twin, four-stroke",100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,3-speed,,3-28 ,3-28 ,Balloon tire,Single ,,,Steel,,,12.0 HP (8.8  kW)),,,,Air,Chain   (final drive),,,,,,,760 mm (29.9 inches),2320 mm (91.3 inches),880 mm (34.6 inches),1490 mm (58.7 inches),,Kick,,,,,
Excelsior 20R,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,974.0 ccm (59.43 cubic inches),"V2, four-stroke",,,Carburettor,,,,,Spoked,Single seat,,,,,,,,,,,Belt   (final drive),,,,Trailing link,,,,,,,,,,Dark Blue/ Gold lined,,,
Indian BHEP,1925,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1204.0 ccm (73.47 cubic inches),"V2, four-stroke",,82.0 x 112.0 mm (3.2 x 4.4 inches),Carburettor,3-speed,,3.85-27 ,3.85-27 ,Spoked,Single ,193.0 kg (425.5 pounds),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Magneto,,,Chain   (final drive),,,,,,,,,,,,,,,,,
DKW Lomos-Sesselrad,1925,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,142.5 ccm (8.70 cubic inches),"Single cylinder, two-stroke",60.0 km/h (37.3 mph),55.0 x 60.0 mm (2.2 x 2.4 inches),Carburettor,,Swingarm,,,Spoked,Solo seat,52.0 kg (114.6 pounds),,Cast magnesium frame,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,
