Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Fuel control,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Cooling system,Gearbox,Front suspension,Rear suspension,Front tire,Rear tire,Ignition,Diameter,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Fuel consumption,Greenhouse gases,Frame type,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Exhaust system,Light,Modifications compared to previous model,Oil capacity
Norton 490 CS 1,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",128.8 km/h (80.0 mph),Carburettor,Single Overhead Cams (SOHC),Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Solo seat with springs,145.0 kg (319.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp EM 250,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",80.0 km/h (49.7 mph),Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,4.5 HP (3.3  kW)) @ 3100 RPM,62.0 x 82.5 mm (2.4 x 3.2 inches),Air,3-speed,Webb  fork,Rigid,2.85-26 ,2.85-26 ,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model FD,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",,Carburettor,Overhead Valves (OHV),,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,180.0 kg (396.8 pounds),,87.4 x 100.0 mm (3.4 x 3.9 inches),,,,,3-28 ,3-28 ,Magneto,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model JD,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),Carburettor,,,,Expanding brake (drum brake),Spoked,Single ,194.0 kg (427.7 pounds),,87.0 x 100.0 mm (3.4 x 3.9 inches),,,,,3-26 ,3-23 ,,,,,,,,,,,,,,,,,,,,,
Ace Standard Model,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1234.0 ccm (75.30 cubic inches),"Twin, four-stroke",,Carburettor,,Chain   (final drive),,,Spoked,Single spring-mounted,165.0 kg (363.8 pounds),,69.9 x 82.6 mm (2.8 x 3.3 inches),,,,,3.85-27 ,3.85-27 ,Magneto,,,,,,,,,,,,,,,,,,,,
DKW E 250,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",78.0 km/h (48.5 mph),Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,90.0 kg (198.4 pounds),,68.0 x 68.0 mm (2.7 x 2.7 inches),Air,3-speed,,None,2.85-26 ,2.85-26 ,Magneto,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,
NSU 251 SS,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,110.0 kg (242.5 pounds),10.0 HP (7.3  kW)) @ 4400 RPM,63.0 x 80.0 mm (2.5 x 3.1 inches),Air,3-speed,,,2.50-26 ,2.50-26 ,,,0.0909 HP/kg,1330 mm (52.4 inches),7.75 litres (2.05 US gallons),Kick,,,,,,,,,,,,,,,
DKW E 200,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",70.0 km/h (43.5 mph),Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,75.0 kg (165.3 pounds),,63.0 x 64.0 mm (2.5 x 2.5 inches),Air,,,None,2.85-26 ,2.85-26 ,Magneto,140 mm (5.5 inches),,,10.00 litres (2.64 US gallons),,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
Harley-Davidson Model J,1927,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),Carburettor,,Chain   (final drive),,Expanding brake (drum brake),Spoked,Single ,190.0 kg (418.9 pounds),,84.1 x 88.9 mm (3.3 x 3.5 inches),,,,,3-26 ,3-26 ,H.D generator,,,,,,,,,,,,,,,,,,,,
Indian BHEP,1927,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1204.0 ccm (73.47 cubic inches),"V2, four-stroke",,Carburettor,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,193.0 kg (425.5 pounds),,82.0 x 112.0 mm (3.2 x 4.4 inches),,3-speed,,,3.85-27 ,3.85-27 ,Magneto,,,,,,,,,,,,,,,,,,,,
