Model,Year,Category,Rating,Displacement,Engine type,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Ignition,Gearbox,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Carrying capacity,Color options,Comments,Valves per cylinder,Diameter,Engine details,Driveline,Exhaust system,Seat height
DKW E 206,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,206.0 ccm (12.57 cubic inches),"Single cylinder, two-stroke",70.0 km/h (43.5 mph),64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Framo-E,Air,Belt   (final drive),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Open tubular ,Bob fork,None,2.85-26 ,2.85-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ( two single seats optional),75.0 kg (165.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 501T,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor. Amac OJ 15,Air,Chain   (final drive),,,Double steel,,,3.50-26 ,3.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,158.0 kg (348.3 pounds),11.0 HP (8.0  kW)) @ 4000 RPM,Magneto,3-speed,0.0696 HP/kg,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,,,
Harley-Davidson Model BA,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,Carburettor. Schebler,,Chain   (final drive),,,,Leading link -coil springs,Rigid-,,,,,,Spring-mounted seat,,,,,,,,,,,,Sidevalves,Headlights electric,,,,,,,,,,,,,,
BMW R62,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",115.0 km/h (71.5 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. 22mm,Air,Shaft drive (cardan)   (final drive),,,Steel-double cradle,Leading link ,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake). Single,,,Solo seat with springs,,18.0 HP (13.1  kW)) @ 3400 RPM,,3-speed,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,Overhead Valves (OHV),,5.5:1,Wet sump ,Dry-single plate-cable operated,155.0 kg (341.7 pounds),5.00 litres (1.32 US gallons),210kg,,,,,,,,
BMW R63,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,735.0 ccm (44.85 cubic inches),"Two cylinder boxer, four-stroke",120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. 24mm,Air,Shaft drive (cardan)   (final drive),,,Steel-double cradle,Leading link ,,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake). Single,,,Solo seat with springs,,24.1 HP (17.6  kW)) @ 4000 RPM,,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,Overhead Valves (OHV),,6.2:1,Wet sump ,Dry-single plate-cable operated,152.0 kg (335.1 pounds),5.00 litres (1.32 US gallons),210kg,,,,,,,,
Opel Rocket,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",200.0 km/h (124.3 mph),,,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,180.0 kg (396.8 pounds),22.0 HP (16.1  kW)),,,0.1222 HP/kg,1400 mm (55.1 inches),,,,,,Overhead Valves (OHV),,,,,,,,Red/silver,Also called the Opel Raketen Motorrad. With 6-12 powder rockets for additional thrust each to beat the world speed record. Based on a Neander Super Sport bike.,,,,,,
New Hudson Model 88E,1928,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",125.5 km/h (78.0 mph),79.5 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Air,Chain   (final drive),,,Single Down Tube,Webb Girder Fork,Rigit,3.25-26 ,3.25-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Sprung Bicycle Seat,197.3 kg (435.0 pounds),16.0 HP (11.7  kW)),Lucas Mag-dyno,3-speed,0.0811 HP/kg,,,,1397 mm (55.0 inches),,Kick,Overhead Valves (OHV),,6.0:1,Dry Sump,"Dry, Multi-Plate",,,,Black,British manufacturer.,2,,,,,
BMW R47,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",110.0 km/h (68.4 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 20mm BMW Spezial,Air,Shaft drive (cardan)   (final drive),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,Leading link ,Rigid,3.50-27 ,3.50-27 ,Expanding brake (drum brake),,,,,18.0 HP (13.1  kW)) @ 4000 RPM,Bosh magneto,3-speed,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1410 mm (55.5 inches),14.00 litres (3.70 US gallons),Kick,Overhead Valves (OHV),,5.8:1,Wet sump ,Dry-single plate-cable operated,126.0 kg (277.8 pounds),,192kg,,,,150 mm (5.9 inches),,,,
BMW R57,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",115.0 km/h (71.5 mph),,Carburettor. 24mm Bing,Air,Shaft drive (cardan)   (final drive),4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel doble cradle,Leading link ,Long swingarm-oil pressure shocks,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,18.0 HP (13.1  kW)) @ 4000 RPM,,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.00 litres (3.17 US gallons),Kick,,,5.8:1,Wet sump ,Dry-single plate-cable operated,195.0 kg (429.9 pounds),,360kg-with sidecar 600kg,,,,200 mm (7.9 inches),,,,
Harley-Davidson Model J,1928,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",136.8 km/h (85.0 mph),84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,,Chain   (final drive),,,,,,3-26 ,3-26 ,,Expanding brake (drum brake),Spoked,Single ,190.0 kg (418.9 pounds),,H.D generator,,,,,,,,,,,,,,,,,,,,,,,,
