Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel consumption,Greenhouse gases,Seat,Seat height,Fuel control,Engine details,Color options,Carrying capacity,Front suspension,Rear suspension,Light,Compression,Lubrication system,Clutch,"Weight incl. oil, gas, etc",Reserve fuel capacity,Exhaust system,Diameter,Modifications compared to previous model
NSU 501T,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Magneto,Air,3-speed,Chain   (final drive),Double steel,3.50-26 ,3.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,158.0 kg (348.3 pounds),0.0696 HP/kg,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,,,,,,
NSU 301T,1929,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),66.0 x 88.0 mm (2.6 x 3.5 inches),Carburettor. Amac MD 30,,Air,3-speed,Chain   (final drive),Double steel,3-25 ,3-25 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,130.0 kg (286.6 pounds),0.0538 HP/kg,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),Kick,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single ,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,
Sunbeam 95L Special,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,Chain   (final drive),,,,,,Spoked,,,,,,,,,,,Single ,,Overhead Valves (OHV),,,,,,,,,,,,,,
Ariel LB,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Black rims and spokes,,,,,,,,Electric,,,,,,Sidevalve,Black,Rear rack,,,,,,,,,,,
Harley-Davidson Model BA,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Schebler,,,,Chain   (final drive),,,,,,,,,,,,,,,,,Spring-mounted seat,,Sidevalves,,,,Leading link -coil springs,Rigid-,Headlights electric,,,,,,,,
Norton 490 CS 1,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,Carburettor,,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,145.0 kg (319.7 pounds),,,,,,,,,,Solo seat with springs,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,
BMW R63,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,735.0 ccm (44.85 cubic inches),"Two cylinder boxer, four-stroke",24.1 HP (17.6  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. 24mm,,Air,,Shaft drive (cardan)   (final drive),Steel-double cradle,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake). Single,,,,,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),12.50 litres (3.30 US gallons),Kick,,,,,Overhead Valves (OHV),,,210kg,Leading link ,,,6.2:1,Wet sump ,Dry-single plate-cable operated,152.0 kg (335.1 pounds),5.00 litres (1.32 US gallons),,,
Henderson KJ Streamline,1929,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1301.0 ccm (79.39 cubic inches),"In-line four, four-stroke",40.0 HP (29.2  kW)) @ 4000 RPM,164.0 km/h (101.9 mph),,Carburettor,,,,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,,Single ,,Overhead Valves (OHV),,,,,,,,,,,,Side exhaust valve four - cylinder,,
DKW E 200,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, two-stroke",,65.0 km/h (40.4 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,,Air,,,,2.5-26 ,2.5-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,83.0 kg (183.0 pounds),,,,,,,,,,Single ,,,,,,,,,,,,,,,,
DKW ZSW 500,1929,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)),100.0 km/h (62.1 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,,Liquid,,,,3.5-27 ,3.85-27 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,135.0 kg (297.6 pounds),0.1037 HP/kg,,,,,,,,,Two single seats,,,,,,,None,,,,,,,,,
