Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Fuel control,Cooling system,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Gearbox,Clutch,Light,Compression,Front tire,Rear tire,Dry weight,Front suspension,Rear suspension,Color options,Starter,Comments,Engine details,Lubrication system,Wheelbase,Fuel capacity,Fuel consumption,Greenhouse gases,Ignition,Frame type,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Power/weight ratio,Seat height,Oil capacity,Exhaust system,Modifications compared to previous model
Rudge Ulster 500,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Super Squirrel,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,,,,Chain   (final drive),,,,Solo seat with springs,3-speed,Two-speed foot shift,Actylene head and tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model DL,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),Carburettor,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,6.0:1,3-25 ,3-25 ,181.0 kg (399.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,
Terrot HST,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,90.0 km/h (55.9 mph),70.0 x 90.0 mm (2.8 x 3.5 inches),,,,,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked ,Solo seat,,,,,,,115.0 kg (253.5 pounds),Telescopic fork,Rigid,Orange/white,Kick,"Terrot was a motorcycle manufacturer in Dijon, France, from 1902 to 1958.",,,,,,,,,,,,,,,,,,,
Harley-Davidson Model B,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",,,73.0 x 82.6 mm (2.9 x 3.3 inches),,Sidevalves,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,136.0 kg (299.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model V,1930,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",30.0 HP (21.9  kW)) @ 4000 RPM,128.8 km/h (80.0 mph),,,Sidevalves,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,Dry multiplate,,4.5:1,,,,Leading link -coil springs,Rigid-,,,,45 degree V-twin,Dry multiplate,1524 mm (60.0 inches),15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,
Harley-Davidson Model VL,1930,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",30.0 HP (21.9  kW)) @ 4000 RPM,136.8 km/h (85.0 mph),,,Sidevalves,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,Dry multiplate,,4.5:1,,,,Leading link -coil springs,Rigid-,,,,45 degree V-twin,Dry multiplate,1524 mm (60.0 inches),15.14 litres (4.00 US gallons),5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,
BMW R11 Series 2,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,100.0 km/h (62.1 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. BMW single 24mm,Sidevalves,Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,,Spring-mounted seat,3-speed,Two plates-dry,,5.5:1,3.25-26.00 ,3.25-26.00 ,,Plate springe,Rigid,,Kick,,,Forced feed,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto,Steel-double cradlel,55 mm (2.2 inches),162.0 kg (357.1 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),210kg,,,,,
NSU 301T,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),66.0 x 88.0 mm (2.6 x 3.5 inches),Carburettor. Amac MD 30,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,3-speed,,,,3-25 ,3-25 ,130.0 kg (286.6 pounds),,,,Kick,,,,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Double steel,,,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),,0.0538 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,
BMW R 16,1930,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. BMW triple 26mm,Overhead Valves (OHV),,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),,Spoked,,,Doble plate-dry,,6.5:1,26-3.5 ,26-3.5 ,,Plate spring,Rigid-,,,,,,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto,Steel-frame loop,55 mm (2.2 inches),165.0 kg (363.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),,,,,,
Sunbeam 95L Special,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Chief,1930,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Telescopic,Plungertype with coil springs,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,
NSU 351TS,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),71.0 x 88.0 mm (2.8 x 3.5 inches),Carburettor. Amac,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,3-speed,,,,3.50-26 ,3.50-26 ,130.0 kg (286.6 pounds),,,,Kick,,,,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto Bosch,Double steel,,,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),,0.0615 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,
Magnat Debon 350 BST,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, two-stroke",,95.0 km/h (59.0 mph),,Carburettor,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Bicycle seat,,,,,,,130.0 kg (286.6 pounds),,,Green/silver,Kick,French manufacturer,,,,,,,,,,,,,,Luggage rack,,,,,
NSU 601 TS,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 4250 RPM,105.0 km/h (65.2 mph),87.5 x 99.0 mm (3.4 x 3.9 inches),Carburettor. Amac,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,3-speed,,,,3.50-26 ,4-27 ,165.0 kg (363.8 pounds),,,,Kick,,,,1390 mm (54.7 inches),13.00 litres (3.43 US gallons),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto Bosch,Double steel,,,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),,0.0758 HP/kg,,2.00 litres (2.11 US quarts),,
BMW R57,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 4000 RPM,115.0 km/h (71.5 mph),,Carburettor. 24mm Bing,,Air,Shaft drive (cardan)   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,Dry-single plate-cable operated,,5.8:1,3.50-26.00 ,3.50-26.00 ,,Leading link ,Long swingarm-oil pressure shocks,,Kick,,,Wet sump ,1400 mm (55.1 inches),12.00 litres (3.17 US gallons),,,,Steel doble cradle,200 mm (7.9 inches),,950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),360kg-with sidecar 600kg,,,,,
NSU 301TS,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),66.0 x 88.0 mm (2.6 x 3.5 inches),Carburettor. Amac MD 30,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,3-speed,,,,3-25 ,3-25 ,130.0 kg (286.6 pounds),,,,Kick,,,,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Magneto Bosch,Double steel,,,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),,0.0538 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,
Henderson KJ Streamline,1930,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1301.0 ccm (79.39 cubic inches),"In-line four, four-stroke",40.0 HP (29.2  kW)) @ 4000 RPM,164.0 km/h (101.9 mph),,Carburettor,Overhead Valves (OHV),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Side exhaust valve four - cylinder,
Norton 490 CS 1,1930,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,Carburettor,Single Overhead Cams (SOHC),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Solo seat with springs,,,,,,,145.0 kg (319.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,
NSU 501 SS,1930,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,2.50-26 ,3.25-26 ,158.0 kg (348.3 pounds),,,,Kick,,,,,11.00 litres (2.91 US gallons),,,,,,,,,,,0.1266 HP/kg,,,,
