Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Gearbox,Transmission type,Fuel consumption,Greenhouse gases,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Compression,Fuel control,Lubrication system,Clutch,Front suspension,Rear suspension,Diameter,Seat,"Weight incl. oil, gas, etc",Carrying capacity,Wheels,Modifications compared to previous model,Oil capacity,Color options,Comments,Seat height,Exhaust system,Driveline,Electrical,Engine details,Valves per cylinder
NSU 351TS,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),71.0 x 88.0 mm (2.8 x 3.5 inches),Carburettor,Magneto Bosch,Air,3-speed,Chain   (final drive),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double steel,3.50-26 ,3.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0615 HP/kg,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,
BMW R16 series 3,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",33.0 HP (24.1  kW)) @ 4500 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. Amal 26mm,Magneto,Air,3-speed,Shaft drive (cardan)   (final drive),2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,3.5-26 ,3.5-26 ,Expanding brake (drum brake),,,,950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,7.0:1,Overhead Valves (OHV),Wet sump ,Dry-single plate-cable operated,Leading link ,Rigid,55 mm (2.2 inches),Solo seat with springs,165.0 kg (363.8 pounds),210kg,,,,,,,,,,,
DKW Schüttoff JS 500,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,68.0 km/h (42.3 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,,Air,,,,,Pressed steel ,3.5-26 ,3.5-26 ,Expanding brake (drum brake),Expanding brake (drum brake),150.0 kg (330.7 pounds),,,,,,,,,Sidevalves,,,Telescopic,Rigid,,,,,Spoked,,,,,,,,,,
Rudge Ulster 500,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,,Air,,Chain   (final drive),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Overhead Valves (OHV),,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
Harley-Davidson Model C,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"Twin, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,,Chain   (final drive),,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),167.0 kg (368.2 pounds),,,,,,,,,,,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
BMW R 16,1932,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. BMW triple 26mm,Magneto,,,Shaft drive (cardan)   (final drive),5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-frame loop,26-3.5 ,26-3.5 ,Expanding brake (drum brake),,,,950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,6.5:1,Overhead Valves (OHV),,Doble plate-dry,Plate spring,Rigid-,55 mm (2.2 inches),Spring-mounted seat,165.0 kg (363.8 pounds),,,,,,,,,,,,
DKW Block 200,1932,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, two-stroke",,,60.0 x 68.0 mm (2.4 x 2.7 inches),Carburettor. Zweihebel-Framo B,Battery-,Air,4-speed,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel ,3.5-25 ,3.5-25 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),,,,,,,None,,Solo seat with springs,120.0 kg (264.6 pounds),,Spoked,,,,,,,,,,
Harley-Davidson Hillclimber,1932,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,,,,Magneto,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,Overhead Valves (OHV),,Single speed,,,,Single seat,,,,"A unknown, but limited number of these machines were made.",,,,,,,,,
Harley-Davidson Model R,1932,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",,,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,,Chain   (final drive),,,,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),181.0 kg (399.0 pounds),,,,,,,,,,,,,,,Single spring-mounted,,,Spoked,,,,,,,,,,
Harley-Davidson Servi-Car GE,1932,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,Sidevalves,,,Leading link-Springer type,,,Single spring-mounted,,,Spoked,,,,,,,,,,
