Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Color options,Starter,Comments,Clutch,Seat,Light,Ignition,Fuel consumption,Greenhouse gases,Lubrication system,Diameter,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Carrying capacity,Oil capacity,Seat height,Electrical
Ariel 4F Square Four 600,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,601.0 ccm (36.67 cubic inches),Square four cylinder,Double twin - square 4 cylinder arrangement,23.0 HP (16.8  kW)) @ 5600 RPM,140.0 km/h (87.0 mph),6.9:1,56.0 x 61.0 mm (2.2 x 2.4 inches),2,Carburettor. Amal,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),Burman gearbox,2 x 1-into-1 pipes,Semi-cradle ,Spring girders,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,168.0 kg (370.4 pounds),0.1369 HP/kg,1385 mm (54.5 inches),13.25 litres (3.50 US gallons),Black,Kick,Optional sidecar.,,,,,,,,,,,,,,,,
Scott Super Squirrel,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,,,,,,Carburettor,,,3-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,Two-speed foot shift,Solo seat with springs,Actylene head and tail,,,,,,,,,,,,,
NSU 351TS,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,8.0 HP (5.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),,71.0 x 88.0 mm (2.8 x 3.5 inches),,Carburettor,,Air,3-speed,Chain   (final drive),,,Double steel,,,3.50-26 ,3.50-26 ,Expanding brake (drum brake),Expanding brake (drum brake),,130.0 kg (286.6 pounds),0.0615 HP/kg,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),,Kick,,,,,Magneto Bosch,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,
Rudge Ulster 500,1933,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),,85.0 x 88.0 mm (3.3 x 3.5 inches),,Carburettor,Overhead Valves (OHV),Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,Single spring-mounted,,,,,,,,,,,,,,
BMW R16 series 4,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",,33.0 HP (24.1  kW)) @ 4500 RPM,126.0 km/h (78.3 mph),7.0:1,83.0 x 68.0 mm (3.3 x 2.7 inches),,Carburettor. Amal 26mm,Overhead Valves (OHV),Air,3-speed,Shaft drive (cardan)   (final drive),,,Pressed steel duplex,Leading link ,Rigid,3.5-26 ,3.5-26 ,Expanding brake (drum brake),,,,,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,Kick,,Dry-single plate-cable operated,Solo seat with springs,,Magneto,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,55 mm (2.2 inches),165.0 kg (363.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),210kg,,,
DKW Block 300,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, two-stroke",,,,,74.0 x 68.0 mm (2.9 x 2.7 inches),,Carburettor. Zweihebel-Framo B,,Air,4-speed,Chain   (final drive),,,Pressed steel ,,None,3.5-25 ,3.5-25 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),,,,,Solo seat with springs,,Battery-,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,123.0 kg (271.2 pounds),,,,,,,
BMW R11 Series 4,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",,18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),,Carburettor. 24mm Amal ,Sidevalves,Air,3-speed,Shaft drive (cardan)   (final drive),,,Steel-double cradlel,Plate springe,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),,,,,1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,Kick,,Two plates-dry,,,Magneto,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Forced feed,55 mm (2.2 inches),162.0 kg (357.1 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),210kg,,,
BSA M33-11,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,,,,85.0 x 105.0 mm (3.3 x 4.1 inches),,Carburettor,Overhead Valves (OHV),,,Chain   (final drive),,,Duplex cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Two single seats,,,,,,,,,,,,,,
NSU 251 OSL,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",,9.0 HP (6.6  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),,64.0 x 75.0 mm (2.5 x 3.0 inches),,Carburettor. Amal or Graetzin,,Air,4-speed,Chain   (final drive),,,Open double steel,,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,126.0 kg (277.8 pounds),0.0714 HP/kg,1285 mm (50.6 inches),11.50 litres (3.04 US gallons),,Kick,,,Single spring-mounted,,Battery-Bosch,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),,1.50 litres (1.59 US quarts),,
BMW R4 Series 2,1933,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,12.0 HP (8.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),5.7:1,84.0 x 78.0 mm (3.3 x 3.1 inches),,Carburettor. SUM CK 3/500 Fr,Overhead Valves (OHV),Air,,Shaft drive (cardan)   (final drive),,,Pressed steel duplex,Cartridge,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,1300 mm (51.2 inches),10.00 litres (2.64 US gallons),,Kick,,Dry-single plate-cable operated,Solo seat with springs,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,180 mm (7.1 inches),137.0 kg (302.0 pounds),950 mm (37.4 inches),1980 mm (78.0 inches),850 mm (33.5 inches),200kg,,,
Harley-Davidson Servi-Car GE,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,Sidevalves,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,Single spring-mounted,,,,,,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,,,
Coventry Eagle Flying 350,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,97.0 km/h (60.3 mph),,,,Carburettor,Sidevalves,Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,Single seat,,,,,,,,,,,,,,
Indian 402,1933,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,153.0 km/h (95.1 mph),,,,Carburettor,,,,Chain   (final drive),,,Twin downtube,Trailing link,Rigid,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,Single spring-mounted,,,,,,,,,,,,,,
NSU 301TS,1933,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",,7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),,66.0 x 88.0 mm (2.6 x 3.5 inches),,Carburettor. Amac MD 30,,Air,3-speed,Chain   (final drive),,,Double steel,,,3-25 ,3-25 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,130.0 kg (286.6 pounds),0.0538 HP/kg,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),,Kick,,,Single ,,Magneto Bosch,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,920 mm (36.2 inches),1990 mm (78.3 inches),830 mm (32.7 inches),,,"690 mm (27.2 inches) If adjustable, lowest setting.",
