Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Carrying capacity,Ignition,Gearbox,Wheels,Dry weight,Power/weight ratio,Seat height,Oil capacity,Light,Driveline,Color options,Electrical,Engine details,Valves per cylinder,Exhaust system,Comments
BMW R4 Series 3,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),5.7:1,84.0 x 78.0 mm (3.3 x 3.1 inches),Carburettor,Overhead Valves (OHV),Wet sump ,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,Cartridge,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),180 mm (7.1 inches),Expanding brake (drum brake),Solo seat with springs,137.0 kg (302.0 pounds),950 mm (37.4 inches),1980 mm (78.0 inches),850 mm (33.5 inches),1300 mm (51.2 inches),12.00 litres (3.17 US gallons),Kick,200kg,,,,,,,,,,,,,,,
Velocette Mac ,1934,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Wet multiplate,,,Single cradle,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),Dual seat,,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),1276 mm (50.2 inches),11.00 litres (2.91 US gallons),Kick,,Magneto,4-speed,Spoked,161.0 kg (354.9 pounds),0.1118 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,
Indian Chief,1934,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,Chain   (final drive),,,,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,,
Coventry Eagle Flying 350,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,97.0 km/h (60.3 mph),,,Carburettor,Sidevalves,,Air,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single seat,,,,,,,,,,,,,,,,,,,,,,,
NSU 251 OSL,1934,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),,64.0 x 75.0 mm (2.5 x 3.0 inches),Carburettor. Amal or Graetzin,,,Air,Chain   (final drive),,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Open double steel,,,3-19 ,3-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),11.50 litres (3.04 US gallons),Kick,,Battery-Bosch,4-speed,Spoked,126.0 kg (277.8 pounds),0.0714 HP/kg,,1.50 litres (1.59 US quarts),,,,,,,,
Harley-Davidson Speedway racer,1934,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,,16.5:1,,,Overhead Valves (OHV),,,,None,,,,,,,,,,,,95.3 kg (210.0 pounds),,,,,,,,,,,,,,,,,,,,,,
Norton 490 CS 1,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,128.8 km/h (80.0 mph),,,Carburettor,Single Overhead Cams (SOHC),,,Chain   (final drive),,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Solo seat with springs,,,,,,,,,,,Spoked,145.0 kg (319.7 pounds),,,,,,,,,,,
BMW R16 series 5,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",33.0 HP (24.1  kW)) @ 4500 RPM,126.0 km/h (78.3 mph),7.0:1,83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. Amal 26mm,Overhead Valves (OHV),Wet sump ,Air,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Pressed steel duplex,Leading link ,Rigid,3.5-26 ,3.5-26 ,Expanding brake (drum brake),55 mm (2.2 inches),,Solo seat with springs,165.0 kg (363.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,210kg,Magneto,3-speed,,,,,,,,,,,,,
BMW R11 Series 5,1934,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4000 RPM,112.0 km/h (69.6 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. 24mm Amal ,Sidevalves,Forced feed,Air,Shaft drive (cardan)   (final drive),Two plates-dry,,,Steel-double cradlel,Plate springe,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),55 mm (2.2 inches),,,162.0 kg (357.1 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Kick,,Magneto,3-speed,,,,,,,,,,,,,
Harley-Davidson Model VD,1934,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1200.0 ccm (73.22 cubic inches),"V2, four-stroke",,,,,,Sidevalves,,,,,,,,,,,,,,,Single seat,,,,,,,,,Generator and battery,,,,,,,,,,,,,,
