Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Ignition,Cooling system,Transmission type,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Starter,Fuel control,Seat,Compression,Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Diameter,Fuel capacity,Carrying capacity,Gearbox,Clutch,"Weight incl. oil, gas, etc",Oil capacity,Engine details,Valves per cylinder,Driveline,Exhaust system,Seat height,Color options,Electrical,Light
NSU 601 TS,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",12.5 HP (9.1  kW)) @ 4250 RPM,105.0 km/h (65.2 mph),87.5 x 99.0 mm (3.4 x 3.9 inches),Carburettor. Amac,Magneto Bosch,Air,Chain   (final drive),Double steel,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,165.0 kg (363.8 pounds),0.0758 HP/kg,1040 mm (40.9 inches),2100 mm (82.7 inches),830 mm (32.7 inches),1390 mm (54.7 inches),Kick,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam 95L Special,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,Chain   (final drive),,,,,,Spoked,,,,,,,,Overhead Valves (OHV),Single ,,,,,,,,,,,,,,,,,,,,,
BMW R12 Single Carb,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. CK 25mm,Magneto,,,Steel-pressed-loop,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),1380 mm (54.3 inches),Kick,Standing valves,Single seat,5.2:1,Forced feed,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Telescopic fork,Rigid-,200 mm (7.9 inches),14.00 litres (3.70 US gallons),300,,,,,,,,,,,,
Zündapp K 200 Kardan,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 4000 RPM,80.0 km/h (49.7 mph),60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing 20mm,,Air,Shaft drive (cardan)   (final drive),,3-26 ,3-26 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,132.0 kg (291.0 pounds),0.0492 HP/kg,,,,,Kick,,Two single seats,,,,,Telescopic,Rigid,,12.00 litres (3.17 US gallons),,4-speed,,,,,,,,,,,
BMW R4 Series 4,1935,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 4000 RPM,95.0 km/h (59.0 mph),,Carburettor. Sum CK 3/500 Fr,,Air,Shaft drive (cardan)   (final drive),Pressed steel duplex,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,950 mm (37.4 inches),1980 mm (78.0 inches),850 mm (33.5 inches),1303 mm (51.3 inches),Kick,Overhead Valves (OHV),Solo seat with springs,5.7:1,Wet sump ,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Cartridge,Rigid,180 mm (7.1 inches),12.00 litres (3.17 US gallons),,,Dry-single plate-cable operated,,,,,,,,,,
NSU 501 TS,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Magneto Bosch,Air,Chain   (final drive),Double steel,3.50-26 ,4-27 ,Expanding brake (drum brake),Expanding brake (drum brake),,185.0 kg (407.9 pounds),0.0595 HP/kg,,,,1390 mm (54.7 inches),,,,,,,,,,,,,,,,,,,,,,,,
BMW R17,1935,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,736.0 ccm (44.91 cubic inches),"Two cylinder boxer, four-stroke",33.0 HP (24.1  kW)) @ 4500 RPM,140.0 km/h (87.0 mph),83.0 x 68.0 mm (3.3 x 2.7 inches),Carburettor. Amal 26mm,Battery,Air,Shaft drive (cardan)   (final drive),Steel-double cradlel,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,940 mm (37.0 inches),2100 mm (82.7 inches),890 mm (35.0 inches),1380 mm (54.3 inches),Kick,Overhead Valves (OHV),Solo seat with springs,6.5:1,Wet sump ,,,Cartridge,Rigid,200 mm (7.9 inches),14.00 litres (3.70 US gallons),210kg,4-speed,Dry-multiplate-cable operated,165.0 kg (363.8 pounds),,,,,,,,,
Cotton Racer 350,1935,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,,,,,,,,,,,,,Overhead Valves (OHV),Single seat,,,,,,,,,,,,,,,,,,,,,
Nimbus 2510,1935,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,Carburettor,,,,,,,,,,,,,,,,,Overhead Cams (OHC),Two single seats,,,,,Telescopic,,,,,3-speed,,,,,,,,,,,
NSU 501 OSL,1935,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5150 RPM,130.0 km/h (80.8 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor. Graetzin KE 27/45,,Air,,Steel,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,150.0 kg (330.7 pounds),0.1467 HP/kg,1000 mm (39.4 inches),2180 mm (85.8 inches),850 mm (33.5 inches),1420 mm (55.9 inches),Kick,,Single ,,,,,,,,12.30 litres (3.25 US gallons),,4-speed,,,,,,,,,,,
