Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Fuel control,Cooling system,Transmission type,Power,Bore x stroke,Gearbox,Fuel consumption,Greenhouse gases,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Frame type,Engine details,Compression,Valves per cylinder,Lubrication system,Driveline,Exhaust system,Front suspension,Rear suspension,Ignition,Clutch,Diameter,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Oil capacity,Color options,Electrical,Light
Coventry Eagle Flying 350,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",97.0 km/h (60.3 mph),Carburettor,Sidevalves,Air,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 201 OSL,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",90.0 km/h (55.9 mph),Carburettor. Amal,,Air,Chain   (final drive),8.5 HP (6.2  kW)) @ 5000 RPM,58.0 x 75.0 mm (2.3 x 3.0 inches),4-speed,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,120.0 kg (264.6 pounds),0.0708 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),11.50 litres (3.04 US gallons),Kick,,,,,,,,,,,,,,,,,,,
NSU 351 OSL,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",110.0 km/h (68.4 mph),Carburettor. Graetzin KE 25/43,,Air,Chain   (final drive),18.0 HP (13.1  kW)) @ 5020 RPM,75.0 x 79.0 mm (3.0 x 3.1 inches),4-speed,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,110.0 kg (242.5 pounds),0.1636 HP/kg,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),1420 mm (55.9 inches),12.30 litres (3.25 US gallons),Kick,Open double steel,,,,,,,,,,,,,,,,,,
Ariel 4F Square Four 600,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,601.0 ccm (36.67 cubic inches),Square four cylinder,120.7 km/h (75.0 mph),Carburettor. Amal,Overhead Cams (OHC),Air,Chain   (final drive),24.0 HP (17.5  kW)) @ 6000 RPM,56.0 x 61.0 mm (2.2 x 2.4 inches),4-speed,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,168.0 kg (370.4 pounds),0.1429 HP/kg,,,,1385 mm (54.5 inches),13.25 litres (3.50 US gallons),Kick,Tubular single loop,Double twin - square 4 cylinder arrangement,6.9:1,2,Wet sump,Burman gearbox,2 x 1-into-1 pipes,Spring girders,Rigid,,,,,,,,,,
Harley-Davidson Servi-Car GE,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",101.0 km/h (62.8 mph),,Sidevalves,,,24.0 HP (17.5  kW)) @ 4400 RPM,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,,,,,Leading link-Springer type,,,,,,,,,,,
BMW R5,1936,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",140.0 km/h (87.0 mph),Carburettor. Amal ,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),24.1 HP (17.6  kW)) @ 5500 RPM,68.0 x 68.0 mm (2.7 x 2.7 inches),4-speed,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.50-19.00 ,3.50-19.00 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,Single seat,,,950 mm (37.4 inches),2130 mm (83.9 inches),800 mm (31.5 inches),1400 mm (55.1 inches),15.00 litres (3.96 US gallons),Kick,Steel-double cradlel,,6.7:1,,Wet sump ,,,Telescopic fork,Rigid,Battery,Dry-single plate,200 mm (7.9 inches),165.0 kg (363.8 pounds),,,,,,
Indian Chief,1936,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,Carburettor. Linkert,,,Chain   (final drive),,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,1540 mm (60.6 inches),,,,,,,,,,Telescopic,Plungertype with coil springs,,,,,,,,,,
NSU 501 OSL,1936,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",130.0 km/h (80.8 mph),Carburettor. Graetzin KE 27/45,,Air,,22.0 HP (16.1  kW)) @ 5150 RPM,80.0 x 99.0 mm (3.1 x 3.9 inches),4-speed,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.1467 HP/kg,1000 mm (39.4 inches),2180 mm (85.8 inches),850 mm (33.5 inches),1420 mm (55.9 inches),12.30 litres (3.25 US gallons),Kick,Steel,,,,,,,,,,,,,,,,,,
Vincent HRD Series A Rapide,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",180.0 km/h (111.8 mph),Carburettor. Amal ,Overhead Valves (OHV),,Chain   (final drive),45.0 HP (32.8  kW)) @ 5500 RPM,84.0 x 90.0 mm (3.3 x 3.5 inches),4-speed,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Feridax Dunopillo Dualseat,,,,,,1410 mm (55.5 inches),,,Brazed lug duplex tubular cradle,47.5 degree V-twin,6.8:1,,,,,Gilder fork with coil over shock,Cantilever,,Wet multiplate,,206.4 kg (455.0 pounds),,,,,,
Zündapp K 600,1936,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Four cylinder boxer, four-stroke",100.0 km/h (62.1 mph),Carburettor. Amal,,Air,Shaft drive (cardan)   (final drive),15.0 HP (10.9  kW)) @ 4300 RPM,53.0 x 66.6 mm (2.1 x 2.6 inches),,,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,193.0 kg (425.5 pounds),0.0777 HP/kg,,,,,,Kick,,,,,,,,Telescopic,Rigid,,,,,,,,,,
