Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Light,Modifications compared to previous model,Top speed,Bore x stroke,Wheels,"Weight incl. oil, gas, etc",Cooling system,Front tire,Rear tire,Overall height,Overall length,Overall width,Fuel capacity,Starter,Compression,Valves per cylinder,Gearbox,Frame type,Diameter,Color options,Lubrication system,Clutch,Carrying capacity,Fuel consumption,Greenhouse gases,Driveline,Oil capacity,Electrical,Seat height
Triumph Speed Twin ,1937,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",360 degree paprallel,27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,Overhead Valves (OHV),Lucas altrnator,Chain   (final drive),Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),Headlamp-Turner designed nacelle,First shown i 1937 at the National Motorcycle Show,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW Kompressor,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,492.0 ccm (30.02 cubic inches),"Two cylinder boxer, four-stroke",Supercharged with aluminium cylinders-magnesium  block,,Carburettor. DellÓrto,Double Overhead Cams/Twin Cam (DOHC),,Shaft drive (cardan)   (final drive),Telescopic,Pluger rigid,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,,,,220.0 km/h (136.7 mph),66.0 x 72.0 mm (2.6 x 2.8 inches),Spoked,138.0 kg (304.2 pounds),,,,,,,,,,,,,,,,,,,,,,,
NSU 351 OT,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,331.0 ccm (20.20 cubic inches),"Single cylinder, four-stroke",,12.5 HP (9.1  kW)) @ 5020 RPM,Carburettor. Bing AJF 2/20,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,150.0 kg (330.7 pounds),0.0833 HP/kg,1285 mm (50.6 inches),,,105.0 km/h (65.2 mph),75.0 x 75.0 mm (3.0 x 3.0 inches),Spoked,,Air,3.25-19 ,3.25-19 ,930 mm (36.6 inches),2000 mm (78.7 inches),760 mm (29.9 inches),12.30 litres (3.25 US gallons),Kick,,,,,,,,,,,,,,,
Ariel 4G Square Four 1000,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,Double twin cylinder arranged as a square,35.0 HP (25.5  kW)) @ 5500 RPM,Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Chain   (final drive),Telescopic fork,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),,193.0 kg (425.5 pounds),0.1813 HP/kg,1422 mm (56.0 inches),,,140.0 km/h (87.0 mph),65.0 x 78.0 mm (2.6 x 3.1 inches),Wire spoked,,Air,3.25-19 ,4.00-18 ,,2083 mm (82.0 inches),,23.00 litres (6.08 US gallons),Kick,6.0:1,2,4-speed,Tubular single loop,178 mm (7.0 inches),Red/white,,,,,,,,,
NSU 601 OSL,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 4950 RPM,Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,150.0 kg (330.7 pounds),0.1600 HP/kg,1420 mm (55.9 inches),,,,85.0 x 99.0 mm (3.3 x 3.9 inches),,,Air,3.50-19 ,3.50-19 ,,,,,Kick,,,,,,,,,,,,,,,
Indian Series 441,1937,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,,,,,,Pluger rigid,,,Single seat,,,,,,152.9 km/h (95.0 mph),,,257.6 kg (568.0 pounds),Air,5.00-18 ,5.00-18 ,,,,,,,,,,,,,,,,,,,,
Zündapp K 500,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",,16.0 HP (11.7  kW)) @ 4500 RPM,Carburettor. Bing 22mm,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,180.0 kg (396.8 pounds),0.0889 HP/kg,,,,105.0 km/h (65.2 mph),69.0 x 66.6 mm (2.7 x 2.6 inches),Spoked,,Air,3.50-19 ,3.50-19 ,,,,,Kick,,,4-speed,,,,,,,,,,,,
Norton 490 CS 1,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,,,,,,128.8 km/h (80.0 mph),,Spoked,,,,,,,,,,,,,,,,,,,,,,,,
NSU 351 OSL,1937,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5020 RPM,Carburettor. Graetzin KE 25/43,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,110.0 kg (242.5 pounds),0.1636 HP/kg,1420 mm (55.9 inches),,,110.0 km/h (68.4 mph),75.0 x 79.0 mm (3.0 x 3.1 inches),Spoked,,Air,3.25-19 ,3.25-19 ,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),12.30 litres (3.25 US gallons),Kick,,,4-speed,Open double steel,,,,,,,,,,,
BMW R20,1937,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,8.0 HP (5.9  kW)) @ 5400 RPM,Carburettor,Overhead Valves (OHV),Battery,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,,,1330 mm (52.4 inches),,,95.0 km/h (59.0 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),,130.0 kg (286.6 pounds),Air,2.99-19 ,2.99-19 ,900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),12.00 litres (3.17 US gallons),Kick,6.1:1,,3-speed,Steel-single cradlel,160 mm (6.3 inches),,Wet sump ,Dry-multiplate-cable operated,200kg,,,,,,
