Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Fuel control,Lubrication system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Power,Top speed,Bore x stroke,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Starter,Frame type,Fuel capacity,Clutch,Diameter,Oil capacity,Compression,Ignition,Engine details,"Weight incl. oil, gas, etc",Driveline,Color options,Electrical,Seat height,Carrying capacity,Valves per cylinder,Comments,Fuel consumption,Greenhouse gases,Light,Exhaust system,Modifications compared to previous model
Harley-Davidson Model U,1938,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1209.0 ccm (73.77 cubic inches),"V2, four-stroke",Carburettor. Linkert,Sidevalves,Dry sump,Chain   (final drive),Leading link -coil springs,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 201 OSL,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,8.5 HP (6.2  kW)) @ 5000 RPM,90.0 km/h (55.9 mph),58.0 x 75.0 mm (2.3 x 3.0 inches),Air,4-speed,3-19 ,3-19 ,Spoked,120.0 kg (264.6 pounds),0.0708 HP/kg,1000 mm (39.4 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),Kick,,,,,,,,,,,,,,,,,,,,,
Indian Chief,1938,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",Carburettor. Linkert,,,Chain   (final drive),Telescopic,Plungertype with coil springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,,,,,,
Rudge Ulster 500,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Air,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU 251 OSL WH,1938,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,242.0 ccm (14.77 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,10.5 HP (7.7  kW)) @ 5300 RPM,95.0 km/h (59.0 mph),64.0 x 75.0 mm (2.5 x 3.0 inches),Air,,3-19 ,3-19 ,Spoked,144.0 kg (317.5 pounds),0.0729 HP/kg,950 mm (37.4 inches),2040 mm (80.3 inches),780 mm (30.7 inches),,Kick,Steel,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,
Velocette KTT,1938,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",Carburettor,Overhead Cams (OHC),,,Webb girder forks,Swingarm,Expanding brake (drum brake). Magnesium,Expanding brake (drum brake). Magnesium,Dual seat,27.0 HP (19.7  kW)) @ 6500 RPM,185.1 km/h (115.0 mph),,Air,,,,,,,,,,,,,15.14 litres (4.00 US gallons),Four speed ,70 mm (2.8 inches),0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,
DKW SB 500,1938,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",Carburettor. Amal,,,Chain   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,15.0 HP (10.9  kW)) @ 4000 RPM,115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Air,,3.5-19 ,3.5-19 ,,165.0 kg (363.8 pounds),0.0909 HP/kg,,,,,,,13.00 litres (3.43 US gallons),,,,5.7:1,,,,,,,,,,,,,,,
Nimbus 2510,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",Carburettor,Overhead Cams (OHC),,,Telescopic,,,,Two single seats,,,,,3-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Carburettor. Amal,Overhead Valves (OHV),Dry sump,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,27.0 HP (19.7  kW)) @ 6300 RPM,,,,,,,,,,,,,1400 mm (55.1 inches),,,,,,,,Battery/ coil,,,,,,,,,,,,,,
Vincent HRD Series A Rapide,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Carburettor. Amal ,Overhead Valves (OHV),,Chain   (final drive),Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Feridax Dunopillo Dualseat,45.0 HP (32.8  kW)) @ 5500 RPM,180.0 km/h (111.8 mph),84.0 x 90.0 mm (3.3 x 3.5 inches),,4-speed,,,,,,,,,1410 mm (55.5 inches),,Brazed lug duplex tubular cradle,,Wet multiplate,,,6.8:1,,47.5 degree V-twin,206.4 kg (455.0 pounds),,,,,,,,,,,,
Ariel VH 500 Red Hunter,1938,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal,Overhead Valves (OHV),Dry sump with dual plunger pumps,Chain   (final drive),Grider forks,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single seat with springs,24.0 HP (17.5  kW)) @ 6000 RPM,,86.4 x 85.0 mm (3.4 x 3.3 inches),Air,4-speed,3.00-20 ,3.25-19 ,Wire spoked. Red/chrome rims.,190.0 kg (418.9 pounds),0.1263 HP/kg,,2180 mm (85.8 inches),641 mm (25.2 inches),,Kick,Semi double cradle,14.80 litres (3.91 US gallons),Dry,,3.40 litres (3.59 US quarts),6.0:1,,,,Burman,Red,6V battery.,,,,,,,,,
Velocette Mac ,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",Carburettor,Overhead Valves (OHV),,Chain   (final drive),Hydralic telescopic forks,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),68.0 x 96.0 mm (2.7 x 3.8 inches),Air,4-speed,3.25-19 ,3.50-19 ,Spoked,161.0 kg (354.9 pounds),0.1118 HP/kg,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),1276 mm (50.2 inches),Kick,Single cradle,11.00 litres (2.91 US gallons),Wet multiplate,152 mm (6.0 inches),,6.8:1,Magneto,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,
Zündapp KKS  500 Kardan Sport,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Amal,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,24.0 HP (17.5  kW)) @ 5200 RPM,140.0 km/h (87.0 mph),66.0 x 66.6 mm (2.6 x 2.6 inches),Air,,3.50-19 ,3.50-19 ,Spoked,175.0 kg (385.8 pounds),0.1371 HP/kg,,,,,Kick,,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,
BMW R23,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",Carburettor. Amal ,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,10.1 HP (7.3  kW)) @ 5400 RPM,95.0 km/h (59.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Air,3-speed,2.99-19 ,2.99-19 ,,,,900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),1330 mm (52.4 inches),Kick,Steel-single cradlel,9.60 litres (2.54 US gallons),Single plate dry,180 mm (7.1 inches),,6.1:1,Battery,,135.0 kg (297.6 pounds),,,,,200kg,,,,,,,
Ardie RBU 350 Waldläufer,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,343.0 ccm (20.93 cubic inches),"Single cylinder, four-stroke",Carburettor,,,Chain   (final drive),,None,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,10.0 HP (7.3  kW)) @ 4500 RPM,,72.0 x 85.0 mm (2.8 x 3.3 inches),Air,,3.25-19 ,3.25-19 ,Spoked,135.0 kg (297.6 pounds),0.0741 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian 402,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",Carburettor,,,Chain   (final drive),Trailing link,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,153.0 km/h (95.1 mph),,,,,,Spoked,,,,,,,,Twin downtube,,,,,,,,,,,,,,,,,,,,
NSU 501 OSL,1938,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",Carburettor. Graetzin KE 27/45,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,22.0 HP (16.1  kW)) @ 5150 RPM,130.0 km/h (80.8 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Air,,3.25-19 ,3.25-19 ,Spoked,150.0 kg (330.7 pounds),0.1467 HP/kg,1000 mm (39.4 inches),2180 mm (85.8 inches),850 mm (33.5 inches),1420 mm (55.9 inches),Kick,Steel,,,,,,,,,,,,,,,,,,,,
Ariel 4G Square Four 1000,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),Square four cylinder,Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Chain   (final drive),Telescopic fork,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),65.0 x 78.0 mm (2.6 x 3.1 inches),Air,4-speed,3.25-19 ,4.00-18 ,Wire spoked,193.0 kg (425.5 pounds),0.1813 HP/kg,,2083 mm (82.0 inches),,1422 mm (56.0 inches),Kick,Tubular single loop,23.00 litres (6.08 US gallons),,178 mm (7.0 inches),,6.0:1,,Double twin cylinder arranged as a square,,,Red/white,,,,2,Also called ´Squariel´.,,,,,
BMW R35,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, four-stroke",Carburettor. SUM CK 9/22,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Cartridge,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,14.0 HP (10.2  kW)) @ 3500 RPM,100.0 km/h (62.1 mph),72.0 x 84.0 mm (2.8 x 3.3 inches),Air,4-speed,3.50-19 ,3.50-19 ,,,,950 mm (37.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),1400 mm (55.1 inches),Kick,Steel twin looped,,Single plate dry-cable operated,180 mm (7.1 inches),,6.1:1,Batery,,152.0 kg (335.1 pounds),,,,,200kg,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,
Triumph Speed Twin ,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",Carburettor. Amal,Overhead Valves (OHV),,Chain   (final drive),Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,27.0 HP (19.7  kW)) @ 6300 RPM,,,,,,,,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,1400 mm (55.1 inches),,,,,,,,Lucas altrnator,360 degree paprallel,,,,,,,,,,,Headlamp-Turner designed nacelle,,
DKW SB 500A,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Twin, two-stroke",Carburettor. Bing,,,Chain   (final drive),Girder fork coil spring,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Liquid,,,,,,,,,,,Electric,,,Foot-operated,,,,,Combined two 247cc cylinders on a single block,,,,,,,,,,,Twin headlights,,
BSA Empire Star,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,,,,Black-Chrome-Green,,,,,,,,,,
NSU 351 OT,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,331.0 ccm (20.20 cubic inches),"Single cylinder, four-stroke",Carburettor. Bing AJF 2/20,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,12.5 HP (9.1  kW)) @ 5020 RPM,105.0 km/h (65.2 mph),75.0 x 75.0 mm (3.0 x 3.0 inches),Air,,3.25-19 ,3.25-19 ,Spoked,150.0 kg (330.7 pounds),0.0833 HP/kg,930 mm (36.6 inches),2000 mm (78.7 inches),760 mm (29.9 inches),1285 mm (50.6 inches),,,12.30 litres (3.25 US gallons),,,,,,,,,,,,,,,,,,,
Zündapp K 800,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,791.0 ccm (48.27 cubic inches),"Four cylinder boxer, four-stroke",Carburettor. Amal 22mm,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,22.0 HP (16.1  kW)) @ 4300 RPM,125.0 km/h (77.7 mph),62.0 x 66.6 mm (2.4 x 2.6 inches),Air,4-speed,3.50-19 ,3.50-19 ,Spoked,193.0 kg (425.5 pounds),0.1140 HP/kg,,,,,,,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,
Zündapp KS 500 Kardan Sport,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Amal,,,Shaft drive (cardan)   (final drive),,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,24.0 HP (17.5  kW)) @ 5200 RPM,135.0 km/h (83.9 mph),66.0 x 66.6 mm (2.6 x 2.6 inches),Air,,3.50-19 ,3.50-19 ,Spoked,185.0 kg (407.9 pounds),0.1297 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW Kompressor,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,492.0 ccm (30.02 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. DellÓrto,Double Overhead Cams/Twin Cam (DOHC),,Shaft drive (cardan)   (final drive),Telescopic,Pluger rigid,Expanding brake (drum brake),Expanding brake (drum brake),,,220.0 km/h (136.7 mph),66.0 x 72.0 mm (2.6 x 2.8 inches),,,,,Spoked,,,,,,,,,,,,,,,Supercharged with aluminium cylinders-magnesium  block,138.0 kg (304.2 pounds),,,,,,,,,,,,
BMW R51,1938,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Amal ,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,24.1 HP (17.6  kW)) @ 5600 RPM,140.0 km/h (87.0 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Air,4-speed,3.50-19.00 ,3.50-19.00 ,,,,960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),Kick,Steel single cradle,14.00 litres (3.70 US gallons),Dry-single plate-cable operated,200 mm (7.9 inches),,6.7:1,Battery,,182.0 kg (401.2 pounds),,,,,210kg,,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,
BMW R12 Single Carb,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. CK 25mm,Standing valves,Forced feed,,Telescopic fork,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),,,3.5-19 ,3.5-19 ,,,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),1380 mm (54.3 inches),Kick,Steel-pressed-loop,14.00 litres (3.70 US gallons),,200 mm (7.9 inches),,5.2:1,Magneto,,,,,,,,,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,
BMW R20,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",Carburettor,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Telescopic fork,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,8.0 HP (5.9  kW)) @ 5400 RPM,95.0 km/h (59.0 mph),63.0 x 64.0 mm (2.5 x 2.5 inches),Air,3-speed,2.99-19 ,2.99-19 ,,,,900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),1330 mm (52.4 inches),Kick,Steel-single cradlel,12.00 litres (3.17 US gallons),Dry-multiplate-cable operated,160 mm (6.3 inches),,6.1:1,Battery,,130.0 kg (286.6 pounds),,,,,,,,,,,,
