Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Compression,Fuel control,Ignition,Lubrication system,Clutch,Exhaust system,Frame type,Diameter,Fuel capacity,Color options,Starter,Engine details,Front suspension,Rear suspension,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Gearbox,Modifications compared to previous model,Light,Carrying capacity,Valves per cylinder,Comments,Seat height,Oil capacity,Driveline,Electrical
DKW NZ 500,1939,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",489.0 ccm (29.84 cubic inches),"Twin, two-stroke",18.5 HP (13.5  kW)) @ 4200 RPM,115.0 km/h (71.5 mph),64.0 x 76.0 mm (2.5 x 3.0 inches),Carburettor,Air,Chain   (final drive),3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,195.0 kg (429.9 pounds),0.0949 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocette KTT Mk VIII,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Amal,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,125.0 kg (275.6 pounds),0.2800 HP/kg,7.8:1,Overhead Valves (OHV),Bobine,Dry sump,Wet multiplate,Single -Chrome,Single cradle,178 mm (7.0 inches),11.40 litres (3.01 US gallons),Multicolored. Black with gold pin striping,Kick,,,,,,,,,,,,,,,,,,,,
BMW Kompressor,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,492.0 ccm (30.02 cubic inches),"Two cylinder boxer, four-stroke",,,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,Supercharged with aluminium cylinders,Telescopic,Pluger rigid,138.0 kg (304.2 pounds),,,,,,,,,,,,,,,,
NSU 501 OSL,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5150 RPM,130.0 km/h (80.8 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Air,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.1467 HP/kg,,,,,,,Steel,,,,Kick,,,,,1000 mm (39.4 inches),2180 mm (85.8 inches),850 mm (33.5 inches),1420 mm (55.9 inches),,,,,,,,,,,,
BMW R12 Single Carb,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. CK 25mm,,,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,,,5.2:1,Standing valves,Magneto,Forced feed,,,Steel-pressed-loop,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,Kick,,Telescopic fork,Rigid-,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),1380 mm (54.3 inches),3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,
BMW R71,1939,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4600 RPM,125.0 km/h (77.7 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Graetzin G24,Air,Shaft drive (cardan)   (final drive),3.5-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),Spoked,Single seat,,,5.5:1,Overhead Valves (OHV),,Wet sump ,Dry-single plate-cable operated,,Tubular steal duplex cradle,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,Kick,,Cartridge,Twin shock-swingarm,187.0 kg (412.3 pounds),960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,4-speed,,,,,,,,,
BSA Empire Star,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Chain   (final drive),,,,,,,,,,Overhead Valves (OHV),,,,,,,,Black-Chrome-Green,,,,,,,,,,,,,,,,,,,,,
Indian Series 441,1939,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,152.9 km/h (95.0 mph),,,Air,,5.00-18 ,5.00-18 ,,,,Single seat,,,,,,,,,,,,,,,,,257.6 kg (568.0 pounds),,,,,,,,,,,,,,,,
Maico F100 Piccolo Derby,1939,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,48.0 x 54.0 mm (1.9 x 2.1 inches),Carburettor,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,,,,,,,,,,,,Coil springs-dual,None,,,,,,,,,,,,,,,,,
DKW SB 500,1939,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.9 ccm (30.14 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 4000 RPM,115.0 km/h (71.5 mph),68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Amal,Air,Chain   (final drive),3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,165.0 kg (363.8 pounds),0.0909 HP/kg,5.7:1,,,,,,,,,,,,,Rigid,,,,,,,,,,,,,,,,,
