Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Fuel system,Fuel control,Ignition,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Top speed,Cooling system,Clutch,Diameter,Fuel capacity,Oil capacity,Bore x stroke,Valves per cylinder,Lubrication system,Gearbox,Exhaust system,Front tire,Rear tire,Wheels,Overall length,Color options,Starter,Electrical,Compression,Fuel consumption,Greenhouse gases,Overall height,Overall width,Frame type,"Weight incl. oil, gas, etc",Driveline,Carrying capacity,Seat height,Comments,Modifications compared to previous model
Triumph Speed Twin ,1940,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",360 degree paprallel,27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,Overhead Valves (OHV),Lucas altrnator,Chain   (final drive),Telescopic,Rigid-optional sprung hub,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,158.8 kg (350.0 pounds),0.1701 HP/kg,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocette KTT,1940,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,27.0 HP (19.7  kW)) @ 6500 RPM,Carburettor,Overhead Cams (OHC),,,Webb girder forks,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,,185.1 km/h (115.0 mph),Air,Four speed ,70 mm (2.8 inches),15.14 litres (4.00 US gallons),0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Ariel W-NG 350,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,17.0 HP (12.4  kW)) @ 5800 RPM,Carburettor,Overhead Valves (OHV),Coil,Chain   (final drive),Grider fork,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Spring loaded solo seat,169.0 kg (372.6 pounds),0.1008 HP/kg,,,Air,,,11.90 litres (3.14 US gallons),2.30 litres (2.43 US quarts),72.0 x 85.0 mm (2.8 x 3.3 inches),2,Dry sump,4-speed,1-into-1 pipes,3.25-19 ,3.25-19 ,Military green wire spokes and rims,2130 mm (83.9 inches),Military green,Kick,6V battery.,,,,,,,,,,,,
Zündapp KS 750,1940,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"Two cylinder boxer, four-stroke",,26.0 HP (19.0  kW)) @ 4000 RPM,Carburettor,,,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,420.0 kg (925.9 pounds),0.0619 HP/kg,,95.0 km/h (59.0 mph),Air,,,23.00 litres (6.08 US gallons),,,2,,4-speed,,,,,2385 mm (93.9 inches),,Kick,,6.0:1,7.00 litres/100 km (14.3 km/l or 33.60 mpg),162.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,1010 mm (39.8 inches),1650 mm (65.0 inches),,,,,,,
Harley-Davidson Servi-Car GE,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,,Sidevalves,,,Leading link-Springer type,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,1549 mm (61.0 inches),101.0 km/h (62.8 mph),,,,12.87 litres (3.40 US gallons),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,5.10-16 ,5.10-16 ,Spoked,2540 mm (100.0 inches),,,,,,,,1219 mm (48.0 inches),,,,,,,
BMW R12 Single Carb,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",,18.0 HP (13.1  kW)) @ 3400 RPM,Carburettor,Standing valves,Magneto,,Telescopic fork,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,1380 mm (54.3 inches),110.0 km/h (68.4 mph),,,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,78.0 x 78.0 mm (3.1 x 3.1 inches),,Forced feed,,,3.5-19 ,3.5-19 ,,2100 mm (82.7 inches),,Kick,,5.2:1,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,940 mm (37.0 inches),900 mm (35.4 inches),Steel-pressed-loop,,,,,,
Velocette KTT Mk VIII,1940,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",,35.0 HP (25.5  kW)) @ 5800 RPM,Carburettor. Amal,Overhead Valves (OHV),Bobine,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,125.0 kg (275.6 pounds),0.2800 HP/kg,,185.0 km/h (115.0 mph),Air,Wet multiplate,178 mm (7.0 inches),11.40 litres (3.01 US gallons),,74.0 x 81.0 mm (2.9 x 3.2 inches),,Dry sump,,Single -Chrome,,,Spoked,,Multicolored. Black with gold pin striping,Kick,,7.8:1,,,,,Single cradle,,,,,,
Moto Guzzi Alce,1940,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,13.2 HP (9.6  kW)) @ 4000 RPM,Carburettor. DellÓrto ,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Air,,,13.50 litres (3.57 US gallons),,82.0 x 88.0 mm (3.2 x 3.5 inches),,,,,,,,,,Kick,,4.7:1,,,,,,,,,,,
NSU 601 OSB,1940,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",,26.0 HP (19.0  kW)) @ 4950 RPM,Carburettor. Amal,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,150.0 kg (330.7 pounds),0.1733 HP/kg,1420 mm (55.9 inches),,Air,,,,,85.0 x 99.0 mm (3.3 x 3.9 inches),,,,,3.50-19 ,3.50-19 ,,2200 mm (86.6 inches),,Kick,,,,,1000 mm (39.4 inches),850 mm (33.5 inches),,,,,,,
BMW R71,1940,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",,22.0 HP (16.1  kW)) @ 4600 RPM,Carburettor. Graetzin G24,Overhead Valves (OHV),,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake),Single seat,,,1400 mm (55.1 inches),125.0 km/h (77.7 mph),Air,Dry-single plate-cable operated,200 mm (7.9 inches),14.00 litres (3.70 US gallons),,78.0 x 78.0 mm (3.1 x 3.1 inches),,Wet sump ,4-speed,,3.5-19 ,3.5-19 ,Spoked,2130 mm (83.9 inches),,Kick,,5.5:1,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,960 mm (37.8 inches),815 mm (32.1 inches),,187.0 kg (412.3 pounds),,,,,
