Model,Year,Category,Rating,Displacement,Engine type,Fuel control,Gearbox,Front suspension,Seat,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Fuel capacity,Starter,Carrying capacity,Transmission type,Oil capacity,Ignition,Fuel consumption,Greenhouse gases,Wheelbase,Exhaust system,Color options,Dry weight,Power/weight ratio,Comments,Engine details,Valves per cylinder,Electrical,Seat height,Driveline
Nimbus 2510,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",Overhead Cams (OHC),3-speed,Telescopic,Two single seats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R12 Twin carb,1941,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Overhead Valves (OHV),4-speed,Cartrige,Spring-mounted seat,20.0 HP (14.6  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),5.2:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Amal,Wet sump ,Air,Dry multiplate-cable operated,Steel-doble cradle,Rigid-,3.50-19 ,3.5-19 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,185.0 kg (407.9 pounds),940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),14.00 litres (3.70 US gallons),Kick,300,,,,,,,,,,,,,,,,
Indian 402,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,Trailing link,Single spring-mounted,,153.0 km/h (95.1 mph),,,Carburettor,,,,Twin downtube,Plungers,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Indian 841,1941,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",737.0 ccm (44.97 cubic inches),"V2, four-stroke",Sidevalves,,Girder fork coil springs and shock absorber,Single seat,,113.0 km/h (70.2 mph),,73.0 x 89.0 mm (2.9 x 3.5 inches),Carburettor. Linkert,,Air,,,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,240.0 kg (529.1 pounds),,,,18.93 litres (5.00 US gallons),,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,
Indian Four Police Special,1941,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1254.0 ccm (76.52 cubic inches),"In-line four, four-stroke",,,,,,144.8 km/h (90.0 mph),,,Carburettor,,Air,,,,,,,,,,257.6 kg (568.0 pounds),,,,,,,Chain   (final drive),,,,,,,,,,,,,,,
Velocette KTT,1941,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",Overhead Cams (OHC),,Webb girder forks,Dual seat,27.0 HP (19.7  kW)) @ 6500 RPM,185.1 km/h (115.0 mph),,,Carburettor,,Air,Four speed ,,Swingarm,,,Expanding brake (drum brake),70 mm (2.8 inches),Expanding brake (drum brake),,,,,,15.14 litres (4.00 US gallons),,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,
BMW R12 Single Carb,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Standing valves,,Telescopic fork,Single seat,18.0 HP (13.1  kW)) @ 3400 RPM,110.0 km/h (68.4 mph),5.2:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor,Forced feed,,,Steel-pressed-loop,Rigid-,3.5-19 ,3.5-19 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),14.00 litres (3.70 US gallons),Kick,,,,Magneto,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,1380 mm (54.3 inches),,,,,,,,,,
Velocette KTT Mk VIII,1941,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),,,Dual ,35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Amal,Dry sump,Air,Wet multiplate,Single cradle,,,,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Spoked,,,,,11.40 litres (3.01 US gallons),Kick,,Chain   (final drive),,Bobine,,,,Single -Chrome,Multicolored. Black with gold pin striping,,,,,,,,
Rikuo RT 2,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",Sidevalves,4-speed,Telescopic,Spring-mounted seat,22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,,Air,Four speed ,,,,,,,,,,,,,,,,,,Generator and battery,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,
Zündapp KS 750 Kardan Sport,1941,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",,,,Two single seats,26.0 HP (19.0  kW)) @ 4000 RPM,95.0 km/h (59.0 mph),,75.0 x 85.0 mm (3.0 x 3.3 inches),Carburettor,,Air,,,Rigid,4.50-16 ,4.50-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,23.00 litres (6.08 US gallons),Kick,840kg with sidecar,Shaft drive (cardan)   (final drive),,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,420.0 kg (925.9 pounds),0.0619 HP/kg,,,,,,
