Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Color options,Starter,Comments,Lubrication system,Clutch,Driveline,Overall width,Ground clearance,Oil capacity,Electrical,Ignition,Dry weight,Power/weight ratio,Modifications compared to previous model,Carrying capacity,Seat height,Overall height,Fuel consumption,Greenhouse gases
Ariel 4G Square Four 1000,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Double twin cylinder arranged as a square,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),2,Carburettor. SU MC2 carburettor,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),Dual two-into-one,Tubular single loop,Telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked. Red and silver rims.,Solo seat with springs,211.0 kg (465.2 pounds),2083 mm (82.0 inches),1422 mm (56.0 inches),23.00 litres (6.08 US gallons),Red/silver,Kick,Also called ´Squariel´. Designed by Edward Turner. Ariel Motorcycles was acquired by the BSA Group in 1944.,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),,Carburettor. Amal monoblock,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. ,,170.1 kg (375.0 pounds),2180 mm (85.8 inches),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),Red,Kick,,Dry sump with dual plunger pumps,Dry,Burman,640 mm (25.2 inches),140 mm (5.5 inches),3.40 litres (3.59 US quarts),6V battery.,,,,,,,,,
Simplex Automatic,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),,Carburettor. Tillottson,Overhead Valves (OHV),,,Belt   (final drive),,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,,Solo seat with springs,,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,,,,,,Magneto and dual spark plugs,61.2 kg (135.0 pounds),0.0653 HP/kg,This year has direct drive with clutch.,,,,,
Rikuo RT 2,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,22.0 HP (16.1  kW)) @ 4250 RPM,,,,,Carburettor. Linkert,Sidevalves,Air,4-speed,,,,Telescopic,,,,,,,,Spring-mounted seat,,,,,,,,,Four speed ,,,,,,Generator and battery,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,
Nimbus 2510,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,,,,,Overhead Cams (OHC),,3-speed,,,,Telescopic,,,,,,,,Two single seats,,,,,,,,,,,,,,,,,,,,,,,
Vincent HRD Series A Rapide,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",47.5 degree V-twin,45.0 HP (32.8  kW)) @ 5500 RPM,180.0 km/h (111.8 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),,Carburettor. Amal ,Overhead Valves (OHV),,4-speed,Chain   (final drive),,,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,Feridax Dunopillo Dualseat,206.4 kg (455.0 pounds),,1410 mm (55.5 inches),,,,,,,,,,,,,,,,,,,,
Moto Guzzi Alce,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,13.2 HP (9.6  kW)) @ 4000 RPM,,4.7:1,82.0 x 88.0 mm (3.2 x 3.5 inches),,Carburettor. DellÓrto ,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1455 mm (57.3 inches),13.50 litres (3.57 US gallons),,Kick,,,,,,,,,,179.0 kg (394.6 pounds),0.0737 HP/kg,,,,,,
Velocette KTT Mk VIII,1944,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",,35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),,Carburettor. Amal,Overhead Valves (OHV),Air,,Chain   (final drive),,Single cradle,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,Dual ,,,,11.40 litres (3.01 US gallons),Multicolored. Black with gold pin striping,,,Dry sump,Wet multiplate,,,,,,Bobine,,,,,,,,
DKW NZ 350-1,1944,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,,90.0 km/h (55.9 mph),,72.0 x 85.0 mm (2.8 x 3.3 inches),,Carburettor. Bing,,,,Chain   (final drive),,,,None,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,Dual ,,,,,,,,,,,,,,,,175.0 kg (385.8 pounds),,,,,,,
Ariel W-NG 350,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,17.0 HP (12.4  kW)) @ 5800 RPM,,,72.0 x 85.0 mm (2.8 x 3.3 inches),2,Carburettor,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),1-into-1 pipes,,Grider fork,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked,Spring loaded solo seat,,2130 mm (83.9 inches),,12.00 litres (3.17 US gallons),"Military green, Black",Kick,Based on the Ariel Red Hunter  for the British military. Sidecar option.,Dry sump,,Burman gear-box,,,2.30 litres (2.43 US quarts),6V battery.,Coil,169.0 kg (372.6 pounds),0.1008 HP/kg,,Rear rack,,,,
Velocette Mac ,1944,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),,Carburettor,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),,Single cradle,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,Dual seat,,2130 mm (83.9 inches),1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,Kick,,,Wet multiplate,,700 mm (27.6 inches),,,,,161.0 kg (354.9 pounds),0.1118 HP/kg,,,"700 mm (27.6 inches) If adjustable, lowest setting.",990 mm (39.0 inches),,
