Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Frame type,Front brakes,Rear brakes,Wheels,Seat,Fuel capacity,Color options,Front suspension,Front tire,Rear tire,Overall length,Overall width,Wheelbase,Engine details,Gearbox,Rear suspension,"Weight incl. oil, gas, etc",Ignition,Dry weight,Power/weight ratio,Modifications compared to previous model,Exhaust system,Starter,Electrical,Diameter,Seat height,Overall height,Driveline,Ground clearance,Oil capacity,Valves per cylinder,Comments
Velocette KTT Mk VIII,1945,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Amal,Overhead Valves (OHV),Dry sump,Air,Chain   (final drive),Wet multiplate,Single cradle,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,11.40 litres (3.01 US gallons),Multicolored. Black with gold pin striping,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,12.87 litres (3.40 US gallons),,Leading link-Springer type,5.10-16 ,5.10-16 ,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),,,,,,,,,,,,,,,,,,,
Vincent HRD Series A Rapide,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,Overhead Valves (OHV),,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Feridax Dunopillo Dualseat,,,Gilder fork with coil over shock,,,,,1410 mm (55.5 inches),47.5 degree V-twin,4-speed,Triangulated swingarm with coil over shocks,206.4 kg (455.0 pounds),,,,,,,,,,,,,,,
Simplex Automatic,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Overhead Valves (OHV),,,Belt   (final drive),,Duplex loop,,,,Solo seat with springs,9.46 litres (2.50 US gallons),,Short rocker arms and two coil springs,2.50-26 ,2.50-26 ,,,1194 mm (47.0 inches),,,Rigid,,Magneto and dual spark plugs,61.2 kg (135.0 pounds),0.0653 HP/kg,This year has direct drive with clutch.,,,,,,,,,,,
Rikuo RT 2,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Sidevalves,,Air,,Four speed ,,,,,Spring-mounted seat,,,Telescopic,,,,,,,4-speed,,,Generator and battery,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,,,,
Ariel NH 350,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Overhead Valves (OHV),,Air,Chain   (final drive),"Dry, multiplate",Semi-double cradle,Expanding brake (drum brake),Expanding brake (drum brake),,Two-person seat,11.00 litres (2.91 US gallons),Dark red,Telescopic fork,3.00-20 ,3.25-19 ,2180 mm (85.8 inches),,,,4-speed,Plungers,,Flywheel,159.0 kg (350.5 pounds),0.1226 HP/kg,,1-into-1 pipes,Kick,6V system.,,,,,,,,
Vespa MP6,1945,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4300 RPM,60.0 km/h (37.3 mph),6.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,,,,4-8 ,4-8 ,,,,,,,,,,,,,,,,,,,,,,
Velocette Mac ,1945,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Wet multiplate,Single cradle,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,11.00 litres (2.91 US gallons),,Hydralic telescopic forks,3.25-19 ,3.50-19 ,2130 mm (83.9 inches),700 mm (27.6 inches),1276 mm (50.2 inches),,4-speed,Swingarm,,,161.0 kg (354.9 pounds),0.1118 HP/kg,,,Kick,,152 mm (6.0 inches),"700 mm (27.6 inches) If adjustable, lowest setting.",990 mm (39.0 inches),,,,,
Moto Guzzi Alce,1945,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 4000 RPM,,5.5:1,82.0 x 88.0 mm (3.2 x 3.5 inches),Carburettor. DellÓrto ,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,13.50 litres (3.57 US gallons),,,,,,,,,,,,,179.0 kg (394.6 pounds),0.0737 HP/kg,,,Kick,,,,,,,,,
DKW NZ 350-1,1945,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,90.0 km/h (55.9 mph),,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Bing,,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,3.25-19 ,3.25-19 ,,,,,,None,,,175.0 kg (385.8 pounds),,,,,,,,,,,,,
