Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Wheelbase,Color options,Starter,Overall length,Overall width,Fuel capacity,Engine details,Valves per cylinder,Gearbox,Exhaust system,"Weight incl. oil, gas, etc",Comments,Ignition,Driveline,Ground clearance,Oil capacity,Electrical,Seat height,Overall height,Modifications compared to previous model
Sunbeam S7 500,1946,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Overhead Cams (OHC),Wet sump,Oil & air,Shaft drive (cardan)   (final drive),Dry singleplate,Twin cradle,Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),Spoked,Single ,194.0 kg (427.7 pounds),0.1237 HP/kg,1400 mm (55.1 inches),"Black/ green
",Kick,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,Single spring-mounted,,,1549 mm (61.0 inches),,Electric,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,,,,,,,,,,,,,
Ariel 4G Square Four 1000,1946,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),,Tubular single loop,Telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked. ,Dual seat,,,1422 mm (56.0 inches),Red,Kick,2083 mm (82.0 inches),,23.00 litres (6.08 US gallons),Double twin cylinder arranged as a square,2,4-speed,Dual two-into-one,211.0 kg (465.2 pounds),Also called ´Squariel´. Designed by Edward Turner.,,,,,,,,
Velocette KTT Mk VIII,1946,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,185.0 km/h (115.0 mph),7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,Overhead Valves (OHV),Dry sump,Air,Chain   (final drive),Wet multiplate,Single cradle,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,Dual ,,,,Multicolored. Black with gold pin striping,,,,11.40 litres (3.01 US gallons),,,,,,,,,,,,,,
Vincent HRD Series B Rapide,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),6.8:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. Amal ,Overhead Valves (OHV),,,Chain   (final drive),,,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,Feridax Dunopillo Dualseat,,,1410 mm (55.5 inches),,,,,,50degree V-twin,,,,206.4 kg (455.0 pounds),,,,,,,,,
Rikuo RT 2,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,,Carburettor. Linkert,Sidevalves,,Air,,Four speed ,,Telescopic,,,,,,,,Spring-mounted seat,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,,4-speed,,,,Generator and battery,,,,,,,
Ariel VH 500 Red Hunter,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Overhead Valves (OHV),Dry sump with dual plunger pumps,Air,Chain   (final drive),Dry,Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. ,,,,1422 mm (56.0 inches),Red/chrome/gold,,2180 mm (85.8 inches),640 mm (25.2 inches),13.25 litres (3.50 US gallons),,,4-speed,,170.1 kg (375.0 pounds),,,Burman,140 mm (5.5 inches),3.40 litres (3.59 US quarts),6V battery.,,,
Ariel NH 350 Red Hunter,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Overhead Valves (OHV),,Air,Chain   (final drive),"Dry, multiplate",Semi-double cradle,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),,Two-person seat,159.0 kg (350.5 pounds),0.1226 HP/kg,,Dark red,Kick,2180 mm (85.8 inches),,11.00 litres (2.91 US gallons),,,4-speed,1-into-1 pipes,,,Flywheel,,,,6V system.,,,
Velocette KTT,1946,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,,,Carburettor,Overhead Cams (OHC),,,,Four speed ,,Webb girder forks,Swingarm,,,Expanding brake (drum brake),,Expanding brake (drum brake),,Dual seat,,,,,,,,15.14 litres (4.00 US gallons),,,,,,,,,,0.90 litres (0.95 US quarts),,,,
Velocette Mac ,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,Chain   (final drive),Wet multiplate,,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,1276 mm (50.2 inches),,Kick,2130 mm (83.9 inches),700 mm (27.6 inches),11.00 litres (2.91 US gallons),,,4-speed,,,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",990 mm (39.0 inches),
Indian Chief,1946,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,,,Chain   (final drive),,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,,,,,
Simplex Automatic,1946,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Overhead Valves (OHV),,,Belt   (final drive),,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,,Solo seat with springs,61.2 kg (135.0 pounds),0.0653 HP/kg,1194 mm (47.0 inches),,,,,9.46 litres (2.50 US gallons),,,,,,,Magneto and dual spark plugs,,,,,,,This year has direct drive with clutch.
Moto Guzzi Dondolino,1946,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, two-stroke",33.0 HP (24.1  kW)) @ 5500 RPM,177.0 km/h (110.0 mph),8.5:1,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto SSM,Overhead Valves (OHV),,,Chain   (final drive),,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,Single ,127.0 kg (280.0 pounds),0.2598 HP/kg,1470 mm (57.9 inches),,,,,19.00 litres (5.02 US gallons),,,,,,,Magneto,,,,,,,
