Model,Year,Category,Rating,Displacement,Engine type,Fuel control,Gearbox,Front suspension,Seat,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Rear suspension,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Starter,Engine details,Valves per cylinder,Exhaust system,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Fuel capacity,Color options,Comments,Lubrication system,Clutch,Driveline,Overall width,Ground clearance,Oil capacity,Electrical,Fuel consumption,Greenhouse gases,Carrying capacity,Ignition,Modifications compared to previous model,Seat height,Instruments
Nimbus 2510,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",Overhead Cams (OHC),3-speed,Telescopic,Two single seats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton International Model 30,1947,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",Overhead Cams (OHC),,Telescopic,Single spring-mounted,29.5 HP (21.5  kW)) @ 5500 RPM,150.0 km/h (93.2 mph),7.2:1,79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal,Air,Chain   (final drive),Cradle,Plungers,3-21 ,3.50-20 ,Spoked,176.0 kg (388.0 pounds),0.1676 HP/kg,1391 mm (54.8 inches),Kick,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel 4G Square Four 1000,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,Overhead Valves (OHV),4-speed,Oil damped telescopic,Solo seat,35.0 HP (25.5  kW)) @ 5500 RPM,140.0 km/h (87.0 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Air,Chain   (final drive),Tubular single loop,Plunger-link spring,3.25-19 ,4.00-18 ,Wire spoked. ,,,1422 mm (56.0 inches),Kick,Double twin cylinder arranged as a square,2,Dual two-into-one,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),211.0 kg (465.2 pounds),2083 mm (82.0 inches),23.00 litres (6.08 US gallons),Black/silver,Also called ´Squariel´. Designed by Edward Turner.,,,,,,,,,,,,,,
Sunbeam S7 500,1947,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",Overhead Cams (OHC),,Telescopic,Single ,24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Oil & air,Shaft drive (cardan)   (final drive),Twin cradle,Plungers,4.50-16 ,4.50-16 ,Spoked,194.0 kg (427.7 pounds),0.1237 HP/kg,1400 mm (55.1 inches),Kick,,,,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,,"Black/ green
",,Wet sump,Dry singleplate,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",Overhead Valves (OHV),4-speed,Grider forks,,24.0 HP (17.5  kW)) @ 6000 RPM,,6.0:1,81.0 x 95.0 mm (3.2 x 3.7 inches),Carburettor. Amal monoblock,Air,Chain   (final drive),Semi double cradle,Rigid,3.00-20 ,3.25-19 ,Red/chrome rims.,,,1422 mm (56.0 inches),,,,,Expanding brake (drum brake),,Expanding brake (drum brake),170.1 kg (375.0 pounds),2180 mm (85.8 inches),13.25 litres (3.50 US gallons),Red/chrome/gold,,Dry sump with dual plunger pumps,Dry,Burman,640 mm (25.2 inches),140 mm (5.5 inches),3.40 litres (3.59 US quarts),6V battery.,,,,,,,
Zündapp KS 750 Kardan Sport,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",,,,Two single seats,26.0 HP (19.0  kW)) @ 4000 RPM,95.0 km/h (59.0 mph),,75.0 x 85.0 mm (3.0 x 3.3 inches),Carburettor,Air,Shaft drive (cardan)   (final drive),,Rigid,4.50-16 ,4.50-16 ,Spoked,420.0 kg (925.9 pounds),0.0619 HP/kg,,Kick,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,23.00 litres (6.08 US gallons),,,,,,,,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,840kg with sidecar,,,,
Gilera Saturno San Remo,1947,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",Overhead Valves (OHV),,,Single ,,185.0 km/h (115.0 mph),,,,Air,Chain   (final drive),Tubular,,,,Spoked,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,
Indian Chief,1947,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,Telescopic,,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,,Chain   (final drive),,Plungertype with coil springs,,,,,,1540 mm (60.6 inches),,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,
Velocette KTT,1947,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",Overhead Cams (OHC),,Webb girder forks,Dual seat,27.0 HP (19.7  kW)) @ 6500 RPM,,,,Carburettor,,,,Swingarm,,,,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,15.14 litres (4.00 US gallons),,,,Four speed ,,,,,,,,,,,,
Simplex Automatic,1947,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",Overhead Valves (OHV),,Short rocker arms and two coil springs,Solo seat with springs,4.0 HP (2.9  kW)) @ 4000 RPM,,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,,Belt   (final drive),Duplex loop,Rigid,2.50-26 ,2.50-26 ,,61.2 kg (135.0 pounds),0.0653 HP/kg,1194 mm (47.0 inches),,,,,,,,,,9.46 litres (2.50 US gallons),,,,,,,,,,,,,Magneto and dual spark plugs,This year has direct drive with clutch.,,
