Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Clutch,Frame type,Front tire,Rear tire,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Starter,Engine details,Fuel control,Transmission type,Front suspension,Rear suspension,Wheels,Wheelbase,Fuel capacity,Oil capacity,Color options,Electrical,Fuel consumption,Greenhouse gases,Carrying capacity,Diameter,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Comments,Exhaust system,Modifications compared to previous model,Valves per cylinder,Driveline,Ground clearance,Instruments
Lambretta 125B,1948,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",4.1 HP (3.0  kW)) @ 4500 RPM,67.6 km/h (42.0 mph),6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Contact breaker  and  points,5%,Air,3-speed,3 speed- hand changed,Tubular steel,3.5-8 ,"3,5-8 ",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,54.9 kg (121.0 pounds),0.0747 HP/kg,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model FL,1948,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1212.0 ccm (73.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,,,Air,4-speed,,Steel double downtube,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,256.0 kg (564.4 pounds),0.1953 HP/kg,,Knucklehead V-twin engine,Overhead Valves (OHV),Chain   (final drive),Hydraulic telescopic forks ,Hardtail,Wire spoked,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),"Black, red, azure blue",6 Volt battery.,,,,,,,,,,,,,,,,
Ardie NE 125,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5100 RPM,,,,Carburettor,,,,,Wet multiplate,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,,,Chain   (final drive),,None,Spoked,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 750 Kardan Sport,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",26.0 HP (19.0  kW)) @ 4000 RPM,95.0 km/h (59.0 mph),,75.0 x 85.0 mm (3.0 x 3.3 inches),Carburettor,,,Air,,,,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,420.0 kg (925.9 pounds),0.0619 HP/kg,Kick,,,Shaft drive (cardan)   (final drive),,Rigid,Spoked,,23.00 litres (6.08 US gallons),,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,840kg with sidecar,,,,,,,,,,,,,
BMW R24,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.7  kW)) @ 5400 RPM,95.0 km/h (59.0 mph),6.8:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Battery,Wet sump ,Air,4-speed,Single plate dry-cable operated,Steel-single cradlel,2.99-19 ,2.99-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,,,Kick,,Overhead Valves (OHV),Shaft drive (cardan)   (final drive),Cartridge,Rigid,,1330 mm (52.4 inches),12.00 litres (3.17 US gallons),,,,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,290kg,180 mm (7.1 inches),130.0 kg (286.6 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",900 mm (35.4 inches),2000 mm (78.7 inches),800 mm (31.5 inches),,,,,,,
Harley-Davidson EL,1948,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,7.0:1,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,,Ciculation pressure system,Air,3-speed,"Mulitplate, dry",Steel double loop,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,250.0 kg (551.2 pounds),,,Knucklehead V-twin engine. Hydraulic valve lifters.,Overhead Valves (OHV),Chain   (final drive),Spring forks ,Hardtail,Wire spoked,1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),,6 Volt battery.,,,,,,,,,,Optional 4-speed transmission.,,,,,,
Velocette Mac ,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,,,Air,4-speed,Wet multiplate,,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,161.0 kg (354.9 pounds),0.1118 HP/kg,Kick,,Overhead Valves (OHV),Chain   (final drive),Hydralic telescopic forks,Swingarm,,1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,,,,,,152 mm (6.0 inches),,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,
Gilera Saturno Turismo,1948,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)),,6.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor. DellÓrto RDF28,,,Air,4-speed,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,168.0 kg (370.4 pounds),0.1071 HP/kg,,,Overhead Valves (OHV),Chain   (final drive),Girder forks,,Spoked,1470 mm (57.9 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,
Ariel KH 500,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),7.5:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Lucas,Dry sump,Air,4-speed,Dry plate,Duplex,3.00-20 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,177.0 kg (390.2 pounds),0.1584 HP/kg,Kick,,Overhead Valves (OHV),Chain   (final drive),Telescopic forks,Rigid,Wire spoked,1422 mm (56.0 inches),17.00 litres (4.49 US gallons),,Red,,,,,,,,,,,Ariel was bought by BSA in 1944.,2-into-2 pipes,,,,,
Ariel NH 350 Red Hunter,1948,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.5 HP (14.2  kW)) @ 5800 RPM,117.0 km/h (72.7 mph),6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Flywheel,,Air,4-speed,"Dry, multiplate",Semi-double cradle,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Two-person seat,159.0 kg (350.5 pounds),0.1226 HP/kg,Kick,,Overhead Valves (OHV),Chain   (final drive),Telescopic fork,Plungers,,,11.00 litres (2.91 US gallons),,"Red, blue",6V system.,,,,,,,,2180 mm (85.8 inches),640 mm (25.2 inches),,1-into-1 pipes,,,,,
