Model,Year,Category,Rating,Displacement,Engine type,Engine details,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Dry weight,Overall length,Wheelbase,Fuel capacity,Oil capacity,Starter,Electrical,Comments,Overall width,Power,Top speed,Diameter,Seat,Power/weight ratio,Seat height,Ignition,Color options,Modifications compared to previous model,Exhaust system,Overall height,"Weight incl. oil, gas, etc",Ground clearance,Valves per cylinder,Fuel consumption,Greenhouse gases,Carrying capacity,Driveline
Harley-Davidson ES,1949,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Hydraulic valve lifters. Aluminium cyliner heads.,6.5:1,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,Overhead Valves (OHV),Ciculation pressure system,Air,3-speed,Chain   (final drive),"Mulitplate, dry",Steel double loop,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,250.0 kg (551.2 pounds),2337 mm (92.0 inches),1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.50 litres (3.7 US quarts),Kick,"22 Ah, 6 Volt battery.",Sidecar gearing.,,,,,,,,,,,,,,,,,,,
Harley-Davidson Model E,1949,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,6.5:1,88.9 x 84.1 mm (3.5 x 3.3 inches),Carburettor,Overhead Valves (OHV),Ciculation pressure system,Air,3-speed,Chain   (final drive),,Steel double loop,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,250.0 kg (551.2 pounds),2337 mm (92.0 inches),1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),,,Optional 4-speed transmission. ,838 mm (33.0 inches),,,,,,,,,,,,,,,,,,
Velocette Mac ,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,161.0 kg (354.9 pounds),,1276 mm (50.2 inches),11.00 litres (2.91 US gallons),,Kick,,,,18.0 HP (13.1  kW)) @ 5500 RPM,120.7 km/h (75.0 mph),152 mm (6.0 inches),Dual seat,0.1118 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,
Vespa Circuito,1949,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,56.5 x 50.0 mm (2.2 x 2.0 inches),Carburettor,,,Air,,Chain   (final drive),,,Coil springs,Rubber stopper,3.50-8 ,3.50-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,2540 mm (100.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,Electric,,,1219 mm (48.0 inches),24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,Single spring-mounted,,,,,,,,,,,,,,
Triumph Speed Twin ,1949,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",360 degree paprallel,,,Carburettor. Amal,Overhead Valves (OHV),,,,Chain   (final drive),,,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),Expanding brake (drum brake),,158.8 kg (350.0 pounds),,1400 mm (55.1 inches),,,,,,,27.0 HP (19.7  kW)) @ 6300 RPM,,,,0.1701 HP/kg,,Lucas altrnator,,,,,,,,,,,
Harley-Davidson FL Hydra Glide,1949,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1208.0 ccm (73.71 cubic inches),"V2, four-stroke",,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Steel double downtube,Hydraulic telescopic forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,267.0 kg (588.6 pounds),,1510 mm (59.4 inches),14.19 litres (3.75 US gallons),,,6 Volt battery.,,,55.0 HP (40.1  kW)) @ 4800 RPM,160.9 km/h (100.0 mph),,,0.2060 HP/kg,,,"Black, red, blue",,,,,,,,,,
Velocette KTT,1949,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Overhead Cams (OHC),,,,,Four speed ,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,15.14 litres (4.00 US gallons),,,,,,27.0 HP (19.7  kW)) @ 6500 RPM,,,,,,,,,,,,,,,,,
Harley-Davidson EL,1949,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",Knucklehead V-twin engine. Hydraulic valve lifters.,7.0:1,88.9 x 83.8 mm (3.5 x 3.3 inches),Carburettor,Overhead Valves (OHV),Ciculation pressure system,Air,3-speed,Chain   (final drive),"Mulitplate, dry",Steel double loop,Spring forks ,Hardtail,5.00-16 ,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Firestome or Goodyear tyres.,250.0 kg (551.2 pounds),,1511 mm (59.5 inches),14.19 litres (3.75 US gallons),3.80 litres (4.02 US quarts),,6 Volt battery.,Optional 4-speed transmission.,,,,,,,,,,,,,,,,,,,
NSU 101 OSB,1949,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",,7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,,Air,,Chain   (final drive),,Pressed steel,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,85.0 kg (187.4 pounds),,,6.50 litres (1.72 US gallons),,Kick,,,,5.8 HP (4.2  kW)) @ 6500 RPM,85.0 km/h (52.8 mph),,Single spring-mounted,0.0682 HP/kg,,,,,,,,,,,,,
Simplex Automatic,1949,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor. Tillottson,Overhead Valves (OHV),,,,Belt   (final drive),,Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,61.2 kg (135.0 pounds),,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,,,,,4.0 HP (2.9  kW)) @ 4000 RPM,,,Solo seat with springs,0.0653 HP/kg,,Magneto,,This year has direct drive with clutch.,,,,,,,,,
Ardie NE 125,1949,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,Chain   (final drive),Wet multiplate,,,None,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,,,,,,5.0 HP (3.6  kW)) @ 5100 RPM,,,Single spring-mounted,,,,,,,,,,,,,,
Harley-Davidson S-125,1949,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,Chain   (final drive),,,Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,90.7 kg (200.0 pounds),,,,,,,,,,,,Spring-mounted seat,,,,,,,,,,,,,,
