Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel control,Cooling system,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Top speed,Fuel system,Gearbox,Front suspension,Rear suspension,Front tire,Rear tire,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Clutch,Diameter,Frame type,Starter,Compression,Ignition,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Electrical,Fuel consumption,Greenhouse gases,Color options,Comments,Carrying capacity,Valves per cylinder,Light,Driveline,Modifications compared to previous model
Triumph 500 Grand Prix,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 7200 RPM,63.0 x 80.0 mm (2.5 x 3.1 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,142.0 kg (313.1 pounds),0.2817 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 175 W,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.2 ccm (7.52 cubic inches),"Single cylinder, two-stroke",,58.0 x 58.0 mm (2.3 x 2.3 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,83.0 kg (183.0 pounds),,75.0 km/h (46.6 mph),Carburettor. Bing ,3-speed,Telescopic ,None,2.75-19 ,2.75-19 ,"660 mm (26.0 inches) If adjustable, lowest setting.",880 mm (34.6 inches),1959 mm (77.1 inches),660 mm (26.0 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,88.0 x 82.0 mm (3.5 x 3.2 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,170.0 kg (374.8 pounds),0.1353 HP/kg,135.0 km/h (83.9 mph),Carburettor. DellÓrto,4-speed,Telescopic,,3.25-19 ,3.50-19 ,,,,,17.00 litres (4.49 US gallons),Wet multiplate,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,
Gilera Saturno San Remo,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",,,Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,185.0 km/h (115.0 mph),,,,,,,,,,,,,,Tubular,,,,,,,,,,,,,,,,,,,,
Zündapp DB 201,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",7.5 HP (5.5  kW)) @ 4000 RPM,60.0 x 70.0 mm (2.4 x 2.8 inches),,Air,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,121.0 kg (266.8 pounds),0.0620 HP/kg,85.0 km/h (52.8 mph),Carburettor. Bing 20mm,4-speed,Telescopic,Rigid,3.25-19 ,3.25-19 ,,,,,12.00 litres (3.17 US gallons),,,,Kick,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5750 RPM,69.0 x 93.0 mm (2.7 x 3.7 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),0.1059 HP/kg,,Carburettor,4-speed,Catrigde,Rigid,3.25-19 ,3.25-19 ,,,2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Wet multiplate,,Duplex steel cradle,Kick,6.5:1,Bobine,Wet sump ,1422 mm (56.0 inches),,,,,,,,,,,,,,,
Ariel VB 600,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",15.6 HP (11.4  kW)) @ 4400 RPM,86.4 x 102.0 mm (3.4 x 4.0 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Single seat,,,,Carburettor. Amal monobloc 376/13,4-speed,,,3.25-19 ,3.50-19 ,,,2184 mm (86.0 inches),686 mm (27.0 inches),15.90 litres (4.20 US gallons),"Dry, multiplate",,,Kick,5.0:1,,Dry sump,1422 mm (56.0 inches),Sidevalve,1-into-1,166.0 kg (366.0 pounds),127 mm (5.0 inches),3.40 litres (3.59 US quarts),6Volt.,,,,,,,,,
Harley-Davidson S-125,1950,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Spring-mounted seat,90.7 kg (200.0 pounds),,,Carburettor,,Girder fork coil spring,Rigid-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 311,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5000 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,90.0 kg (198.4 pounds),0.0556 HP/kg,75.0 km/h (46.6 mph),Carburettor. Bing 18mm,,Telescopic,Rigid,2.50-19 ,2.50-19 ,,,,,10.50 litres (2.77 US gallons),,,,Kick,,,,,,,,,,,,,,,,,,,
Cushman Eagle,1950,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,,,Belt   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,84.0 km/h (52.2 mph),Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
