Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Seat,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Wheels,Dry weight,Power/weight ratio,Color options,Engine details,Oil capacity,Electrical,Driveline,Carrying capacity,Exhaust system,Comments,Valves per cylinder,Modifications compared to previous model,Light
BMW R25 2,1951,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.7  kW)) @ 5600 RPM,80.0 km/h (49.7 mph),6.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Overhead Valves (OHV),Battery,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate dry-cable operated,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-single cradlel,Cartridge,Twin shock-Plunger,2.99-19 ,2.99-19 ,Expanding brake (drum brake),160 mm (6.3 inches),Expanding brake (drum brake),Solo seat with springs,140.0 kg (308.6 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",730 mm (28.7 inches),2020 mm (79.5 inches),790 mm (31.1 inches),108 mm (4.3 inches),1335 mm (52.6 inches),12.00 litres (3.17 US gallons),Kick,,,,,,,,,,,,,,
Indian Scout 440,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,440.0 ccm (26.85 cubic inches),"Twin, four-stroke",,,,,,Overhead Valves (OHV),Magneto,,,,Chain   (final drive),,,,,,,,,,,,Spring-mounted seat,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam S7 500,1951,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,121.0 km/h (75.2 mph),6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Overhead Cams (OHC),,Wet sump,Oil & air,,Shaft drive (cardan)   (final drive),Dry singleplate,,,Twin cradle,Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,1400 mm (55.1 inches),,Kick,Spoked,194.0 kg (427.7 pounds),0.1237 HP/kg,"Black/ green
",,,,,,,,,,
Lambretta 125D Series 1,1951,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 4600 RPM,72.4 km/h (45.0 mph),6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,,Contact breaker  and  points,5%,Air,3-speed,,3 speed- hand changed,,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),Dual seat,,,,,,,,,Electric,,69.9 kg (154.0 pounds),0.0716 HP/kg,,,,,,,,,,,
Lambretta 125C,1951,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",4.3 HP (3.1  kW)) @ 4500 RPM,67.6 km/h (42.0 mph),6.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto MA 16,,Contact breaker  and  points,5%,Air,3-speed,,3 speed- hand changed,,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),Dual seat,,,,,,,,,Electric,,79.8 kg (176.0 pounds),0.0539 HP/kg,,,,,,,,,,,
AJS Model 20 500,1951,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,,Magneto,,Air,4-speed,Chain   (final drive),Wet multiplate,,,Single cradle,Telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Dual ,,,1050 mm (41.3 inches),2190 mm (86.2 inches),710 mm (28.0 inches),,,13.50 litres (3.57 US gallons),Kick,Spoked,178.0 kg (392.4 pounds),0.1124 HP/kg,,,,,,,,,,,
Harley-Davidson S-125,1951,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,165.0 ccm (10.07 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,Chain   (final drive),,,,,Girder fork coil spring,Rigid-,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spring-mounted seat,,,,,,,,,,,90.7 kg (200.0 pounds),,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1951,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,Spoked,,,,,,,,,,,,,
Hercules MF 2,1951,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 3500 RPM,50.0 km/h (31.1 mph),,48.0 x 52.0 mm (1.9 x 2.0 inches),Carburettor,,,,,,Chain   (final drive),,,,,,Rigid,2.25-26 ,2.25-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),Single ,,,,,,,,,,Spoked,65.0 kg (143.3 pounds),0.0346 HP/kg,,,,,,,,,,,
Cushman Eagle,1951,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,84.0 km/h (52.2 mph),,,Carburettor,,,,,,Belt   (final drive),,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,
