Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Gearbox,Overall height,Overall length,Overall width,Starter,Fuel capacity,Compression,Fuel control,Ignition,Clutch,Frame type,Fuel consumption,Greenhouse gases,Lubrication system,Wheelbase,Engine details,Valves per cylinder,Exhaust system,Diameter,Color options,Electrical,Light,Comments,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Carrying capacity,Seat height,Driveline,Modifications compared to previous model
Hercules 311,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5000 RPM,75.0 km/h (46.6 mph),52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing 18mm,Air,Chain   (final drive),Telescopic,Rigid,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,90.0 kg (198.4 pounds),0.0556 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Max ,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 5800 RPM,115.0 km/h (71.5 mph),69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing,Air,Chain   (final drive),,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,150.0 kg (330.7 pounds),0.1000 HP/kg,4-speed,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Kick,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 314,1952,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",8.5 HP (6.2  kW)) @ 4500 RPM,85.0 km/h (52.8 mph),58.0 x 66.0 mm (2.3 x 2.6 inches),Carburettor,Air,Chain   (final drive),Telescopic,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,118.0 kg (260.1 pounds),0.0720 HP/kg,,,,,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 200H,1952,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",,90.0 km/h (55.9 mph),62.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor. Bing ,Air,Chain   (final drive),Telescopic ,None,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,124.0 kg (273.4 pounds),,3-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Konsul 2,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Air,Chain   (final drive),Telescopic,Hydraulic,3.50-19 ,4-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,195.0 kg (429.9 pounds),0.1128 HP/kg,,1000 mm (39.4 inches),2185 mm (86.0 inches),820 mm (32.3 inches),Kick,14.50 litres (3.83 US gallons),6.3:1,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,Air,Chain   (final drive),Telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,178.0 kg (392.4 pounds),0.1124 HP/kg,4-speed,1050 mm (41.3 inches),2190 mm (86.2 inches),710 mm (28.0 inches),Kick,13.50 litres (3.57 US gallons),7.0:1,,Magneto,Wet multiplate,Single cradle,,,,,,,,,,,,,,,,,,,
Zündapp KS 601,1952,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",28.0 HP (20.4  kW)) @ 4700 RPM,140.0 km/h (87.0 mph),75.0 x 67.6 mm (3.0 x 2.7 inches),Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,224.0 kg (493.8 pounds),0.1250 HP/kg,4-speed,,,,Kick,14.50 litres (3.83 US gallons),,Overhead Valves (OHV),,,Tubular,,,,,,,,,,,,,,,,,,,
NSU Lux,1952,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5250 RPM,95.0 km/h (59.0 mph),62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor. Bing,Air,,,,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,135.0 kg (297.6 pounds),0.0815 HP/kg,,990 mm (39.0 inches),2030 mm (79.9 inches),670 mm (26.4 inches),Kick,11.50 litres (3.04 US gallons),6.0:1,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,
Sunbeam S8 500,1952,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,120.0 km/h (74.6 mph),70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Oil & air,Shaft drive (cardan)   (final drive),Telescopic,Plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,187.0 kg (412.3 pounds),0.1283 HP/kg,,,,,Kick,,6.5:1,Single Overhead Cams (SOHC),,Dry singleplate,Twin cradle,,,Wet sump,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Ariel 4G Square Four Mark I,1952,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,144.8 km/h (90.0 mph),65.0 x 78.0 mm (2.6 x 3.1 inches),Carburettor. SU MC2 carburettor,Air,Chain   (final drive),Oil damped telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Solo seat,197.0 kg (434.3 pounds),0.1777 HP/kg,4-speed,,2083 mm (82.0 inches),,Kick,16.00 litres (4.23 US gallons),6.0:1,Overhead Valves (OHV),,,Tubular single loop,,,Dry sump with dual oil pump.,1422 mm (56.0 inches),Double twin cylinder arranged as a square. ,2,Dual two-into-one,178 mm (7.0 inches),"Red/chrome, Black/chrome",6 Volt battery.,30 Watt headlamp.,Also called ´Squariel´. Designed by Edward Turner. ,,,,,,,
