Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,"Weight incl. oil, gas, etc",Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Oil capacity,Color options,Starter,Electrical,Top speed,Dry weight,Power/weight ratio,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Diameter,Overall height,Carrying capacity,Exhaust system,Valves per cylinder,Light,Comments,Seat height,Torque,Modifications compared to previous model,0-100 km/h (0-62 mph),Front wheel travel,Rear wheel travel,Alternate seat height
Ariel VB 600,1953,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",Sidevalve,15.6 HP (11.4  kW)) @ 4400 RPM,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,Dry sump,Air,4-speed,Chain   (final drive),"Dry, multiplate",7.5 inch headlamp,Full cradle,Telescopic fork,Dual shocks,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Single seat,166.0 kg (366.0 pounds),2184 mm (86.0 inches),686 mm (27.0 inches),127 mm (5.0 inches),1422 mm (56.0 inches),15.90 litres (4.20 US gallons),3.40 litres (3.59 US quarts),Dark green with optional gold stripes.,Kick,6Volt.,,,,,,,,,,,,,,,,,,,,,
Zündapp DB 204 Norma,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,8.3 HP (6.1  kW)) @ 4600 RPM,,60.0 x 70.0 mm (2.4 x 2.8 inches),Carburettor. Bing ,,,4-speed,,,,,Telescopic,Rigid,3-19 ,3-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,12.00 litres (3.17 US gallons),,,Kick,,90.0 km/h (55.9 mph),122.0 kg (269.0 pounds),0.0680 HP/kg,,,,,,,,,,,,,,,,,,
Zündapp KS 601 Kardan Sport,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Two cylinder boxer, two-stroke",,34.0 HP (24.8  kW)) @ 6000 RPM,,,Carburettor. Bing ,,Air,4-speed,Shaft drive (cardan)   (final drive),,,Tubular,Telescopic,,3.50-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,,,,,,14.50 litres (3.83 US gallons),,,Kick,,140.0 km/h (87.0 mph),216.0 kg (476.2 pounds),0.1574 HP/kg,Overhead Valves (OHV),,,,,,,,,,,,,,,,,
BMW R68,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",,35.9 HP (26.2  kW)) @ 7000 RPM,8.1:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing 26mm,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Single plate-saucer spring-dry,,Steel-doble cradle,Cartridge,Twin shock-Plunger,,3.5-19 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,Dual seat,202.0 kg (445.3 pounds),2130 mm (83.9 inches),725 mm (28.5 inches),,1400 mm (55.1 inches),17.00 litres (4.49 US gallons),,,Kick,,,,,Overhead Valves (OHV),Magneto,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),985 mm (38.8 inches),355,,,,,,,,,,,
Adler M 250,1953,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",,16.0 HP (11.7  kW)) @ 5590 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,Air,4-speed,,Wet multiplate,,Semi double cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,,,12.00 litres (3.17 US gallons),,,Kick,,,135.0 kg (297.6 pounds),0.1185 HP/kg,,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,180 mm (7.1 inches),,,,,,,,,,,,,
Sunbeam S7 500,1953,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,24.0 HP (17.5  kW)) @ 5800 RPM,6.5:1,70.0 x 63.5 mm (2.8 x 2.5 inches),Carburettor,Wet sump,Oil & air,,Shaft drive (cardan)   (final drive),Dry singleplate,,Twin cradle,Telescopic,Plungers,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,1400 mm (55.1 inches),,,"Black/ green
",Kick,,121.0 km/h (75.2 mph),194.0 kg (427.7 pounds),0.1237 HP/kg,Overhead Cams (OHC),,,,,,,,,,,,,,,,,
Rikuo RT 2,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,22.0 HP (16.1  kW)) @ 4250 RPM,,,Carburettor. Linkert,,Air,4-speed,,Four speed ,,,Telescopic,,,,,,,Spring-mounted seat,,,,,,,,,,,,230.0 kg (507.1 pounds),0.0957 HP/kg,Sidevalves,Generator and battery,,,,,,,,,,,,,,,,
NSU 101 OSB,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, four-stroke",,5.8 HP (4.2  kW)) @ 6500 RPM,7.0:1,50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,,Air,,Chain   (final drive),,,Pressed steel,,,2.50-19 ,2.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,8.00 litres (2.11 US gallons),,,Kick,,85.0 km/h (52.8 mph),85.0 kg (187.4 pounds),0.0682 HP/kg,,,,,,,,,,,,,,,,,,
Simson AWO 425,1953,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,3-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,Standing valves,,,,,,,,,,,,,,,,,
Cushman Eagle,1953,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,318.0 ccm (19.40 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,Belt   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Single spring-mounted,,,,,,,,,,,84.0 km/h (52.2 mph),,,,,3.14 litres/100 km (31.8 km/l or 74.91 mpg),72.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,
BSA M 21,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",,15.0 HP (10.9  kW)) @ 4000 RPM,,82.0 x 112.0 mm (3.2 x 4.4 inches),Carburettor,,,,Chain   (final drive),Wet multiplate,,Single cradle,Hydraulic telescopic,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,11.36 litres (3.00 US gallons),,,Kick,,,180.0 kg (396.8 pounds),0.0833 HP/kg,Sidevalves,Magneto,,,,,,,,,,,,,,,,
Hercules 318,1953,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",,15.0 HP (10.9  kW)) @ 6000 RPM,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing 24mm,,Air,,Chain   (final drive),,,Single cradle,Telescopic,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two ,,,,,,13.00 litres (3.43 US gallons),,,Kick,,105.0 km/h (65.2 mph),152.0 kg (335.1 pounds),0.0987 HP/kg,,,,,,,,,,,,,,,,,,
Zündapp Bella R150,1953,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",,7.3 HP (5.3  kW)) @ 4700 RPM,,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,Air,4-speed,,,,,Telescopic,,3.50-12 ,3.50-12 ,,,Spoked,Dual ,,,,,,8.50 litres (2.25 US gallons),,,Kick,,80.0 km/h (49.7 mph),130.0 kg (286.6 pounds),0.0562 HP/kg,,,,,,,,,,,,,,,,,,
Ariel NH 350 Red Hunter,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,19.5 HP (14.2  kW)) @ 5800 RPM,6.2:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Carburettor. Monoblack,Dual oil pumps,Air,4-speed,Chain   (final drive),"Dry, multiplate",,Semi-double cradle,Telescopic fork,Plungers,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Dunlop tyres,Dual seat,,2180 mm (85.8 inches),640 mm (25.2 inches),,,12.00 litres (3.17 US gallons),2.00 litres (2.11 US quarts),Red/gold lines,Kick,6V system.,117.0 km/h (72.7 mph),159.0 kg (350.5 pounds),0.1226 HP/kg,Overhead Valves (OHV),Flywheel,,,178 mm (7.0 inches),,,1-into-1 pipes,,,,,,,,,,
Lambretta 125D Series 2,1953,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.0 HP (3.6  kW)) @ 4600 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,5%,Air,3-speed,,3 speed- hand changed,,Tubular steel,,,4-8 ,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,Electric,,72.4 km/h (45.0 mph),69.9 kg (154.0 pounds),0.0716 HP/kg,,Contact breaker  and  points,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1953,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,2540 mm (100.0 inches),1219 mm (48.0 inches),,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,101.0 km/h (62.8 mph),,,Sidevalves,,,,,,,,,,,,,,,,,
DKW RT 250 2,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",,14.1 HP (10.3  kW)),,70.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. Bing ,,Air,,Chain   (final drive),,,,Telescopic ,None,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,,,,,,,,,,,108.0 km/h (67.1 mph),143.0 kg (315.3 pounds),0.0986 HP/kg,,,,,160 mm (6.3 inches),,,,,,,,,,,,,
Hercules 322,1953,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",,15.1 HP (11.0  kW)) @ 5000 RPM,,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. Bing 24mm,,Air,4-speed,Chain   (final drive),,,,Telescopic,Swingarm ,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,14.00 litres (3.70 US gallons),,,Kick,,120.0 km/h (74.6 mph),159.0 kg (350.5 pounds),0.0950 HP/kg,,,,,,,,,,,,,,,,,,
