Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Rear suspension,Front tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Gearbox,Clutch,Driveline,Frame type,Front suspension,Rear tire,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Oil capacity,Color options,Electrical,Seat height,Top speed,Carrying capacity,Comments,Diameter,Fuel consumption,Greenhouse gases,Torque,Max RPM,Exhaust system,Valves per cylinder,Light
NSU Sportsmax,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 9000 RPM,7.4:1,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Amal,Overhead Cams (OHC),Coil,Dry sump,Oil & air,Chain   (final drive),Telescopic,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,112.0 kg (246.9 pounds),0.2500 HP/kg,950 mm (37.4 inches),1960 mm (77.2 inches),500 mm (19.7 inches),22.00 litres (5.81 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1954,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",15.6 HP (11.4  kW)) @ 4400 RPM,5.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor. Amal monobloc 376/13,,,Dry sump,Air,Chain   (final drive),Dual shocks,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,Single seat,,,,2184 mm (86.0 inches),686 mm (27.0 inches),15.90 litres (4.20 US gallons),Kick,Sidevalve,4-speed,"Dry, multiplate",7.5 inch headlamp,Full cradle,Telescopic fork,3.50-19 ,166.0 kg (366.0 pounds),127 mm (5.0 inches),1422 mm (56.0 inches),3.40 litres (3.59 US quarts),Green,6 Volt.,,,,,,,,,,,,
Triumph Speed Twin 5T,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,Overhead Valves (OHV),,Dry sump,,Chain   (final drive),Swingarm with coil-over shocks,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,,,,,,,,,,,Telescopic,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,
Norton Dominator Model 7,1954,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,6.7:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Overhead Valves (OHV),Magneto,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,Solo seat with springs,,,,,,,,,,Wet multiplate,,,,,,,1410 mm (55.5 inches),,,,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,,,,,,
DKW Hobby Luxus,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,74.0 ccm (4.52 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 5000 RPM,6.1:1,45.0 x 47.0 mm (1.8 x 1.9 inches),Carburettor. Bing ,,,,Air,,,2.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,80.0 kg (176.4 pounds),0.0375 HP/kg,,,,,,,,,,,Telescopic ,2.50-16 ,,,,,,,,60.0 km/h (37.3 mph),,,,,,,,,,
Harley-Davidson FL Hydra Glide,1954,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 4800 RPM,7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Overhead Valves (OHV),,,Air,Chain   (final drive),Hardtail,5.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Laced wheels with whitewall tires,Solo seat,267.0 kg (588.6 pounds),0.2060 HP/kg,,,,14.19 litres (3.75 US gallons),,Knucklehead V-twin engine,4-speed,,,Steel double downtube,Hydraulic telescopic forks ,5.00-16 ,,,1510 mm (59.4 inches),3.80 litres (4.02 US quarts),"Black, red, blue",6 Volt battery.,,160.9 km/h (100.0 mph),Soft saddlebags,,,,,,,,,
Heinkel A1 Series 102,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,,60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,133.0 kg (293.2 pounds),,980 mm (38.6 inches),1980 mm (78.0 inches),710 mm (28.0 inches),,,,,,,,,4-8 ,,,1330 mm (52.4 inches),,,,,,,,,,,,,,,
Harley-Davidson Model KHK,1954,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,833.0 ccm (50.83 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)),,,Carburettor,,,,Air,Chain   (final drive),"Swing-arm, twin hydraulic shocks",3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,199.6 kg (440.0 pounds),0.1904 HP/kg,,,,17.00 litres (4.49 US gallons),Kick,Flathead 45 degree engine,4-speed,,,Steel single downtube,Hydraulic telescopic fork,3.25-19 ,,,1435 mm (56.5 inches),2.80 litres (2.96 US quarts),,6 Volt,,152.9 km/h (95.0 mph),,Tuned up version of the HD KH model.,,,,,,,,
Harley-Davidson Model KH,1954,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",833.0 ccm (50.83 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)),,,Carburettor,,,,Air,Chain   (final drive),"Swing-arm, twin hydraulic shocks",3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,181.4 kg (400.0 pounds),0.2094 HP/kg,,,,17.00 litres (4.49 US gallons),Kick,Flathead 45 degree engine,4-speed,,,Steel single downtube,Hydraulic telescopic fork,3.25-19 ,,,1435 mm (56.5 inches),2.80 litres (2.96 US quarts),,6 Volt,,152.9 km/h (95.0 mph),,,,,,,,,,
Lambretta 125D Series 2,1954,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 4600 RPM,6.5:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto ,,Contact breaker  and  points,5%,Air,,,4-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,69.9 kg (154.0 pounds),0.0716 HP/kg,,,,,Electric,,3-speed,3 speed- hand changed,,Tubular steel,,4-8 ,,,,,,,,72.4 km/h (45.0 mph),,,,,,,,,,
