Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Engine details,Valves per cylinder,Fuel system,Fuel control,Lubrication system,Gearbox,Front tire,Rear tire,Diameter,Wheels,Overall length,Oil capacity,Color options,Starter,Light,Comments,Clutch,Torque,Ignition,Overall width,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Overall height,Electrical,Carrying capacity,"Weight incl. oil, gas, etc",Driveline,Rake (fork angle)
Peugeot S157,1955,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, two-stroke",6.6 HP (4.8  kW)) @ 4500 RPM,89.0 km/h (55.3 mph),6.5:1,56.0 x 60.0 mm (2.2 x 2.4 inches),Air,Chain   (final drive),Tubular,Traveling link,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,113.4 kg (250.0 pounds),0.0582 HP/kg,1270 mm (50.0 inches),6.25 litres (1.65 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel 4G Square Four Mark II,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,45.0 HP (32.8  kW)) @ 5500 RPM,160.0 km/h (99.4 mph),6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Air,Chain   (final drive),Full cradle,Oil damped telescopic fork,Plunger-link spring,Expanding brake (drum brake),Expanding brake (drum brake),,193.0 kg (425.5 pounds),0.2332 HP/kg,1422 mm (56.0 inches),16.00 litres (4.23 US gallons),Double twin cylinder arranged as a square. ,2,Carburettor. SU MC2 carburettor with air cleaner,Overhead Valves (OHV),Dry sump with dual oil pump.,4-speed,3.25-19 ,4.00-18 ,203 mm (8.0 inches),Wire spoked. Dunlop tyres.,2083 mm (82.0 inches),3.40 litres (3.59 US quarts),Red/chrome,Kick,"7.5 inch, 30 Watt headlamp.","Also called ´Squariel´. Designed by Edward Turner. Mark II has separate barrels, a re-designed cylinder head with four separate exhaust pipes from two cast-aluminium manifolds and a rocker-box combined with the inlet manifold.",,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Air,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,170.0 kg (374.8 pounds),0.1353 HP/kg,,17.00 litres (4.49 US gallons),,,Carburettor. DellÓrto,,,4-speed,3.25-19 ,3.50-19 ,200 mm (7.9 inches),Spoked,,,,,,,Wet multiplate,,,,,,,,,,,,,,
Puch 250 SGS 67,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),,Chain   (final drive),,Telescopic,Swingarm,,,Dual ,150.0 kg (330.7 pounds),0.1100 HP/kg,,13.00 litres (3.43 US gallons),,,Carburettor,,,4-speed,3-16 ,3.50-16 ,,Spoked,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,,,,
Gilera Saturno Corsa,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.8 ccm (30.43 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),119.0 km/h (73.9 mph),7.1:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,1380 mm (54.3 inches),19.00 litres (5.02 US gallons),,,Carburettor. DellÓrto SSF3M,Overhead Valves (OHV),,4-speed,3.25-19 ,3.25-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
James Colonel,1955,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",,,7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Air,Chain   (final drive),Single downtube ,Hydralic telescopic forks,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,125.0 kg (275.6 pounds),,,12.50 litres (3.30 US gallons),,,Carburettor. Villers,,Wet sump ,,3-18 ,3-18 ,,,2002 mm (78.8 inches),,,Kick,,,,,Magneto,860 mm (33.9 inches),,,,,,,,,,,
Hercules 316,1955,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 4000 RPM,60.0 km/h (37.3 mph),6.1:1,48.0 x 54.0 mm (1.9 x 2.1 inches),,,,,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),Single ,74.0 kg (163.1 pounds),0.0405 HP/kg,,11.00 litres (2.91 US gallons),,,Carburettor. Bing 22mm,,,,2.50-19 ,2.50-19 ,,,,,,,,,,,Magneto Bosch,,,,,,,,,,,,
Adler M 250 S,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 5590 RPM,116.0 km/h (72.1 mph),5.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,Chain   (final drive),Semi double cradle,,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,,,,,Carburettor,,,4-speed,,,180 mm (7.1 inches),,,,,Kick,,,Wet multiplate,,,,,,,,,,,,,,
DKW RT 175,1955,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",,94.0 km/h (58.4 mph),,62.0 x 58.0 mm (2.4 x 2.3 inches),Air,Chain   (final drive),,Telescopic ,None,Expanding brake (drum brake),Expanding brake (drum brake),Single ,117.0 kg (257.9 pounds),,,,,,Carburettor. Bing ,,,,3-19 ,3-19 ,,Spoked,,,,,,,,,,,,,,,,,,,,,
Ariel FH 650 Huntmaster,1955,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 5600 RPM,148.9 km/h (92.5 mph),6.5:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Air,Chain   (final drive),"Duplex down tubes, swingarm","Telescopic fork, hydraulic",Dual coil springs,Expanding brake (drum brake),Expanding brake (drum brake),,181.0 kg (399.0 pounds),0.1934 HP/kg,1422 mm (56.0 inches),15.14 litres (4.00 US gallons),BSA A10 engine,,Carburettor. Amal,Overhead Valves (OHV),"Dry sump, two pumps",4-speed,3.25-19 ,3.50-19 ,,"Steel, wire spokes",2184 mm (86.0 inches),2.30 litres (2.43 US quarts),Black/yellow,Kick,,,,,Magneto,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Twin pipe,"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),,,,,,
