Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Lubrication system,Cooling system,Transmission type,Clutch,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Oil capacity,Gearbox,Front tire,Rear tire,Wheels,Seat,Starter,Ignition,Overall height,Overall length,Overall width,Frame type,Front suspension,Fuel consumption,Greenhouse gases,Exhaust system,Seat height,Ground clearance,Color options,Comments,Torque,Diameter,Electrical,Driveline,"Weight incl. oil, gas, etc",Carrying capacity,Valves per cylinder,Light,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Instruments,Rake (fork angle)
Triumph Tiger Cub T 20,1956,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",Amal monobloc carburettor,10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Overhead Valves (OHV),Dry sumpy,Air,Chain   (final drive),Wet multiplate,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),113.4 kg (250.0 pounds),0.0882 HP/kg,1245 mm (49.0 inches),11.36 litres (3.00 US gallons),2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp 200 S,1956,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,12.0 HP (8.8  kW)) @ 5400 RPM,,,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor,,,Air,Chain   (final drive),Wet multiplate,,Expanding brake (drum brake),Expanding brake (drum brake),132.0 kg (291.0 pounds),0.0909 HP/kg,,,,4-speed,3.25-16 ,3.25-16 ,Spoked,Dual ,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Sportsmax,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,28.0 HP (20.4  kW)) @ 9000 RPM,,7.4:1,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Amal,Overhead Cams (OHC),,Oil & air,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),112.0 kg (246.9 pounds),0.2500 HP/kg,,,,,2.75-18 ,,Spoked,Single ,Kick,Coil,950 mm (37.4 inches),1960 mm (77.2 inches),500 mm (19.7 inches),,,,,,,,,,,,,,,,,,,,,,,
Zündapp 201S,1956,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,12.0 HP (8.8  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),,62.0 x 62.0 mm (2.4 x 2.4 inches),Carburettor. Bing ,,,Air,,,,,,136.0 kg (299.8 pounds),0.0882 HP/kg,,14.00 litres (3.70 US gallons),,,3.25-16 ,3.26-16 ,Spoked,Dual ,Kick,,,,,Tubular,Telescopic,,,,,,,,,,,,,,,,,,,,,
Panther 65 Springer,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,,,6.5:1,60.0 x 88.0 mm (2.4 x 3.5 inches),Carburettor,,,Air,Chain   (final drive),Dry multiplate,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,4-speed,3.25-19 ,3.25-19 ,,Dual ,Kick,Magneto,,,,,Hydraulic telescopic,,,,,,,,,,,,,,,,,,,,,
Lambretta LD 150 series 2,1956,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",,6.5 HP (4.7  kW)) @ 4750 RPM,78.9 km/h (49.0 mph),6.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,3 speed- hand changed,,Expanding brake (drum brake),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0739 HP/kg,,,,3-speed,4-8 ,4-8 ,,Dual seat,,Contact breaker  and  points,,,,Tubular steel,,,,,,,,,,,,,,,,,,,,,,
NSU Prima D,1956,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",,6.2 HP (4.5  kW)) @ 5200 RPM,80.0 km/h (49.7 mph),6.0:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. Bing AJ,,,Air,,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),123.0 kg (271.2 pounds),0.0504 HP/kg,,7.30 litres (1.93 US gallons),,3-speed,4-8 ,4-8 ,Spoked,Two single seats,,Battery,950 mm (37.4 inches),1910 mm (75.2 inches),680 mm (26.8 inches),,Telescopic,,,,,,,,,,,,,,,,,,,,,
Hercules 318,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",,15.0 HP (10.9  kW)) @ 6000 RPM,105.0 km/h (65.2 mph),,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),152.0 kg (335.1 pounds),0.0987 HP/kg,,13.00 litres (3.43 US gallons),,,3.25-19 ,3.25-19 ,Spoked,Two ,Kick,,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
Ariel KH 500 Fieldmaster,1956,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,28.0 HP (20.5  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),6.8:1,56.0 x 86.0 mm (2.2 x 3.4 inches),Carburettor,Overhead Valves (OHV),Dry sump,Air,Chain   (final drive),Dry plate,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),177.0 kg (390.2 pounds),0.1584 HP/kg,1422 mm (56.0 inches),17.00 litres (4.49 US gallons),3.80 litres (4.02 US quarts),4-speed,3.00-20 ,3.50-19 ,Wire spoked. Dunlop tyres.,Solo seat with springs,Kick,Lucas,,2184 mm (86.0 inches),686 mm (27.0 inches),Duplex loop,Telescopic forks,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,2-into-2 pipes,"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),Red,Ariel was bought by BSA in 1944.,,,,,,,,,,,,,,
Hercules 317,1956,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, two-stroke",,11.0 HP (8.0  kW)) @ 5000 RPM,95.0 km/h (59.0 mph),,62.0 x 66.0 mm (2.4 x 2.6 inches),Carburettor,,,Air,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),120.0 kg (264.6 pounds),0.0917 HP/kg,,,,,3-19 ,3-19 ,Spoked,Two ,,,,,,Single cradle,Telescopic,,,,,,,,,,,,,,,,,,,,,
