Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Power,Top speed,Power/weight ratio,Diameter,Overall height,Overall length,Overall width,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Reserve fuel capacity,Oil capacity,Color options,Electrical,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Carrying capacity,0-100 km/h (0-62 mph),Valves per cylinder,Comments,Torque,Light
AJS Model 16 350 Spectre,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,171.0 kg (377.0 pounds),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",6.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Overhead Valves (OHV),,Air,,Chain   (final drive),,,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,93.0 kg (205.0 pounds),15.00 litres (3.96 US gallons),Kick,5.8 HP (4.2  kW)) @ 6500 RPM,120.7 km/h (75.0 mph),0.0624 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 201,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",7.0:1,61.0 x 64.0 mm (2.4 x 2.5 inches),Carburettor,,Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,131.0 kg (288.8 pounds),13.50 litres (3.57 US gallons),,12.0 HP (8.8  kW)) @ 5900 RPM,,0.0916 HP/kg,180 mm (7.1 inches),980 mm (38.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,Duplex steel cradle,Catrigde,Two shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,,170.0 kg (374.8 pounds),13.50 litres (3.57 US gallons),Kick,18.0 HP (13.1  kW)) @ 5750 RPM,,0.1059 HP/kg,,,2190 mm (86.2 inches),710 mm (28.0 inches),Wet sump ,1422 mm (56.0 inches),,,,,,,,,,,,,,,,,,,
Simplex Automatic,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Carburettor,Overhead Valves (OHV),Magneto,,,Belt   (final drive),Variable speed automatic,,Leading link ,Rigid,,,,Expanding brake (drum brake),,,61.2 kg (135.0 pounds),9.46 litres (2.50 US gallons),,4.0 HP (2.9  kW)) @ 5000 RPM,,0.0653 HP/kg,,,,,,1194 mm (47.0 inches),,,,,,,,,,,,,,,,,,,
NSU Quickly Cavalino,1957,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",5.5:1,,Carburettor,,,Air,,Chain   (final drive),,,Telescopic,Swinging arm-shocks-coil springs,,,,,Spoked,Dual ,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel FH 650 Huntmaster,1957,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",6.5:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. Amal,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),,"Duplex down tubes, swingarm","Telescopic fork, hydraulic",Dual coil springs,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),"Steel, wire spokes",,,15.14 litres (4.00 US gallons),Kick,35.0 HP (25.5  kW)) @ 5600 RPM,148.9 km/h (92.5 mph),,,,2184 mm (86.0 inches),640 mm (25.2 inches),"Dry sump, two pumps",1422 mm (56.0 inches),BSA A10 engine,Twin pipe,186.0 kg (410.0 pounds),"787 mm (31.0 inches) If adjustable, lowest setting.",140 mm (5.5 inches),2.50 litres (0.66 US gallons),2.30 litres (2.43 US quarts),Black/yellow,6V system,,,,,,,,,,
Ariel HT5 500 Trials,1957,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,Single cradle,Telescopic fork,"Swing arm, hydraulic dampers",2.75-21 ,4.00-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,Solo seat,132.0 kg (291.0 pounds),,Kick,24.9 HP (18.2  kW)) @ 6000 RPM,,0.1889 HP/kg,152 mm (6.0 inches),,,,,,,1-into-1 pipe,,,220 mm (8.7 inches),,,,,,,,,,,,,,
James Colonel 225,1957,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,225.0 ccm (13.73 cubic inches),"Single cylinder, two-stroke",7.0:1,63.0 x 72.0 mm (2.5 x 2.8 inches),Carburettor,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Hydraulic telescopic,,3-18 ,3-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,125.0 kg (275.6 pounds),,Kick,9.6 HP (7.0  kW)) @ 4500 RPM,80.0 km/h (49.7 mph),0.0768 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VB 600,1957,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",6.0:1,86.4 x 102.0 mm (3.4 x 4.0 inches),Carburettor,,,Air,4-speed,Chain   (final drive),"Dry, multiplate",Full cradle,Telescopic fork,Dual shocks,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,15.90 litres (4.20 US gallons),Kick,18.0 HP (13.1  kW)) @ 4400 RPM,124.7 km/h (77.5 mph),,,,2184 mm (86.0 inches),686 mm (27.0 inches),Dry sump,1422 mm (56.0 inches),Sidevalve,,167.8 kg (370.0 pounds),,127 mm (5.0 inches),,3.40 litres (3.59 US quarts),,6 Volt.,7.5 inch headlamp,3.04 litres/100 km (32.9 km/l or 77.38 mpg),70.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
