Model,Year,Category,Rating,Displacement,Engine type,Top speed,Fuel system,Ignition,Cooling system,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power,Bore x stroke,Lubrication system,Gearbox,Frame type,Front tire,Rear tire,Power/weight ratio,Starter,Fuel control,Front suspension,Rear suspension,Compression,Wheelbase,Fuel capacity,Oil capacity,Electrical,Seat height,Overall height,Overall length,Overall width,Diameter,Modifications compared to previous model,Engine details,Driveline,"Weight incl. oil, gas, etc",Ground clearance,Color options,Carrying capacity,Comments,0-100 km/h (0-62 mph),Torque,Exhaust system,Reserve fuel capacity,Valves per cylinder,Light,Rake (fork angle)
Triumph Tigress 250,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",90.0 km/h (55.9 mph),Carburettor,Two coils,Air,Chain   (final drive),Enclosed ,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,110.0 kg (242.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LDA150 series 3,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",78.9 km/h (49.0 mph),Carburettor. DellÓrto,Contact breaker  and  points,Air,,3 speed- hand changed,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,109.8 kg (242.0 pounds),6.0 HP (4.4  kW)) @ 4600 RPM,57.0 x 58.0 mm (2.2 x 2.3 inches),6%,3-speed,Tubular steel,4-8 ,4-8 ,0.0547 HP/kg,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1958,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",177.0 km/h (110.0 mph),Carburettor. Single Tilloston,Magneto Fairbanks-Morse,Air,,,,,,,Spoked,Single spring-mounted,163.3 kg (360.0 pounds),46.0 HP (33.6  kW)) @ 6500 RPM,,,4-speed,,,,0.2817 HP/kg,,Sidevalves,Telescopic,Rigid,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1958,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,5-speed,Chrom,,,,Kick,,Hydealic shock absorbers,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH Ironhead,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,Carburettor,,Air,Chain   (final drive),,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expanding brake (drum brake),Expanding brake (drum brake),Wire spoked,,222.3 kg (490.0 pounds),55.0 HP (40.1  kW)) @ 6300 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),,4-speed,Steel single downtube,3.25-19 ,3.25-19 ,0.2475 HP/kg,Kick,Overhead Valves (OHV),Hydraulic telescopic fork,"Swing-arm, twin hydraulic shocks",9.0:1,1448 mm (57.0 inches),17.00 litres (4.49 US gallons),2.80 litres (2.96 US quarts),12 Volt system,,,,,,,,,,,,,,,,,,,,
Simplex Automatic,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",,Carburettor,Magneto,,Belt   (final drive),Variable speed automatic,,,,Expanding brake (drum brake),,,61.2 kg (135.0 pounds),4.0 HP (2.9  kW)) @ 5000 RPM,50.8 x 64.3 mm (2.0 x 2.5 inches),,,,,,0.0653 HP/kg,,Overhead Valves (OHV),Leading link ,Rigid,6.5:1,,9.46 litres (2.50 US gallons),,,,,,,,,,,,,,,,,,,,,,
Maico Maicoletta 277,1958,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,Chain   (final drive),,,,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Spoked,Dual ,146.0 kg (321.9 pounds),,71.0 x 70.0 mm (2.8 x 2.8 inches),,,Tubular steel,,,,Electric,,Telescopic,Swingarm-coil springs-dampers,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,,,
Rikuo RT 2,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",,Carburettor. Linkert,Generator and battery,Air,,Four speed ,,,,,,,230.0 kg (507.1 pounds),22.0 HP (16.1  kW)) @ 4250 RPM,,,4-speed,,,,0.0957 HP/kg,,Sidevalves,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 322,1958,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,246.0 ccm (15.01 cubic inches),"Twin, two-stroke",120.0 km/h (74.6 mph),Carburettor,,Air,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,15.1 HP (11.0  kW)) @ 5000 RPM,52.0 x 58.0 mm (2.0 x 2.3 inches),,,,,,,,,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
Adler MBS 250 Favorit,1958,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",116.0 km/h (72.1 mph),Carburettor,,Air,Chain   (final drive),Wet multiplate,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,165.0 kg (363.8 pounds),16.0 HP (11.7  kW)) @ 5600 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),,4-speed,Semi double cradle,3.25-16 ,3.50-16 ,0.0970 HP/kg,Kick,,,Two schock,,,15.00 litres (3.96 US gallons),,,,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,
