Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Engine details,Fuel control,Front suspension,"Weight incl. oil, gas, etc",Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Diameter,Wheelbase,Carrying capacity,Valves per cylinder,Oil capacity,Color options,Electrical,Comments,Exhaust system,Ground clearance,Rake (fork angle),Seat height,Light,Torque,0-100 km/h (0-62 mph),Modifications compared to previous model,Driveline,Instruments,Front wheel travel
NSU Maxi 175,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",12.3 HP (9.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),7.8:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing HD 2/22,Air,4-speed,Chain   (final drive),Dry multiplate,Steel,Two schock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,124.0 kg (273.4 pounds),0.0992 HP/kg,1018 mm (40.1 inches),1997 mm (78.6 inches),655 mm (25.8 inches),10.80 litres (2.85 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1959,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6300 RPM,185.1 km/h (115.0 mph),9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor. NA,Air,,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,7.20 litres (1.90 US gallons),,45-degree V-twin,Overhead Valves (OHV),Telescopic,218.0 kg (480.6 pounds),,,,,,,,,,,,,,,,,,,,,,,
Dürkopp MD 176,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 5600 RPM,,7.0:1,61.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Two shock,1.85-19 ,1.85-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,124.0 kg (273.4 pounds),0.0847 HP/kg,,2030 mm (79.9 inches),,,,,,Hydraulic telescopic,,Magneto,,,,,,,,,,,,,,,,,,,,,,
BMW R69,1959,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 6800 RPM,165.0 km/h (102.5 mph),7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. Bing,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel-doble cradle,Twin shock-swingarm,,3.5-18 ,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Spoked,Dual seat,,,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),17.00 litres (4.49 US gallons),Kick,,Overhead Valves (OHV),Cartridge,202.0 kg (445.3 pounds),Magneto,Forced feed,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,200 mm (7.9 inches),1365 mm (53.7 inches),360,,,,,,,,,,,,,,,,
Simson 425 GS,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",17.5 HP (12.8  kW)) @ 7200 RPM,,,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Air,,Shaft drive (cardan)   (final drive),,,Swingarm ,3.5-19 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single ,157.0 kg (346.1 pounds),0.1115 HP/kg,,,,,,,,Telescopic,,Magneto,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,
NSU Prima V,1959,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 5200 RPM,90.0 km/h (55.9 mph),6.4:1,62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,Air,4-speed,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Two single seats,138.0 kg (304.2 pounds),0.0688 HP/kg,965 mm (38.0 inches),1920 mm (75.6 inches),650 mm (25.6 inches),12.00 litres (3.17 US gallons),Electric,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,
AJS Model 20 500,1959,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 6800 RPM,137.0 km/h (85.1 mph),7.0:1,66.0 x 72.8 mm (2.6 x 2.9 inches),Carburettor,Air,,Chain   (final drive),Wet multiplate,Single cradle,Twin shock,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,178.0 kg (392.4 pounds),0.1124 HP/kg,,,,13.50 litres (3.57 US gallons),,,,Telescopic,,Magneto,,,,,,,,,,,,,,,,,,,,,,
Honda RC142,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Twin, four-stroke",18.5 HP (13.5  kW)) @ 14000 RPM,209.2 km/h (130.0 mph),10.5:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Carburettor. Flat-slided Keihins,Air,6-speed,Chain   (final drive),,Open-cradle ,Dual shocks,,,Expanding brake (drum brake),Expanding brake (drum brake),,,87.0 kg (191.8 pounds),0.2128 HP/kg,,,,,,,Double Overhead Cams/Twin Cam (DOHC),Leading link forks,93.0 kg (205.0 pounds),Magneto,,,,,1270 mm (50.0 inches),,2,2.00 litres (2.11 US quarts),Silver/yellow,,,,,,,,,,,,,
Harley-Davidson XL Sportster,1959,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 5500 RPM,162.0 km/h (100.7 mph),,72.8 x 96.8 mm (2.9 x 3.8 inches),Carburettor. Linkert,,4-speed,Chain   (final drive),,,,3.50-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1959,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",23.0 HP (16.8  kW)) @ 4500 RPM,135.0 km/h (83.9 mph),,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,Air,4-speed,Chain   (final drive),Wet multiplate,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,170.0 kg (374.8 pounds),0.1353 HP/kg,,,,17.00 litres (4.49 US gallons),,,,,,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,
