Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Fuel capacity,Starter,Top speed,Power,Diameter,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Seat height,Ground clearance,Color options,Electrical,Lubrication system,Carrying capacity,Comments,Fuel consumption,Greenhouse gases,Alternate seat height,"Weight incl. oil, gas, etc",Engine details,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Torque,Front wheel travel,Rear wheel travel,Reserve fuel capacity,Driveline,Exhaust system,Rake (fork angle)
AJS Model 16 350 Spectre,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,171.0 kg (377.0 pounds),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard 247,1960,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,Air,5-speed,Chain   (final drive),Wet multiplate,Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Kick,115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers 25mm,,,,,Chain   (final drive),,,,,,,,,Spoked,Dual ,,,,113.0 km/h (70.2 mph),17.0 HP (12.4  kW)) @ 5250 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,,,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic -Geriani,Swingarm-two shocks,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Spoked,Dual ,114.0 kg (251.3 pounds),17.00 litres (4.49 US gallons),Kick,140.0 km/h (87.0 mph),16.0 HP (11.7  kW)) @ 6500 RPM,180 mm (7.1 inches),0.1404 HP/kg,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),1270 mm (50.0 inches),,,,,,,,,,,,,,,,,,,,,,
Triumph T120 Bonneville,1960,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,Air,4-speed,Chain   (final drive),"Multi-plate, wet",Duplex frame,Telescopic fork.,"Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,178.0 kg (392.4 pounds),15.14 litres (4.00 US gallons),,185.0 km/h (115.0 mph),46.0 HP (33.6  kW)) @ 6700 RPM,178 mm (7.0 inches),0.2584 HP/kg,,,,1400 mm (55.1 inches),"770 mm (30.3 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Pearl Grey/Azure Blue,AC Alternator,,,,,,,,,,,,,,,,,,
Vertigo VBB Sportique,1960,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,4-speed,,,,,,,,,,Spoked,Two single seats,,,,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60,1960,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",6.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Overhead Valves (OHV),,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake),Expanding brake (drum brake),,Single seat,195.0 kg (429.9 pounds),17.00 litres (4.49 US gallons),Kick,145.0 km/h (90.1 mph),28.0 HP (20.4  kW)) @ 5600 RPM,200 mm (7.9 inches),0.1436 HP/kg,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1380 mm (54.3 inches),,,,,Wet sump ,360.00-with sidecar 600kg,,,,,,,,,,,,,,,,
Matchless G50,1960,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Air,,Chain   (final drive),,BSA,,,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,Single seat,150.0 kg (330.7 pounds),,,,51.0 HP (37.2  kW)) @ 7200 RPM,,0.3400 HP/kg,,,,,,,,,,,This bike was also called the Golden Eagle.,,,,,,,,,,,,,,,
DKW Victoria Avanti,1960,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,48.0 ccm (2.93 cubic inches),"Single cylinder, two-stroke",6.5:1,38.0 x 42.0 mm (1.5 x 1.7 inches),Carburettor,,Magneto,Air,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,60.0 kg (132.3 pounds),8.40 litres (2.22 US gallons),,,,120 mm (4.7 inches),,,,,,,,Red and black multicolored,,,213kg,,,,,,,,,,,,,,,,
Dürkopp Diana Sport,1960,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",,,Carburettor. Bing ,,,Air,,Chain   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,Dual ,,,Kick,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
