Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Cooling system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Comments,Top speed,Compression,Bore x stroke,Clutch,Frame type,Front tire,Rear tire,Diameter,Wheels,Seat,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Fuel control,Ignition,Gearbox,Modifications compared to previous model,0-100 km/h (0-62 mph),Lubrication system,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Carrying capacity,Seat height,Ground clearance,Color options,Electrical,Driveline,Exhaust system,Engine details,Alternate seat height,Valves per cylinder,Torque,Max RPM,Reserve fuel capacity,Oil capacity,Rake (fork angle)
Matchless G-12,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,Carburettor. Amal,Air,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),180.0 kg (396.8 pounds),0.1944 HP/kg,Designer was Phil Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic -Geriani,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,114.0 kg (251.3 pounds),0.1404 HP/kg,,140.0 km/h (87.0 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Wet multiplate,Single cradle,2.50-17 ,2.50-17 ,180 mm (7.1 inches),Spoked,Dual ,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),1270 mm (50.0 inches),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,
James Commodore 250,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,Carburettor. Amal,Air,Chain   (final drive),Hydraulic telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,66.0 x 73.0 mm (2.6 x 2.9 inches),,,3.25-18 ,3.25-18 ,,,Dual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1961,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Single Tilloston,Air,,Telescopic,Rigid,,,163.3 kg (360.0 pounds),0.2817 HP/kg,,177.0 km/h (110.0 mph),,,,,,,,Spoked,Single spring-mounted,,,,,,,Sidevalves,Magneto Fairbanks-Morse,4-speed,,,,,,,,,,,,,,,,,,,,,
MZ RE125,1961,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Chain   (final drive),,,,,,,,193.0 km/h (119.9 mph),,,,,,,,Spoked,Single ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 125 Series 3,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",5.2 HP (3.8  kW)) @ 5200 RPM,Carburettor. DellÓrto,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),103.9 kg (229.0 pounds),0.0501 HP/kg,,69.2 km/h (43.0 mph),7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,3.50-10 ,3.50-10 ,,,Two single seats,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),1290 mm (50.8 inches),,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Chimera 250,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",13.7 HP (10.0  kW)) @ 6500 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),125.0 kg (275.6 pounds),0.1096 HP/kg,,120.0 km/h (74.6 mph),7.0:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,,2.50-17 ,2.50-17 ,140 mm (5.5 inches),Spoked,Dual ,1000 mm (39.4 inches),2000 mm (78.7 inches),610 mm (24.0 inches),,,Kick,,Bobine,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1961,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,5.10-16 ,5.10-16 ,,Spoked,Single spring-mounted,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,Sidevalves,,,.,,,,,,,,,,,,,,,,,,,,
Honda Juno M80,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,169.0 ccm (10.31 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,Carburettor,,,,,,,146.0 kg (321.9 pounds),0.0753 HP/kg,,,,,,,,,,,Two single seats,1030 mm (40.6 inches),1810 mm (71.3 inches),675 mm (26.6 inches),,,,Overhead Valves (OHV),,,,100.00 seconds,,,,,,,,,,,,,,,,,,,
BMW R50 2,1961,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,Carburettor. 24mm Bing,Air,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,,,,140.0 km/h (87.0 mph),7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Dry-single plate-cable operated,Steel doble cradle,3.50-18 ,3.50-18 ,200 mm (7.9 inches),,Dual seat,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,Overhead Valves (OHV),Magneto,4-speed,,,Wet sump ,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,195.0 kg (429.9 pounds),360kg-with sidecar 600kg,,,,,,,,,,,,,,
Moto Guzzi Cardellino 73,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,70.0 km/h (43.5 mph),,,Wet multiplate,,,,,Spoked,Single seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T120 R Bonneville,1961,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,Carburettor. Amal monobloc carburettor,Air,Chain   (final drive),"Telescopic fork, hydraulic damping.","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",Expanding brake (drum brake),Expanding brake (drum brake),178.0 kg (392.4 pounds),0.2584 HP/kg,Road model with low exhaust pipes.,185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),"Multi-plate, wet",Duplex frame,3.25-18 ,4.00-18 ,178 mm (7.0 inches),Wire spoked,Dual seat,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,4-speed,,,,,,,,"770 mm (30.3 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Sky Blue/Silver Sheen/Gold Pinstripe,AC Alternator,,,,,,,,,,
Triumph Speed Twin 5T,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6300 RPM,Carburettor. Amal,,Chain   (final drive),Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Dual seat,,,,1400 mm (55.1 inches),,,Overhead Valves (OHV),,,,,Dry sump,,,,,,,,,,,,,,,,,,
Ariel Leader,1961,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 6250 RPM,Carburettor. Amal Monobloc,Air,Chain   (final drive),Trailing link oil-damped,Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),150.0 kg (330.7 pounds),0.1133 HP/kg,Windscreen,112.7 km/h (70.0 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),,"Backbone, steel",3.25-16 ,3.25-16 ,152 mm (6.0 inches),,Dual seat,,,,1295 mm (51.0 inches),9.00 litres (2.38 US gallons),Kick,Overhead Valves (OHV),,4-speed,,,,2.94 litres/100 km (34.0 km/l or 80.01 mpg),68.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Saddle bags, under-seat luggage compartment","762 mm (30.0 inches) If adjustable, lowest setting.",,,,Burman gearbox,,,,,,,,,
Maico Maicoletta 277,1961,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,Chain   (final drive),Telescopic,Swingarm-coil springs-dampers,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),146.0 kg (321.9 pounds),,,,,71.0 x 70.0 mm (2.8 x 2.8 inches),,Tubular steel,,,,,Dual ,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,,,,,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,
Honda Dream 305,1961,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,Carburettor. Keihin,Air,Chain   (final drive),Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),159.0 kg (350.5 pounds),0.1447 HP/kg,"Early model
The shape of the gastank was different",138.4 km/h (86.0 mph),,60.0 x 54.0 mm (2.4 x 2.1 inches),,,,,,Spoked,,,,,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,,,,,,,
AJS Model 8 350,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 6250 RPM,Carburettor,Air,Chain   (final drive),Telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),153.0 kg (337.3 pounds),0.1373 HP/kg,,,7.5:1,72.0 x 82.5 mm (2.8 x 3.2 inches),Wet multiplate,Single cradle-steel,3.25-18 ,3.25-18 ,,Spoked,Dual ,,,,1345 mm (53.0 inches),12.50 litres (3.30 US gallons),Kick,,,,,,Wet sump ,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,
Motobi Catria Lusso,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 6800 RPM,Carburettor. DellÓrto,Air,Chain   (final drive),Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),,,,120.7 km/h (75.0 mph),,67.0 x 57.0 mm (2.6 x 2.2 inches),,,,,,Spoked,Dual ,,,,,,,Overhead Valves (OHV),Magneto ,,,,,,,,,,,,,,,,,,,,,,
Norton Manx,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6500 RPM,Carburettor. NA,Air,Chain   (final drive),Telescopic fork,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.3357 HP/kg,,210.0 km/h (130.5 mph),,,,Steel,,,,,,,,,1400 mm (55.1 inches),,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,
DKW Victoria Avanti,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,48.0 ccm (2.93 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,,,,Expanding brake (drum brake),Expanding brake (drum brake),60.0 kg (132.3 pounds),,,,6.5:1,38.0 x 42.0 mm (1.5 x 1.7 inches),,,,,,,,,,,,8.40 litres (2.22 US gallons),,,Magneto,,,,,,,,213kg,,,Red and black multicolored,,,,,,,,,,,
Ducati Elite,1961,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,Carburettor. Dellorto UB 24,Air,Chain   (final drive),Telescopic fork,Swinging arm suspension ,Expanding brake (drum brake),Expanding brake (drum brake),118.0 kg (260.1 pounds),0.1525 HP/kg,,140.0 km/h (87.0 mph),8.5:1,67.0 x 57.0 mm (2.6 x 2.2 inches),Wet multiplate,Single open cradle in steel tubing,2.75-18 ,3.25-18 ,160 mm (6.3 inches),,Dual seatt,,2000 mm (78.7 inches),,1320 mm (52.0 inches),,,Overhead Cams (OHC),Mageneto flywhel,,,,Forced wet sump,,,,,,,,,,,,,,,,,,
Ariel Arrow Super Sport 250,1961,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,Carburettor. Amal,Air,Chain   (final drive),Trailing link fork,"Swing arm, twin shock absorbers/dampers",Expanding brake (drum brake),Expanding brake (drum brake),131.5 kg (290.0 pounds),0.1520 HP/kg,Windshield.,126.0 km/h (78.3 mph),10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Multi plate,Rigid box section frame,3.25-16 ,3.25-16 ,,Wire spoked,,,,,1300 mm (51.2 inches),13.60 litres (3.59 US gallons),Kick,,Lucas.,4-speed,,,,3.36 litres/100 km (29.8 km/l or 70.01 mpg),78.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,White/gold,6V battery. ,,2-into-2,,,,,,,,
