Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Top speed,Fuel control,Rear brakes,Wheels,Seat height,Wheelbase,Ignition,Clutch,Fuel consumption,Greenhouse gases,Lubrication system,Gearbox,Diameter,"Weight incl. oil, gas, etc",Color options,Exhaust system,Modifications compared to previous model,Ground clearance,Carrying capacity,Alternate seat height,Oil capacity,Electrical,Comments,0-100 km/h (0-62 mph),Driveline,Valves per cylinder,Torque
Norton Jubilee,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",Norton Dominator,11.7 HP (8.5  kW)) @ 7750 RPM,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Carburettor,Air,Chain   (final drive),Single cradle,Hydralic telescopic forks,Twin shock,3.25-18 ,3.25-18 ,Expanding brake (drum brake). Single,Dual seat,150.0 kg (330.7 pounds),0.0780 HP/kg,1016 mm (40.0 inches),2057 mm (81.0 inches),711 mm (28.0 inches),13.60 litres (3.59 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator 88,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, four-stroke",,,7.4:1,68.0 x 82.0 mm (2.7 x 3.2 inches),Carburettor,,,,Telescopic,Swingarm -two plungers,,,Expanding brake (drum brake),Dual ,,,,,,,,163.0 km/h (101.3 mph),Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Topper,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",,9.0 HP (6.6  kW)),8.0:1,60.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,,Leading Link,Swingarm Twin Shock Absorbers,4-12 ,4-12 ,Expanding brake (drum brake),,,,940 mm (37.0 inches),1905 mm (75.0 inches),610 mm (24.0 inches),6.00 litres (1.59 US gallons),,74.0 km/h (46.0 mph),,Expanding brake (drum brake),,"762 mm (30.0 inches) If adjustable, lowest setting.",1308 mm (51.5 inches),,,,,,,,,,,,,,,,,,,,,
AJS Model 31 650 Swift,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"V2, four-stroke",,31.4 HP (22.9  kW)) @ 6000 RPM,7.5:1,72.0 x 79.3 mm (2.8 x 3.1 inches),Carburettor,Air,Chain   (final drive),Doble cradle,Hydraulic telescopic,Twin shock Girling,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Dual ,176.0 kg (388.0 pounds),0.1784 HP/kg,,,,16.00 litres (4.23 US gallons),Kick,,Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,,Bobine,Wet multiplate,,,,,,,,,,,,,,,,,,,
NSU Prima III K,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",,7.7 HP (5.6  kW)) @ 5200 RPM,6.5:1,57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor,Air,Shaft drive (cardan)   (final drive),,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Two single seats,,,965 mm (38.0 inches),1780 mm (70.1 inches),650 mm (25.6 inches),12.00 litres (3.17 US gallons),Kick,84.0 km/h (52.2 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,,,,,,,,,,,,,,,
Panther M 120,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",,27.0 HP (19.7  kW)) @ 6500 RPM,6.5:1,88.0 x 106.0 mm (3.5 x 4.2 inches),Carburettor,Air,Chain   (final drive),,Telescopic ,Swingarm ,3-19 ,3-19 ,Expanding brake (drum brake),Dual ,209.1 kg (461.0 pounds),0.1291 HP/kg,,,,,,,Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,1500 mm (59.1 inches),,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,
Triumph Speed Twin 5T,1962,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),Dual seat,,,,,,,,,Overhead Valves (OHV),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,Dry sump,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",,17.0 HP (12.4  kW)) @ 5250 RPM,8.7:1,57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers,,Chain   (final drive),,,,,,,Dual ,,,,,,,,113.0 km/h (70.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Blizzard,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,177.0 ccm (10.80 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Air,Chain   (final drive),Chrom,Hydealic shock absorbers,Swingarm ,,,Expanding brake (drum brake),Dual ,,,,,,,,,,Expanding brake (drum brake),Spoked,,,,,,,,5-speed,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",Amal monobloc carburettor,10.0 HP (7.3  kW)) @ 6000 RPM,7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Air,Chain   (final drive),,,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,113.4 kg (250.0 pounds),0.0882 HP/kg,,,,,,106.0 km/h (65.9 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,1245 mm (49.0 inches),,Wet multiplate,,,Dry sumpy,,,,,,,,,,,,,,,,
Matchless G50,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,51.0 HP (37.2  kW)) @ 7200 RPM,,,Carburettor,Air,Chain   (final drive),BSA,,,,,Expanding brake (drum brake),,150.0 kg (330.7 pounds),0.3400 HP/kg,,,,,,,Single Overhead Cams (SOHC),Expanding brake (drum brake). Rigid,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Diana ,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,19.0 HP (13.9  kW)) @ 7750 RPM,8.0:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto 29mm carbs,Air,Chain   (final drive),,Hydralic telescopic forks,Dual choks,2.75-18 ,3.00-18 ,Expanding brake (drum brake),Dual seat,135.0 kg (297.6 pounds),0.1407 HP/kg,,,,13.00 litres (3.43 US gallons),Kick,150.0 km/h (93.2 mph),Desmodromic valve control,Expanding brake (drum brake),,,,,,,,,,160 mm (6.3 inches),,,,,,,,,,,,,,
BSA A7 Shoting Star,1962,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,19.7 HP (14.4  kW)) @ 6000 RPM,6.6:1,66.0 x 72.6 mm (2.6 x 2.9 inches),Carburettor,Air,,Single cradle,Hydralic telescopic forks,Twin shock,,,Expanding brake (drum brake),,,,,,,,Kick,168.0 km/h (104.4 mph),,Expanding brake (drum brake),,,1391 mm (54.8 inches),Lucas magneto,Wet multiplate,,,,,,,,,,,,,,,,,,,
Norton Dominator 88SS,1962,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",,36.0 HP (26.3  kW)) @ 7000 RPM,8.5:1,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor. Amal,Air,Chain   (final drive),Doble cradle,Telescopic-coil springs,Swingarm with three shoks,,,Expanding brake (drum brake),Dual ,,,,,,,,176.0 km/h (109.4 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Drag Bike,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,,,Carburettor,,Chain   (final drive),,,,,,Expanding brake (drum brake),Single seat,,,,,,,,323.5 km/h (201.0 mph),Overhead Valves (OHV),,,,,Magneto,Single speed,,,,,,136.1 kg (300.0 pounds),Multicolored white/blue/red,,,,,,,,,,,,
BSA Gold Star,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,45.6 HP (33.3  kW)) @ 6250 RPM,9.0:1,70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. Amal Monoblock,Air,Chain   (final drive),,Hydralic telescopic forks,"Swingarm , Dual Shocks",3.25-19 ,4-19 ,Expanding brake (drum brake),,143.0 kg (315.3 pounds),0.3188 HP/kg,,2100 mm (82.7 inches),,,Kick,185.0 km/h (115.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,1391 mm (54.8 inches),Lucas Magdyno,"Wet, multiplate",,,Dry Sump ,,178 mm (7.0 inches),,,,,,,,,,,,,,
Honda Dream Sport CB71,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, two-stroke",Double twin cylinder arranged as a square. ,,,,,,,Steel ,Leading link ,,,,,Dual seat,,,,,,,,40.2 km/h (25.0 mph),,,,,,,,,,Dry sump,,,,,Low sport pipes-megaphone,This bike was only avaible in Japan and in limited numbers.,,,,,,,,,,
BMW R50 OS,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",,35.0 HP (25.5  kW)) @ 7650 RPM,9.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,Dual seat,,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),24.00 litres (6.34 US gallons),Kick,160.0 km/h (99.4 mph),Overhead Valves (OHV),Expanding brake (drum brake). Simplex full hub,,,1450 mm (57.1 inches),Magneto,Dry-single plate-cable operated,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,4-speed,200 mm (7.9 inches),198.0 kg (436.5 pounds),,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Single spring-mounted,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),12.87 litres (3.40 US gallons),,101.0 km/h (62.8 mph),Sidevalves,Expanding brake (drum brake),Spoked,,1549 mm (61.0 inches),,,,,,,,,,,.,,,,,,,,,,
BMW R27,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 7400 RPM,8.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. Bing ,Air,Shaft drive (cardan)   (final drive),Steel twin looped,Cartridge,Twin shock-Swingarm,3.27-18 ,3.27-18 ,Expanding brake (drum brake),Spring-mounted seat,,,975 mm (38.4 inches),2090 mm (82.3 inches),660 mm (26.0 inches),15.00 litres (3.96 US gallons),Kick,130.0 km/h (80.8 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,965 mm (38.0 inches),Battery,Single plate dry-cable operated,3.90 litres/100 km (25.6 km/l or 60.31 mpg),90.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,4-speed,160 mm (6.3 inches),162.0 kg (357.1 pounds),,,,105 mm (4.1 inches),325kg-with sidecar 480kg,,,,,,,,
