Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Seat height,Engine details,Power,Top speed,Compression,Fuel control,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Electrical,Carrying capacity,Comments,Ignition,Lubrication system,Clutch,Diameter,Overall length,Overall height,Overall width,"Weight incl. oil, gas, etc",Color options,Valves per cylinder,Alternate seat height,Fuel consumption,Greenhouse gases,Ground clearance,Max RPM,Exhaust system,Driveline,Rake (fork angle),Torque,0-100 km/h (0-62 mph)
Maico Maicoletta 277,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,Chain   (final drive),Tubular steel,Telescopic,Swingarm-coil springs-dampers,Expanding brake (drum brake). 6.5 ,Expanding brake (drum brake),Dual ,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FL Duo Glide,1963,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Chain   (final drive),Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks.,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,,Panhead V-twin engine,55.0 HP (40.1  kW)) @ 7200 RPM,160.0 km/h (99.4 mph),7.0:1,Overhead Valves (OHV),Air,4-speed,5.00-16 ,5.00-16 ,Wire spoked. Whitewall tyres.,304.0 kg (670.2 pounds),0.1809 HP/kg,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),Kick,6 Volt battery.,Saddlebags. Rear rack.,Windscreen,,,,,,,,,,,,,,,,,,,,
Matchless G50,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),BSA,,,Expanding brake (drum brake),Expanding brake (drum brake). Rigid,,,,51.0 HP (37.2  kW)) @ 7200 RPM,,,Single Overhead Cams (SOHC),Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Gold Star,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",70.0 x 84.0 mm (2.8 x 3.3 inches),Carburettor. Amal Monoblock,Chain   (final drive),,Hydralic telescopic forks,"Swingarm , Dual Shocks",Expanding brake (drum brake),Expanding brake (drum brake),,,,45.6 HP (33.3  kW)) @ 6250 RPM,185.0 km/h (115.0 mph),9.0:1,Overhead Valves (OHV),Air,,3.25-19 ,4-19 ,,143.0 kg (315.3 pounds),0.3188 HP/kg,1391 mm (54.8 inches),,Kick,,,,Lucas Magdyno,Dry Sump ,"Wet, multiplate",178 mm (7.0 inches),2100 mm (82.7 inches),,,,,,,,,,,,,,,
Lambretta LI 125 Series 3,1963,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,5.2 HP (3.8  kW)) @ 5200 RPM,69.2 km/h (43.0 mph),7.0:1,,Air,,3.50-10 ,3.50-10 ,,103.9 kg (229.0 pounds),0.0501 HP/kg,1290 mm (50.8 inches),,Kick,,,,,,,,1825 mm (71.9 inches),1060 mm (41.7 inches),710 mm (28.0 inches),,,,,,,,,,,,,
Harley-Davidson Drag Bike,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,Carburettor,Chain   (final drive),,,,Expanding brake (drum brake),,Single seat,,,,323.5 km/h (201.0 mph),,Overhead Valves (OHV),,,,,,,,,,,,,,Magneto,,Single speed,,,,,136.1 kg (300.0 pounds),Multicolored white/blue/red,,,,,,,,,,,
NSU Prima V,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",62.0 x 57.6 mm (2.4 x 2.3 inches),Carburettor. Bing,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,9.5 HP (6.9  kW)) @ 5200 RPM,,,,Air,4-speed,3.50-10 ,3.50-10 ,,138.0 kg (304.2 pounds),0.0688 HP/kg,,,Electric,,,,Battery,,,,,,,,,,,,,,,,,,,
Motobi Imperiale Sport,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. DellÓrto,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,5.8 HP (4.2  kW)) @ 6500 RPM,,6.5:1,Overhead Valves (OHV),Air,,,,,93.0 kg (205.0 pounds),0.0624 HP/kg,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Monark 500,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",79.0 x 100.0 mm (3.1 x 3.9 inches),Carburettor. Amal monoblock,Chain   (final drive),,,,Expanding brake (drum brake). Spezial front arm made by Pranafa,Expanding brake (drum brake). Conical hub,,,Albin,,,10.1:1,,Air,,,,,132.5 kg (292.0 pounds),,,,,,,,Magneto-Lucas and BHT,Dry sump,,,,,,,,,,,,,,,,,,
Moto Guzzi Galetto,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single ,,,,,,Overhead Valves (OHV),,4-speed,2.75-17 ,3-17 ,Spoked,,,,,Electric,,,,,,Multiplate,,,,,,,,,,,,,,,,,
