Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Dry weight,Power,Front tire,Rear tire,Wheelbase,Fuel capacity,Top speed,Wheels,Overall length,Overall width,Starter,Modifications compared to previous model,Power/weight ratio,Overall height,Alternate seat height,Driveline,Rake (fork angle),Diameter,Seat height,Ground clearance,Color options,Electrical,Torque,Engine details,Carrying capacity,Comments,Lubrication system,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Light,Valves per cylinder,0-100 km/h (0-62 mph),Exhaust system,Instruments
AJS Model 16 350 Spectre,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",9.0:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Overhead Valves (OHV),Magneto,Air,4-speed,Chain   (final drive),Wet multiplate,Single cradle,Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,171.0 kg (377.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 50 Royal Star,1964,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Twin, four-stroke",7.5:1,65.5 x 74.0 mm (2.6 x 2.9 inches),Carburettor,Overhead Valves (OHV),,Air,,Chain   (final drive),Wet multiplate,Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,33.0 HP (24.1  kW)) @ 5800 RPM,3.25-18 ,3.25-18 ,1391 mm (54.8 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1964,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,70.0 x 97.0 mm (2.8 x 3.8 inches),,Sidevalves,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,24.0 HP (17.5  kW)) @ 4400 RPM,5.10-16 ,5.10-16 ,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),101.0 km/h (62.8 mph),Spoked,2540 mm (100.0 inches),1219 mm (48.0 inches),Electric,The 1964  and later models has an electric starter.,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Silver Special,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,Air,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,105.0 kg (231.5 pounds),8.3 HP (6.0  kW)) @ 5300 RPM,3.50-10 ,3.50-10 ,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),85.3 km/h (53.0 mph),,1825 mm (71.9 inches),710 mm (28.0 inches),Kick,,0.0786 HP/kg,1038 mm (40.9 inches),,,,,,,,,,,,,,,,,,,,,,,
Bultaco TSS,1964,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",13.5:1,,Carburettor,,,,,Chain   (final drive),Wet multiplate,Tubular,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single Seat,,,2.75-18 ,2.75-18 ,,,,Spoked,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Velocette Viceroy,1964,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,,Battery,,,Chain   (final drive),Duplex,Single tube Keystone,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,140.0 kg (308.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa VBB Sportique,1964,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,4-speed,,,,,,,,Two single seats,,,,,,,80.0 km/h (49.7 mph),Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville TT Special,1964,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",11.2:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Overhead Valves (OHV),AC energy transfer (ET) ,Air,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,165.0 kg (363.8 pounds),52.0 HP (38.0  kW)) @ 6500 RPM,3.50-19 ,4.00-18 ,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),185.0 km/h (115.0 mph),Wire spoked,,,Kick,,0.3152 HP/kg,,,"Constant-mesh, right-foot shift",26.0°,178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Gold/Alaskan White ,"Lucas RM19 alternator, 6-volt electrical system",,,,,,,,,,,,,,,
Aermacchi Chimera 175,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",7.0:1,60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,,Bobine,Air,4-speed,Chain   (final drive),Wet multiplate,,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,122.0 kg (269.0 pounds),,2.50-17 ,2.50-17 ,,,110.0 km/h (68.4 mph),Spoked,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules A 175,1964,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,,,,Chain   (final drive),,,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,140.0 kg (308.6 pounds),9.3 HP (6.8  kW)) @ 5250 RPM,3.25-16 ,3.50-16 ,,11.50 litres (3.04 US gallons),,Spoked,,,Kick,,0.0664 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,
