Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Transmission type,Clutch,Front suspension,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Cooling system,Gearbox,Fuel consumption,Greenhouse gases,Rear suspension,Front tire,Rear tire,Diameter,Wheels,Seat,"Weight incl. oil, gas, etc",Oil capacity,Dry weight,Power/weight ratio,Starter,Engine details,Frame type,Comments,Color options,Carrying capacity,Lubrication system,Valves per cylinder,Exhaust system,Modifications compared to previous model,Torque,Alternate seat height,0-100 km/h (0-62 mph),Electrical,Rake (fork angle),Instruments,Driveline,Light,Engine oil
Moto Guzzi Stornello ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7200 RPM,Carburettor. DellÓrto,Chain   (final drive),Wet multiplate,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),"700 mm (27.6 inches) If adjustable, lowest setting.",900 mm (35.4 inches),1900 mm (74.8 inches),550 mm (21.7 inches),280 mm (11.0 inches),1250 mm (49.2 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1965,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6000 RPM,Carburettor. Amal monoblocks,Chain   (final drive),,"Telescopic fork, hydraulic",Expanding brake (drum brake),Expanding brake (drum brake),"787 mm (31.0 inches) If adjustable, lowest setting.",,,660 mm (26.0 inches),140 mm (5.5 inches),1448 mm (57.0 inches),17.03 litres (4.50 US gallons),193.1 km/h (120.0 mph),8.0:1,71.0 x 93.0 mm (2.8 x 3.7 inches),Overhead Valves (OHV),Lucas Magneto,Air,4-speed,4.28 litres/100 km (23.4 km/l or 54.96 mpg),99.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Pivoted fork, hydraulic",3.25-19 ,3.00-19 ,178 mm (7.0 inches),Spoked,Dual ,190.0 kg (418.9 pounds),3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Silver Special,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",8.3 HP (6.0  kW)) @ 5300 RPM,Carburettor. DellÓrto,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1038 mm (40.9 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),85.3 km/h (53.0 mph),7.5:1,57.0 x 58.0 mm (2.2 x 2.3 inches),,,Air,,,,,3.50-10 ,3.50-10 ,,,Dual ,,,105.0 kg (231.5 pounds),0.0786 HP/kg,Kick,,,,,,,,,,,,,,,,,,
Harley-Davidson Bobcat ,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),,Hydraulic ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,96.6 km/h (60.0 mph),,60.3 x 61.1 mm (2.4 x 2.4 inches),,,,,,,Swingarm ,,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 6500 RPM,Carburettor,Chain   (final drive),Wet multiplate,Telescopic fork,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,4-speed,,,,,,,,Dual seat,,,109.0 kg (240.3 pounds),0.1009 HP/kg,,,,,,,,,,,,,,,,,,,
Norton Jubilee,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",11.7 HP (8.5  kW)) @ 7750 RPM,Carburettor,Chain   (final drive),,Hydralic telescopic forks,Expanding brake (drum brake). Single,,,,,,,,,,8.8:1,60.0 x 44.0 mm (2.4 x 1.7 inches),,,Air,,,,Twin shock,3.25-18 ,3.25-18 ,,,,,,150.0 kg (330.7 pounds),0.0780 HP/kg,Kick,Norton Dominator,Single cradle,,,,,,,,,,,,,,,,
Triumph T100C,1965,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"Twin, four-stroke",41.0 HP (29.9  kW)) @ 7200 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Overhead Valves (OHV),,Air,,,,Swingarm with coil-over shocks,,,,,Dual seat,168.3 kg (371.0 pounds),,152.0 kg (335.0 pounds),0.2698 HP/kg,,,,,,,,,,,,,,,,,,,
Zündapp Roller Super,1965,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor. Bing,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,39.0 x 42.0 mm (1.5 x 1.7 inches),,,Air,,,,,2.50-10 ,2.50-10 ,,,Dual ,,,83.5 kg (184.1 pounds),,,,,,,,,,,,,,,,,,,,
Matchless G-12,1965,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,Carburettor. Amal,Chain   (final drive),,Telescopic,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,Air,,,,Swingarm with coil-over shocks,,,,,,,,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,Designer was Phil Walker,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1965,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,Carburettor. DellÓrto ,Chain   (final drive),Wet multiplate,Hydralic telescopic forks,Expanding brake (drum brake),Expanding brake (drum brake),,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,,17.00 litres (4.49 US gallons),170.0 km/h (105.6 mph),,66.0 x 72.0 mm (2.6 x 2.8 inches),,,Air,4-speed,,,Swingarm,2.50-18 ,2.75-18 ,180 mm (7.1 inches),Spoked,Dual seat,,,110.0 kg (242.5 pounds),0.2255 HP/kg,Kick,,,,,,,,,,,,,,,,,,
