Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Front tire,Rear tire,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Starter,Fuel control,Ignition,Gearbox,Transmission type,Clutch,Frame type,Rake (fork angle),Front suspension,Rear suspension,Diameter,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Electrical,Comments,Engine details,Lubrication system,Overall height,Overall length,Overall width,0-100 km/h (0-62 mph),Torque,Instruments,"Weight incl. oil, gas, etc",Driveline,Fuel consumption,Greenhouse gases,Valves per cylinder,Oil capacity,Alternate seat height,Carrying capacity,Exhaust system
Lambretta SX 200,1966,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5500 RPM,96.6 km/h (60.0 mph),8.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. DellÓrto,Air,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,109.8 kg (242.0 pounds),0.1002 HP/kg,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120C Street Scrambler,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Air,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),"Wire spoked, grey and black",Dual seat,165.0 kg (363.8 pounds),0.2788 HP/kg,Kick,Overhead Valves (OHV),Lucas K2F auto-advance Magneto,4-speed,Chain   (final drive),"Multi-plate, wet","Brazed lug, full-cradle, single downtube",26.0°,"Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",178 mm (7.0 inches),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Red/white,12-volt electrical system,Street Scrambler with high exhaust pipes.,,,,,,,,,,,,,,,,,
Bultaco Lobito,1966,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,,,60.0 x 60.0 mm (2.4 x 2.4 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single Seat,,,Kick,,,,Chain   (final drive),,Single cradle,,Telescopic,Two schock,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),,,113.4 kg (250.0 pounds),0.0882 HP/kg,,Overhead Valves (OHV),,,Chain   (final drive),Wet multiplate,,,,Swingarm with coil-over shocks,,,,1245 mm (49.0 inches),,,,,Amal monobloc carburettor,Dry sumpy,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),8.5:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Air,2.50-17 ,2.50-17 ,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Spoked,Dual ,114.0 kg (251.3 pounds),0.1404 HP/kg,Kick,,,,Chain   (final drive),,Single cradle,,Telescopic ,Swingarm-two shocks,,,,1270 mm (50.0 inches),,,,,,,910 mm (35.8 inches),1938 mm (76.3 inches),762 mm (30.0 inches),,,,,,,,,,,,
BSA Bantam D7,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,,,,3-speed,,,,,,,,,,,,Shades red or blue-chrome highlights,,,,,,,,92.00 seconds,,,,,,,,,,,
Puch 250 SGS 67,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,3-16 ,3.50-16 ,,,Spoked,Dual ,,,,,,4-speed,Chain   (final drive),,,,Telescopic,Swingarm,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,,,,,,,,,,
Laverda Super Sport,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Twin, four-stroke",,,9.1:1,52.0 x 47.0 mm (2.0 x 1.9 inches),Carburettor,Air,,,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,,,Electric,,Magneto,,Chain   (final drive),Wet multiplate,,,Telescopic,,,,,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1966,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,70.0 x 97.0 mm (2.8 x 3.8 inches),,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single spring-mounted,,,Electric,Sidevalves,,,,,,,,,,,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,,,,,,,,,,,
Hercules A 175,1966,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",9.3 HP (6.8  kW)) @ 5250 RPM,,,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,140.0 kg (308.6 pounds),0.0664 HP/kg,,,,,Chain   (final drive),,,,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,,,,,,
