Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Bore x stroke,Front tire,Dry weight,Seat height,Ground clearance,Color options,Seat,Power/weight ratio,"Weight incl. oil, gas, etc",Comments,Valves per cylinder,Torque,Exhaust system,Rake (fork angle),Trail,Oil capacity,Electrical,Alternate seat height,Engine details,1/4 mile (0.4 km),Max RPM,Front wheel travel,Rear wheel travel,Instruments,0-100 km/h (0-62 mph),Modifications compared to previous model,Light,Carrying capacity
BMW R69S,1968,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-doble cradle,Cartridge,Twin shock-swingarm,3.5-18 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,980 mm (38.6 inches),2125 mm (83.7 inches),722 mm (28.4 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodaka Super Rat,1968,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",,,13.1:1,Carburettor,,,,Air,5-speed,Chain   (final drive),Wet multi-plate,,,,"Progressive rate, oil dampened",Adjustable dual shocks,3.25-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,1829 mm (72.0 inches),787 mm (31.0 inches),1270 mm (50.0 inches),7.60 litres (2.01 US gallons),,50.8 x 50.8 mm (2.0 x 2.0 inches),3.00-19 ,83.0 kg (183.0 pounds),"838 mm (33.0 inches) If adjustable, lowest setting.",284 mm (11.2 inches),"Red, white",,,,,,,,,,,,,,,,,,,,,,
Vespa 180 Rally,1968,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,180.7 ccm (11.03 cubic inches),"Single cylinder, two-stroke",10.3 HP (7.5  kW)) @ 5700 RPM,104.8 km/h (65.1 mph),7.7:1,Carburettor,Rotary valves,,,Air,4-speed,Chain   (final drive),,,,,,,,Expanding brake (drum brake),150 mm (5.9 inches),Expanding brake (drum brake),,,,,1230 mm (48.4 inches),8.20 litres (2.17 US gallons),,63.5 x 57.0 mm (2.5 x 2.2 inches),,106.6 kg (235.0 pounds),,,,Dual ,0.0966 HP/kg,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),,Carburettor. DellÓrto ,,,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Hydralic telescopic forks,Swingarm,2.75-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,860 mm (33.9 inches),1940 mm (76.4 inches),520 mm (20.5 inches),,17.00 litres (4.49 US gallons),Kick,66.0 x 72.0 mm (2.6 x 2.8 inches),2.50-18 ,110.0 kg (242.5 pounds),,,,,0.2255 HP/kg,,,,,,,,,,,,,,,,,,,,
Laverda 750 GT,1968,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,753.9 ccm (46.00 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6900 RPM,,7.7:1,Carburettor. 2x 30mm Dell´Orto vhb30,,,,Air,5-speed,Chain   (final drive),,,,,Marzocchi telescopic forks,Swinging arm dual shocks,4.00-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,,,,19.00 litres (5.02 US gallons),,80.0 x 74.0 mm (3.1 x 2.9 inches),3.50-18 ,,,,,,,218.0 kg (480.6 pounds),,,,,,,,,,,,,,,,,,,
BSA A 50 Royal Star,1968,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",500.0 ccm (30.51 cubic inches),"Twin, four-stroke",33.0 HP (24.1  kW)) @ 5800 RPM,,7.5:1,Carburettor,Overhead Valves (OHV),,,Air,,Chain   (final drive),Wet multiplate,,,Single cradle,Hydralic telescopic forks,Twin shock,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1391 mm (54.8 inches),18.00 litres (4.76 US gallons),,65.5 x 74.0 mm (2.6 x 2.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60 2,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,72.0 x 73.0 mm (2.8 x 2.9 inches),3.25-18.00 ,,,,,,,,Price in 1969 for the bike was DM 3315.,,,,,,,,,,,,,,,,,,
Zündapp 514-320 KS 100,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.1 HP (5.9  kW)) @ 6300 RPM,,9.0:1,Carburettor,,,,Air,,Chain   (final drive),,,,,Telescopic fork,Swingarm ,2.75-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,11.50 litres (3.04 US gallons),Kick,50.0 x 50.0 mm (2.0 x 2.0 inches),2.75-16 ,90.0 kg (198.4 pounds),,,,,0.0894 HP/kg,,,,,,,,,,,,,,,,,,,,
Velocette Thruxton,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,9.1:1,Carburettor,Overhead Valves (OHV),Magneto,,Air,4-speed,Chain   (final drive),Wet multiplate,,,,Hydralic telescopic forks,Twin shock,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,17.00 litres (4.49 US gallons),,86.0 x 86.0 mm (3.4 x 3.4 inches),,170.0 kg (374.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 250B,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, four-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,135.0 km/h (83.9 mph),,,Overhead Valves (OHV),,,,,Chain   (final drive),"Wet, multiplate",,,Tubular and Pressed Steel Open Loop,Telescopic,Swingarm ,3.25-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,,1960 mm (77.2 inches),620 mm (24.4 inches),,,,53.0 x 56.0 mm (2.1 x 2.2 inches),2.75-18 ,140.0 kg (308.6 pounds),,,Red,,0.1643 HP/kg,,,,,,,,,,,,,,,,,,,,
