Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Comments,Modifications compared to previous model,Dry weight,Power/weight ratio,Max RPM,Valves per cylinder,Clutch,Fuel consumption,Greenhouse gases,Color options,Starter,Torque,Overall height,Overall length,Overall width,Ignition,Front suspension,Rear suspension,Diameter,Seat height,Wheelbase,Engine details,Wheels,Seat,Carrying capacity,Frame type,Lubrication system,Rake (fork angle),Trail,Ground clearance,Oil capacity,Electrical
MBK 125 DC,1970,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 8000 RPM,107.0 km/h (66.5 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.75-17 ,2.75-17 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 20,1970,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",29.0 HP (21.2  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),7.3:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha KS 250,1970,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Two cylinder boxer, four-stroke",,,,,,Oil & air,,Chain   (final drive),,,,,,,Carburettor,double stainless pipes,the only place on the bike that says what it is..... is on the exhaust and it claims to be a KS 250¿ and i dont know the year! , seems to be be around a 1970´s bike¿ but i don´t know!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-8,1970,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Made 1967-1971 in Kiev.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1970,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Model made by the Ural Irbits factory 1963-1980.,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda C 70,1970,"Minibike, sport"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",6.3 HP (4.6  kW)),80.0 km/h (49.7 mph),,,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),2.50-17 ,2.50-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor,,,,82.0 kg (180.8 pounds),0.0768 HP/kg,11000,2,Wet Plate,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Black, Red",Kick,,,,,,,,,,,,,,,,,,,,,
Gilera 124 5V,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,Standing valves,Air,,Chain   (final drive),,,,,,,Carburettor. Dell´Orto,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha CT1B 175,1970,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",15.6 HP (11.4  kW)) @ 7000 RPM,,6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,7.19 litres (1.90 US gallons),Carburettor,,,,,,11000,,,,,,Kick,11.9 Nm (1.2 kgf-m or 8.8 ft.lbs) @ 5500 RPM,,,,,,,,,,,,,,,,,,,,
BSA B 44 Shooting Star,1970,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",441.0 ccm (26.91 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 6500 RPM,155.0 km/h (96.3 mph),9.5:1,79.0 x 90.0 mm (3.1 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch M 125,1970,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Port control,Air,4-speed,Chain   (final drive),2.50-17 ,3.00-17 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweirad-Union RT 125,1970,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7400 RPM,110.0 km/h (68.4 mph),10.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 100,1970,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 7000 RPM,150.0 km/h (93.2 mph),9.0:1,69.0 x 65.5 mm (2.7 x 2.6 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,190.0 kg (418.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Balkan MK50 2JU25,1970,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.3 HP (2.4  kW)) @ 6500 RPM,65.0 km/h (40.4 mph),9.0:1,40.0 x 39.0 mm (1.6 x 1.5 inches),,Air,3-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),70.0 kg (154.3 pounds),,Carburettor,,,,61.0 kg (134.5 pounds),0.0541 HP/kg,,,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1015 mm (40.0 inches),1860 mm (73.2 inches),655 mm (25.8 inches),,,,,,,,,,,,,,,,,
BSA B 25 Star,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 7250 RPM,135.0 km/h (83.9 mph),9.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 7,1970,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",703.0 ccm (42.90 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 6200 RPM,170.0 km/h (105.6 mph),9.0:1,80.0 x 70.0 mm (3.1 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),20.00 litres (5.28 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 75-5,1970,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,175.0 km/h (108.7 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi 125 Sprite 5,1970,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 10000 RPM,130.0 km/h (80.8 mph),9.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,111.0 kg (244.7 pounds),12.50 litres (3.30 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
