Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Fuel system,Clutch,Frame type,Front suspension,Rear suspension,Diameter,Wheels,Seat,Seat height,Overall width,Wheelbase,Color options,Starter,Torque,Ground clearance,Overall length,Exhaust system,Ignition,Lubrication system,Overall height,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,1/4 mile (0.4 km),Max RPM,Rake (fork angle),Trail,Front wheel travel,Fuel consumption,Greenhouse gases
Harley-Davidson FL 1200 Electra Glide,1971,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,164.0 km/h (101.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,340.0 kg (749.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA Fury 350,1971,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,160.0 km/h (99.4 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,167.0 kg (368.2 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1971,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Single disc,Expanding brake,202.0 kg (445.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 K 1,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",445.0 ccm (27.15 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,171.0 km/h (106.3 mph),9.0:1,70.0 x 57.8 mm (2.8 x 2.3 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,204.0 kg (449.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Sport Special 250,1971,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",232.0 ccm (14.16 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),8.2:1,74.0 x 54.0 mm (2.9 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3 D,1971,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 150 RSS,1971,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 8600 RPM,125.0 km/h (77.7 mph),9.7:1,59.5 x 54.0 mm (2.3 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,2.75-18 ,Expanding brake,Expanding brake,103.0 kg (227.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 K 1,1971,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETS 150 Trophy Sport,1971,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1971,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,320.0 kg (705.5 pounds),0.0644 HP/kg,Model made 1963-1980.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
