Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Wheelbase,Reserve fuel capacity,Starter,Frame type,Front suspension,Rear suspension,Color options,Electrical,Torque,Diameter,Wheels,Ground clearance,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Oil capacity,Engine details,Driveline,Exhaust system,Front wheel travel,Rear wheel travel,Seat,Instruments,Light,Carrying capacity,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear
BSA A 65 Thunderbolt,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1972,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,320.0 kg (705.5 pounds),0.0644 HP/kg,Motorcycle model made 1963-1980.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 Enduro (5-speed),1972,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7800 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 900 Z 1 Super 4,1972,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1972,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),35.00 litres (9.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 350 F 9,1972,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 6500 RPM,135.0 km/h (83.9 mph),6.8:1,80.5 x 68.0 mm (3.2 x 2.7 inches),,Rotary valves,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550 J,1972,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,170.0 km/h (105.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3 25-19 ,4.00-18 ,Expanding brake,Expanding brake,195.0 kg (429.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750 J,1972,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1972,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
