Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Front brakes,Torque,Fuel system,Clutch,Front suspension,Rear suspension,Diameter,Wheels,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Starter,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front wheel travel,Instruments,Electrical,Light,Comments,Overall height,Color options,Reserve fuel capacity,Driveline,Rear wheel travel,Factory warranty,Rake (fork angle),Trail,Oil capacity
Jawa 250 Californian,1973,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5000 RPM,115.0 km/h (71.5 mph),7.8:1,65.0 x 75.0 mm (2.6 x 3.0 inches),Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,144.0 kg (317.5 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Super Glide,1973,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1973,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,134.0 kg (295.4 pounds),12.50 litres (3.30 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-6,1973,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 750 Sport,1973,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7250 RPM,206.0 km/h (128.0 mph),9.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Expanding brake,220.0 kg (485.0 pounds),19.00 litres (5.02 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 125 Scrambler,1973,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.5 HP (6.9  kW)) @ 8500 RPM,90.0 km/h (55.9 mph),8.5:1,55.2 x 52.0 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-19 ,3.50-18 ,Expanding brake,111.0 kg (244.7 pounds),8.00 litres (2.11 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Baja 100SR,1973,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),9.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,Air,,Chain   (final drive),3-21 ,3.50-18 ,Expanding brake (drum brake),,9.50 litres (2.51 US gallons),,Expanding brake (drum brake),12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),Carburettor. Dell´Orto MB ,"Wet, multiplate",Telescopic,"Double-Sided Steel Swingarm, Twin Shock Absorbers",135 mm (5.3 inches),"Aluminium, Wire-Spoked",84.0 kg (185.2 pounds),0.1485 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",1960 mm (77.2 inches),620 mm (24.4 inches),297 mm (11.7 inches),1300 mm (51.2 inches),Kick,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 250 TS,1973,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,138.0 kg (304.2 pounds),13.50 litres (3.57 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1973,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 900 Z 1 Super 4,1973,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1973,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,116.0 kg (255.7 pounds),14.00 litres (3.70 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta 3,1973,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)) @ 4800 RPM,110.0 km/h (68.4 mph),7.5:1,72.0 x 85.0 mm (2.8 x 3.3 inches),Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 GT,1973,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Expanding brake,197.0 kg (434.3 pounds),17.00 litres (4.49 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
