Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Seat height,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Front percentage of weight,Rear percentage of weight,Alternate seat height,Engine details,Wheels,Oil capacity,Electrical,Modifications compared to previous model,Seat,Instruments,Light,Engine oil,Brake fluid,Spark plugs,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Driveline,Chain size
Ducati 450 Scrambler,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,135.0 km/h (83.9 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MW 750M,1974,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,MW 750 and MW 750M where military motorcycles made by Dnepr in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 125,1974,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.2 HP (10.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SS 350,1974,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SFC,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,215.0 km/h (133.6 mph),9.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T,1974,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 7000 RPM,195.0 km/h (121.2 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Single disc. 2-piston caliper,Expanding brake (drum brake),,25.00 litres (6.61 US gallons),,7000,Carburettor. Dell´Orto  30 mm,Contact breacers  2 ignition coils,Wet sump,"Dry  type, twin plates",7.27 litres/100 km (13.8 km/l or 32.36 mpg),168.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Duble chromet steel pipes,"Duplex cradle, tubular structure","Telescopic fork, hydraulic dampers",Swinging fork,220 mm (8.7 inches),235.0 kg (518.1 pounds),0.2894 HP/kg,1060 mm (41.7 inches),2200 mm (86.6 inches),780 mm (30.7 inches),150 mm (5.9 inches),1470 mm (57.9 inches),4.00 litres (1.06 US gallons),"Metalic brown, green, black",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1974,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",32.0 HP (23.4  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado 650 S,1974,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia P 12,1974,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.5:1,68.0 x 68.0 mm (2.7 x 2.7 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,147.0 kg (324.1 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90 S,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,196.0 km/h (121.8 mph),9.5:1,90.0 x 70.6 mm (3.5 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,232.0 kg (511.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
