Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Frame type,Dry weight,Power/weight ratio,Overall height,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,Front suspension,Overall length,Overall width,Ground clearance,Wheelbase,Oil capacity,Modifications compared to previous model,Comments,Rear suspension,Color options,Torque,Diameter,Engine details,Front wheel travel,Wheels,Seat height,Reserve fuel capacity,Electrical,Factory warranty,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Rear wheel travel,Oil filter,Battery,Chain size,Chain links,Pulley teeth,Fork tube size
MV Agusta 350 S,1975,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 8800 RPM,162.0 km/h (100.7 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Dual disc,Single disc,145.0 kg (319.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1975,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,177.0 km/h (110.0 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,275.0 kg (606.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 350,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7800 RPM,165.0 km/h (102.5 mph),10.0:1,53.0 x 52.8 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-6,1975,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175 Enduro,1975,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),10.9:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,122.0 kg (269.0 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 disc,1975,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules W 2000,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,294.0 ccm (17.94 cubic inches),Single disk Wankel,27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,,,,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,176.0 kg (388.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90 S,1975,Classic," 4.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,196.0 km/h (121.8 mph),9.5:1,90.0 x 70.6 mm (3.5 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,232.0 kg (511.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100 SS,1975,Classic," 2.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic TX 141 Chopper,1975,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 6870 RPM,103.0 km/h (64.0 mph),9.3:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-16 ,5.00-16 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
