Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Valves per cylinder,Fuel control,Torque,Ignition,Color options,Max RPM,Diameter,Comments,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Modifications compared to previous model,Oil capacity,Wheels
Yamaha TY50p,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",2.9 HP (2.1  kW)) @ 5500 RPM,60.0 km/h (37.3 mph),6.8:1,40.0 x 39.7 mm (1.6 x 1.6 inches),Carburettor. Mikuni,Automix,Air,5-speed,Chain   (final drive),Wet Plate,Standard,Duplex Cradle,Telescopic fork,Twin shock,2.75-19 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),72.0 kg (158.7 pounds),78.0 kg (172.0 pounds),0.0403 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",975 mm (38.4 inches),1860 mm (73.2 inches),775 mm (30.5 inches),200 mm (7.9 inches),1210 mm (47.6 inches),4.70 litres (1.24 US gallons),Kick,,,,,,,,,,,,,,,,,
Triumph T 140 V Tiger,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.10-18 ,Single disc,Single disc,,197.0 kg (434.3 pounds),,,,,,,,18.50 litres (4.89 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Suzuki TS 400 Hustler,1976,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,,6.8:1,81.0 x 75.0 mm (3.2 x 3.0 inches),Injection. Mikuni 58SS,,Air,,,,,,Telescopic,Swingarm ,,,Expanding brake (drum brake),Expanding brake (drum brake),124.0 kg (273.4 pounds),,0.2742 HP/kg,,1130 mm (44.5 inches),2240 mm (88.2 inches),889 mm (35.0 inches),191 mm (7.5 inches),1425 mm (56.1 inches),8.30 litres (2.19 US gallons),Kick,,,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,PEI,Black/Green,,,,,,,,,,,,
Suzuki RV 90,1976,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,85.0 km/h (52.8 mph),6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),,,Air,4-speed,Chain   (final drive),,,,,,6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,,86.0 kg (189.6 pounds),,,,,,,,3.00 litres (0.79 US gallons),,,Membrane,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3,1976,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,180.0 km/h (111.8 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.10-18 ,Dual disc,Single disc,,240.0 kg (529.1 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Suzuki GT 125,1976,Classic," 2.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.2 HP (10.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,122.0 kg (269.0 pounds),,,,,,,,10.00 litres (2.64 US gallons),,,Port control,,,,,,,,,,,,,,,
Yamaha DT 400,1976,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5600 RPM,136.0 km/h (84.5 mph),6.4:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,141.0 kg (310.9 pounds),,,,,,,,9.00 litres (2.38 US gallons),,,Membrane,,,,,,,,,,,,,,,
Benelli Tornado 650 S,1976,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,,222.0 kg (489.4 pounds),,,,,,,,12.50 litres (3.30 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Suzuki GT 185,1976,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",185.0 ccm (11.29 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,126.0 km/h (78.3 mph),7.0:1,49.0 x 49.0 mm (1.9 x 1.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,131.0 kg (288.8 pounds),,,,,,,,10.00 litres (2.64 US gallons),,,Port control,,,,,,,,,,,,,,,
Norton Commando 850 Interstate MK 3,1976,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 5600 RPM,190.0 km/h (118.1 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),,,Air,4-speed,Chain   (final drive),,,,,,4.10-19 ,4.10-19 ,Single disc,Single disc,,233.0 kg (513.7 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
