Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Valves per cylinder,Torque,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Oil capacity,Electrical,1/4 mile (0.4 km),Modifications compared to previous model,Wheels,Alternate seat height,Carrying capacity
Suzuki GT 550,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 S,1977,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1977,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Model made by Dnepr 1975-1984.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K,1977,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,192.0 km/h (119.3 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Single disc,Expanding brake,250.0 kg (551.2 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80-7,1977,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,186.0 km/h (115.6 mph),8.0:1,84.8 x 70.6 mm (3.3 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1977,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 250,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,138.0 km/h (85.7 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 RS,1977,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Single disc,111.0 kg (244.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750,1977,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,176.0 km/h (109.4 mph),8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,235.0 kg (518.1 pounds),14.50 litres (3.83 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ1000 LTD,1977,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"Four cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,257.5 km/h (160.0 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc,Double disc,,13.60 litres (3.59 US gallons),,1,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 7000 RPM,8000,Carburettor. MIKUNI VM26SS,"Battery and coil, BTDC 20´@1,450 rpm",Forced Lubrication (wet sump),"Wet, multi disc",4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"4 into 2, Stainless Steel pipes",Caster,26.0°,90 mm (3.5 inches),Inverted Forks,240.0 kg (529.1 pounds),0.3542 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",1180 mm (46.5 inches),2220 mm (87.4 inches),830 mm (32.7 inches),155 mm (6.1 inches),1550 mm (61.0 inches),1.89 litres (0.50 US gallons),"Black, Midnight Blue, Burgundy, Grey",Electric & kick,,,,,,,,,,,
