Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Ignition,Lubrication system,Clutch,Exhaust system,Reserve fuel capacity,Starter,Torque,Front suspension,Rear suspension,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Color options,Frame type,Diameter,Max RPM,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Comments,Modifications compared to previous model,0-100 km/h (0-62 mph),Fuel consumption,Greenhouse gases,Oil capacity,Front percentage of weight,Rear percentage of weight,Seat height,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Driveline,Electrical,Idle speed,Wheels,Factory warranty
Harley-Davidson XLH 1000 Sportster,1978,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 125,1978,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,92.0 km/h (57.2 mph),6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Veen OCR 1000,1978,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),Dual disk Wankel,100.0 HP (73.0  kW)) @ 6500 RPM,213.0 km/h (132.4 mph),9.0:1,,,,Liquid,4-speed,Shaft drive (cardan)   (final drive),3.50-18 ,130/80-18 ,Dual disc,Single disc,330.0 kg (727.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 350 RS,1978,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9200 RPM,148.0 km/h (92.0 mph),10.0:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-18 ,100/90-18 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 500 S,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,140.0 km/h (87.0 mph),8.0:1,89.5 x 79.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,203.0 kg (447.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45 (reduced effect),1978,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,141.0 km/h (87.6 mph),8.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TL 125 S,1978,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8750 RPM,90.0 km/h (55.9 mph),8.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),4.50 litres (1.19 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS-E,1978,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",104.0 HP (75.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,311.0 kg (685.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 860 GTS,1978,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F SS,1978,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",,,,,,Single Overhead Cams (SOHC),Air,,Chain   (final drive),,,Double disc. piston calipers,Single disc. piston caliper,,11.35 litres (3.00 US gallons),Carburettor,battery and coil,dry sump,"wet, multi plate",4 to 1 statnless,1.89 litres (0.50 US gallons),Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
