Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Moto Morini 3 1-2 Sport,1979,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,155.0 km/h (96.3 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 400 Y,1979,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7100 RPM,140.0 km/h (87.0 mph),9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,177.0 kg (390.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,126.0 km/h (78.3 mph),7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,121.0 kg (266.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T,1979,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,129.0 km/h (80.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80-7,1979,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,186.0 km/h (115.6 mph),9.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans II,1979,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 7700 RPM,201.0 km/h (124.9 mph),10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.10-18 ,4.25/85-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1979,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250F,1979,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,109.0 km/h (67.7 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,9.00 litres (2.38 US gallons),7000,Carburettor,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 Deluxe,1979,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake (drum brake),,17.03 litres (4.50 US gallons),10500,Carburettor. Keihin 35mm CV,Electric,CDI,Forced Pressure and Wet Sump,"Wet, Multi Plate",4.52 litres/100 km (22.1 km/l or 52.04 mpg),104.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Diamond,26.9°,105 mm (4.1 inches),Telescopic Forks,139 mm (5.5 inches),Swingarm,85 mm (3.3 inches),205.0 kg (452.0 pounds),0.2439 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2185 mm (86.0 inches),865 mm (34.1 inches),145 mm (5.7 inches),1455 mm (57.3 inches),5.67 litres (1.50 US gallons),3.00 litres (3.17 US quarts),Wine Red,,,,,,,,,,,,,,,,,,,,
Yamaha XS 750 E,1979,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",74.0 HP (54.0  kW)) @ 8400 RPM,198.0 km/h (123.0 mph),9.2:1,68.0 x 68.6 mm (2.7 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 ST,1979,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 8000 RPM,214.0 km/h (133.0 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,276.0 kg (608.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP,1979,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 400 E,1979,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 Touring,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,153.0 km/h (95.1 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MB50,1979,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 9000 RPM,,7.6:1,39.0 x 41.1 mm (1.5 x 1.6 inches),,,Air,,Chain   (final drive),2.50-18 ,2.5-16 ,Expanding brake (drum brake),Expanding brake (drum brake),90.0 kg (198.4 pounds),9.00 litres (2.38 US gallons),,Carburettor. Keihin 13mm PF05B,,CDI,,,,,Seel Spine,,,Hydraulic fork 27mm,,Dual dampers preload adjustable,,,,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,Black,5.4 Nm (0.6 kgf-m or 4.0 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 S,1979,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,216.0 km/h (134.2 mph),9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.25/85-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
