Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
Kawasaki Z 550 LTD,1980,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7000 RPM,178.0 km/h (110.6 mph),5.60 seconds,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Carburettor,Double Overhead Cams/Twin Cam (DOHC),CDI,Air,6-speed,Chain   (final drive),Telescopic fork,Dual shocks,3.25-19 ,130/90-16 ,Single disc,Expanding brake,211.0 kg (465.2 pounds),2235 mm (88.0 inches),1450 mm (57.1 inches),13.00 litres (3.43 US gallons),Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 E,1980,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,,110.0 km/h (68.4 mph),,7.1:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Membrane,,Air,5-speed,Chain   (final drive),,,2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),,,7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 NT,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,181.0 km/h (112.5 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda S 110,1980,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",109.0 ccm (6.65 cubic inches),"Single cylinder, four-stroke",,,100.0 km/h (62.1 mph),,,,,Carburettor,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1980,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,,132.0 km/h (82.0 mph),,9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,,Port control,,Air,4-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 S - Z 1-R,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,207.0 km/h (128.6 mph),,8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.00-18 ,Dual disc,Single disc,272.0 kg (599.7 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 C,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,137.0 km/h (85.1 mph),,9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),2,Carburettor. Keihin 32mm,Overhead Cams (OHC),Battery powered coil,Air,6-speed,Chain   (final drive),Telescopic forks,Swingarm,,,Single disc,Expanding brake,180.0 kg (396.8 pounds),2070 mm (81.5 inches),1370 mm (53.9 inches),14.00 litres (3.70 US gallons),Electric,"Tubular steel,with twin cradles",27.0°,127 mm (5.0 inches),127 mm (5.0 inches),275 mm (10.8 inches),166.0 kg (366.0 pounds),0.1627 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",125 mm (4.9 inches),2.50 litres (2.64 US quarts),SAE 20W-40,DOT 4,"NGK BR7ES, NGK BR7EIX",1200  +/- 100  RPM,104,15/45 (front/rear),26 PSI (1.8 Bar or 180 kPa),32 PSI (2.2 Bar or 220 kPa),33 mm (1.3 inches),,,,,,,,,,,,,,,,,,,,
MV Agusta 1100 Grand Prix,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1066.0 ccm (65.05 cubic inches),"In-line four, four-stroke",119.0 HP (86.9  kW)) @ 10200 RPM,,237.0 km/h (147.3 mph),,10.5:1,74.0 x 62.0 mm (2.9 x 2.4 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.00-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta Sport,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 6500 RPM,,140.0 km/h (87.0 mph),,10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,,Port control,,Air,4-speed,Chain   (final drive),,,3.00-19 ,3 50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1980,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,213.0 km/h (132.4 mph),,9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 125,1980,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,,94.0 km/h (58.4 mph),,6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Rotary valves,,Air,6-speed,Chain   (final drive),,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),,,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 1000 Ago,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",99.0 HP (72.3  kW)) @ 9500 RPM,,221.0 km/h (137.3 mph),,10.5:1,70.0 x 62.0 mm (2.8 x 2.4 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.00-18 ,Dual disc,Single disc,228.0 kg (502.7 pounds),,,26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 B,1980,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",390.0 ccm (23.80 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,,141.0 km/h (87.6 mph),,9.5:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
