Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Yamaha XJ 400 Seca,1981,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"Four cylinder boxer, four-stroke",45.0 HP (32.8  kW)) @ 10000 RPM,33.9 Nm (3.5 kgf-m or 25.0 ft.lbs) @ 8000 RPM,162.5 km/h (101.0 mph),14.00 seconds,9.7:1,51.0 x 48.8 mm (2.0 x 1.9 inches),Carburettor. 2x34 Mikuni,Double Overhead Cams/Twin Cam (DOHC),Battery Powered Inductive,Air,6-speed,Chain   (final drive),35mm Telescopic Forks,142 mm (5.6 inches),	Single Adjustable Spring Preload,96 mm (3.8 inches),2.50-19 ,110/90-18 ,Single disc. 1 Piston Caliper,Expanding brake (drum brake),176.0 kg (388.0 pounds),0.2557 HP/kg,Black,Electric,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 200 X 5 E (spoked wheels),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,,128.0 km/h (79.5 mph),,6.9:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,131.0 kg (288.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 LTD,1981,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",443.0 ccm (27.03 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,154.0 km/h (95.7 mph),,9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,130/90-16 ,Single disc,Expanding brake,,,,,184.0 kg (405.7 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 634.6,1981,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 5250 RPM,,125.0 km/h (77.7 mph),,9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,,Air,4-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,,,,,175.0 kg (385.8 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 750 C,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,,176.0 km/h (109.4 mph),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,110/90-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,253.0 kg (557.8 pounds),16.00 litres (4.23 US gallons),4,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1981,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,,130.0 km/h (80.8 mph),,10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.50-18 ,Single disc,Expanding brake,,,,,154.0 kg (339.5 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans II,1981,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,,220.0 km/h (136.7 mph),,9.6:1,88.0 x 78.0 mm (3.5 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,243.0 kg (535.7 pounds),22.50 litres (5.94 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 Monza,1981,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,,174.0 km/h (108.1 mph),,10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,181.0 kg (399.0 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 Special,1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,139.0 km/h (86.4 mph),,9.3:1,69.0 x 52.4 mm (2.7 x 2.1 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,120/90-16 ,Single disc,Expanding brake,,,,,180.0 kg (396.8 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha TR 1,1981,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 6500 RPM,,182.0 km/h (113.1 mph),,8.3:1,95.0 x 69.2 mm (3.7 x 2.7 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,120/90-18 ,Dual disc,Expanding brake,,,,,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
