Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Clutch,Front suspension,Rear suspension,Diameter,Overall length,Overall width,Wheelbase,Color options,Fuel system,Ignition,Lubrication system,Exhaust system,Frame type,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Ground clearance,Reserve fuel capacity,Starter,Comments,1/4 mile (0.4 km),Max RPM,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Factory warranty,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Electrical,Engine oil,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Alternate seat height
Dnepr MT 12 (with sidecar),1984,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,100.0 km/h (62.1 mph),7.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS Paris-Dakar,1984,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,219.0 kg (482.8 pounds),33.50 litres (8.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 T,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Europa,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,186.0 kg (410.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 ST,1984,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Single disc,Expanding brake,197.0 kg (434.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Interpool 2,1984,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),"Twin, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,9.0:1,,,,Air,,Chain   (final drive),100/90-18 ,110/80-18 ,Double disc,Single disc,253.0 kg (557.8 pounds),22.50 litres (5.94 US gallons),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7000 RPM,"Wet, multiplate",38mm Telecopic Forks,Twin Girling Gas Units 3-Way Preload,265 mm (10.4 inches),1805 mm (71.1 inches),710 mm (28.0 inches),1486 mm (58.5 inches),"White, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 350 R,1984,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,134.0 km/h (83.3 mph),9.5:1,84.0 x 61.3 mm (3.3 x 2.4 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-2,1984,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,225.0 km/h (139.8 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS ob one Racing,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Dual disc,Single disc,110.0 kg (242.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Hailwood-Replica,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,864.0 ccm (52.72 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 7000 RPM,215.0 km/h (133.6 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,229.0 kg (504.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E (reduced effect),1984,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1984,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,164.0 km/h (101.9 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,285.0 kg (628.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 GS Enduro Sport,1984,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,67.5 x 69.0 mm (2.7 x 2.7 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1984,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,171.0 km/h (106.3 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,225.0 kg (496.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 500 F 2,1984,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V4, four-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,206.0 km/h (128.0 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CD200T Benly,1984,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,120.7 km/h (75.0 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Single Overhead Cams (SOHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.00-17 ,Expanding brake (drum brake). Single leading shoe,Expanding brake (drum brake). Single leading shoe,140.0 kg (308.6 pounds),10.50 litres (2.77 US gallons),,Wet multiplate,Oil dampened telescopic,"Twin shock, oil dampened",130 mm (5.1 inches),1990 mm (78.3 inches),845 mm (33.3 inches),1280 mm (50.4 inches),"Red, Blue, Brown",Carburettor. Keihin VB15A,CDI,Wet sump,Twin one piece chrome pipes,"Open diamond, tubular steel, engine is a stressed member",115 mm (4.5 inches),64 mm (2.5 inches),122.0 kg (269.0 pounds),0.1311 HP/kg,"744 mm (29.3 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),150 mm (5.9 inches),3.50 litres (0.92 US gallons),Electric & kick,"Very reliable, usually starts on the 1st kick or prod of the starter. So long as you change the oil regulary these bikes are virtually bulletproof",,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLX 1000-61,1984,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,159.0 km/h (98.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,244.0 kg (537.9 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1984,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,152.0 km/h (94.4 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 125 C,1984,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,91.0 km/h (56.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
